"","sciname","genus","species","family","order"
"5229","Poliolimnas cinereus","Poliolimnas","cinereus","Rallidae","Gruiformes"
"5230","Porzana pusilla","Porzana","pusilla","Rallidae","Gruiformes"
"5231","Galerida magnirostris","Galerida","magnirostris","Alaudidae","Passeriformes"
"5232","Galerida theklae","Galerida","theklae","Alaudidae","Passeriformes"
"5233","Lullula arborea","Lullula","arborea","Alaudidae","Passeriformes"
"5234","Alaemon hamertoni","Alaemon","hamertoni","Alaudidae","Passeriformes"
"5235","Certhilauda albescens","Certhilauda","albescens","Alaudidae","Passeriformes"
"5236","Calandrella personata","Calandrella","personata","Alaudidae","Passeriformes"
"5237","Ammomanes grayi","Ammomanes","grayi","Alaudidae","Passeriformes"
"5238","Ammomanes deserti","Ammomanes","deserti","Alaudidae","Passeriformes"
"5239","Pericrocotus divaricatus","Pericrocotus","divaricatus","Campephagidae","Passeriformes"
"5240","Passer castanopterus","Passer","castanopterus","Ploceidae","Passeriformes"
"5241","Ploceus capensis","Ploceus","capensis","Ploceidae","Passeriformes"
"5242","Ploceus manyar","Ploceus","manyar","Ploceidae","Passeriformes"
"5243","Peltops blainvillii","Peltops","blainvillii","Muscicapidae","Passeriformes"
"5244","Phoenicurus caeruleocephalus","Phoenicurus","caeruleocephalus","Muscicapidae","Passeriformes"
"5245","Monticola rufiventris","Monticola","rufiventris","Muscicapidae","Passeriformes"
"5246","Niltava hodgsoni","Niltava","hodgsoni","Muscicapidae","Passeriformes"
"5247","Turdus albocinctus","Turdus","albocinctus","Muscicapidae","Passeriformes"
"5248","Turdus unicolor","Turdus","unicolor","Muscicapidae","Passeriformes"
"5249","Chelidorhynx hypoxantha","Chelidorhynx","hypoxantha","Muscicapidae","Passeriformes"
"5250","Enicurus immaculatus","Enicurus","immaculatus","Muscicapidae","Passeriformes"
"5251","Melophus lathami","Melophus","lathami","Emberizidae","Passeriformes"
"5252","Sporophila luctuosa","Sporophila","luctuosa","Emberizidae","Passeriformes"
"5253","Emberiza pusilla","Emberiza","pusilla","Emberizidae","Passeriformes"
"5254","Anthus sylvanus","Anthus","sylvanus","Motacillidae","Passeriformes"
"5255","Pinicola subhimachalus","Pinicola","subhimachalus","Fringillidae","Passeriformes"
"5256","Coccothraustes icterioides","Coccothraustes","icterioides","Fringillidae","Passeriformes"
"5257","Carpodacus rhodochrous","Carpodacus","rhodochrous","Fringillidae","Passeriformes"
"5258","Collocalia brevirostris","Collocalia","brevirostris","Apodidae","Apodiformes"
"5259","Hemiprocne longipennis","Hemiprocne","longipennis","Hemiprocnidae","Apodiformes"
"5260","Chordeiles rupestris","Chordeiles","rupestris","Caprimulgidae","Caprimulgiformes"
"5261","Alle alle","Alle","alle","Alcidae","Charadriiformes"
"5262","Treron sphenura","Treron","sphenura","Columbidae","Columbiformes"
"5263","Columba leuconota","Columba","leuconota","Columbidae","Columbiformes"
"5264","Cuculus saturatus","Cuculus","saturatus","Cuculidae","Cuculiformes"
"5265","Centropus menbeki","Centropus","menbeki","Cuculidae","Cuculiformes"
"5266","Laterallus exilis","Laterallus","exilis","Rallidae","Gruiformes"
"5267","Aegithalos concinnus","Aegithalos","concinnus","Aegithalidae","Passeriformes"
"5268","Ammomanes phoenicurus","Ammomanes","phoenicurus","Alaudidae","Passeriformes"
"5269","Hemipus picatus","Hemipus","picatus","Campephagidae","Passeriformes"
"5270","Certhia discolor","Certhia","discolor","Certhiidae","Passeriformes"
"5271","Oriolus traillii","Oriolus","traillii","Oriolidae","Passeriformes"
"5272","Parus rubidiventris","Parus","rubidiventris","Paridae","Passeriformes"
"5273","Passer rutilans","Passer","rutilans","Ploceidae","Passeriformes"
"5274","Aethopyga ignicauda","Aethopyga","ignicauda","Nectariniidae","Passeriformes"
"5275","Synallaxis moesta","Synallaxis","moesta","Furnariidae","Passeriformes"
