order,family,emu_genus,emu_species,emu_subspecies,fullname,new_fullname
Passeriformes,Muscicapidae,Phylloscopus,maculipennis,centralis,Phylloscopus maculipennis centralis,Phylloscopus maculipennis maculipennis
Passeriformes,Muscicapidae,Phylloscopus,occipitalis,occipitalis,Phylloscopus occipitalis occipitalis,Phylloscopus occipitalis
Passeriformes,Muscicapidae,Phylloscopus,ruficapilla,minulla,Phylloscopus ruficapilla minulla,Phylloscopus ruficapilla minullus
Passeriformes,Muscicapidae,Phylloscopus,ruficapillus,johnstoni,Phylloscopus ruficapillus johnstoni,Phylloscopus ruficapilla johnstoni
Passeriformes,Muscicapidae,Pitohui,kirhocephalus,meyri,Pitohui kirhocephalus meyri,Pitohui kirhocephalus meyeri
Passeriformes,Muscicapidae,Platysteira,blissetti,jamesoni,Platysteira blissetti jamesoni,Platysteira jamesoni
Passeriformes,Muscicapidae,Platysteira,cyanea,nyanzae,Platysteira cyanea nyanzae,Platysteira cyanea nyansae
Passeriformes,Muscicapidae,Pogonocichla,stellata,friedmanni,Pogonocichla stellata friedmanni,Pogonocichla stellata ruwenzorii
Passeriformes,Muscicapidae,Pogonocichla,stellata,intercedens,Pogonocichla stellata intercedens,Pogonocichla stellata
Passeriformes,Muscicapidae,Pogonocichla,stellata,keniensis,Pogonocichla stellata keniensis,Pogonocichla stellata guttifer
Passeriformes,Muscicapidae,Pogonocichla,stellata,xanthogaster,Pogonocichla stellata xanthogaster,Stiphrornis erythrothorax xanthogaster
Passeriformes,Muscicapidae,Polioptila,obscura,amoenissima,Polioptila obscura amoenissima,Polioptila caerulea obscura
Passeriformes,Muscicapidae,Polioptila,plumbea,plumbeiceps,Polioptila plumbea plumbeiceps,Polioptila plumbea plumbiceps
Passeriformes,Muscicapidae,Prinia,hodgsoni,hodgsonii,Prinia hodgsoni hodgsonii,Prinia hodgsonii hodgsonii
Passeriformes,Muscicapidae,Prinia,hodgsoni,NA,Prinia hodgsoni NA,Prinia hodgsonii
Passeriformes,Muscicapidae,Prinia,pectoralis,ocularius,Prinia pectoralis ocularius,Malcorus pectoralis ocularius
Passeriformes,Muscicapidae,Pteruthius,xanthochloris,occidentalis,Pteruthius xanthochloris occidentalis,Pteruthius xanthochlorus occidentalis
Passeriformes,Muscicapidae,Ptilorrhoa,castanonota,pulcher,Ptilorrhoa castanonota pulcher,Ptilorrhoa castanonota pulchra
Passeriformes,Muscicapidae,Rhipidura,albolimbrata,albolimbata,Rhipidura albolimbrata albolimbata,Rhipidura albolimbata
Passeriformes,Muscicapidae,Rhipidura,albolimbrata,lorentzi,Rhipidura albolimbrata lorentzi,Rhipidura albolimbata
Passeriformes,Muscicapidae,Rhipidura,rufiventris,finschi,Rhipidura rufiventris finschi,Rhipidura rufiventris finschii
Passeriformes,Muscicapidae,Saxicola,torquatus,indica,Saxicola torquatus indica,Saxicola maurus indicus
Passeriformes,Muscicapidae,Saxicola,torquatus,promiscua,Saxicola torquatus promiscua,Saxicola torquatus promiscuus
Passeriformes,Muscicapidae,Saxicola,torquatus,przewalskii,Saxicola torquatus przewalskii,Saxicola maurus przewalskii
Passeriformes,Muscicapidae,Saxicola,torquatus,rubicola,Saxicola torquatus rubicola,Saxicola rubicola rubicola
Passeriformes,Muscicapidae,Saxicola,torquatus,stejnegeri,Saxicola torquatus stejnegeri,Saxicola stejnegeri
Passeriformes,Muscicapidae,Seicercus,burkii,tephrocela,Seicercus burkii tephrocela,Phylloscopus tephrocephalus
Passeriformes,Muscicapidae,Seicercus,xanthoschistos,albosuperciliaris,Seicercus xanthoschistos albosuperciliaris,Phylloscopus xanthoschistos albosuperciliaris
Passeriformes,Muscicapidae,Seisura,inquieta,NA,Seisura inquieta NA,Myiagra inquieta
Passeriformes,Muscicapidae,Sericornis,NA,NA,Sericornis NA,Sericornis sp
Passeriformes,Muscicapidae,Sericornis,sp,NA,Sericornis sp NA,Sericornis sp
Passeriformes,Muscicapidae,Sericornis,virgatus,NA,Sericornis virgatus NA,Sericornis virgatus
Passeriformes,Muscicapidae,Sphenoeacus,afer,transvaalensis,Sphenoeacus afer transvaalensis,Sphenoeacus afer excisus
Passeriformes,Muscicapidae,Sphenoeacus,mentalis,mentalis,Sphenoeacus mentalis mentalis,Melocichla mentalis mentalis
Passeriformes,Muscicapidae,Sphenoeacus,pycnopygius,NA,Sphenoeacus pycnopygius NA,Achaetops pycnopygius
Passeriformes,Muscicapidae,Spiloptila,rufifrons,smithii,Spiloptila rufifrons smithii,Prinia rufifrons smithi
Passeriformes,Muscicapidae,Sylvia,curruca,blythi,Sylvia curruca blythi,Curruca curruca blythi
Passeriformes,Muscicapidae,Sylvia,minula,minula,Sylvia minula minula,Curruca curruca minula
Passeriformes,Muscicapidae,Sylvietta,whytii,abayensis,Sylvietta whytii abayensis,Sylvietta whytii loringi
Passeriformes,Muscicapidae,Terpsiphone,unirufa,unirufa,Terpsiphone unirufa unirufa,Terpsiphone cinnamomea unirufa
Passeriformes,Muscicapidae,Turdoides,jardineii,kirki,Turdoides jardineii kirki,Turdoides jardineii kirkii
Passeriformes,Muscicapidae,Turdus,hauxwelli,columbianus,Turdus hauxwelli columbianus,Turdus obsoletus colombianus
Passeriformes,Muscicapidae,Turdus,ignobilis,cururensis,Turdus ignobilis cururensis,Turdus ignobilis
Passeriformes,Muscicapidae,Turdus,pilaris,pilaris,Turdus pilaris pilaris,Turdus pilaris
Passeriformes,Muscicapidae,Turdus,rufitorques,grayi,Turdus rufitorques grayi,Turdus grayi
Passeriformes,Muscicapidae,Zoothera,cameronensis,graueri,Zoothera cameronensis graueri,Geokichla camaronensis graueri
Passeriformes,Muscicapidae,Zoothera,citrina,cyanotis,Zoothera citrina cyanotis,Geokichla citrina cyanota
Passeriformes,Muscicapidae,Zoothera,kibalensis,NA,Zoothera kibalensis NA,Geokichla camaronensis kibalensis
Passeriformes,Muscicapidae,Zoothera,tanganjicae,NA,Zoothera tanganjicae NA,Geokichla piaggiae tanganjicae
Cuculiformes,Musophagidae,Corythaixoides,personata,leopoldi,Corythaixoides personata leopoldi,Corythaixoides personatus leopoldi
Cuculiformes,Musophagidae,Crinifer,piscator,piscator,Crinifer piscator piscator,Crinifer piscator
Cuculiformes,Musophagidae,Tauraco,corythaix,emini,Tauraco corythaix emini,Tauraco schuettii emini
Cuculiformes,Musophagidae,Tauraco,corythaix,fischeri,Tauraco corythaix fischeri,Tauraco fischeri fischeri
Cuculiformes,Musophagidae,Tauraco,corythaix,livingstoni,Tauraco corythaix livingstoni,Tauraco livingstonii livingstonii
Cuculiformes,Musophagidae,Tauraco,corythaix,livingstonii,Tauraco corythaix livingstonii,Tauraco livingstonii livingstonii
Cuculiformes,Musophagidae,Tauraco,corythaix,persa,Tauraco corythaix persa,Tauraco persa persa
Cuculiformes,Musophagidae,Tauraco,corythaix,schalowi,Tauraco corythaix schalowi,Tauraco schalowi schalowi
Cuculiformes,Musophagidae,Tauraco,corythaix,zenkeri,Tauraco corythaix zenkeri,Tauraco persa zenkeri
Cuculiformes,Musophagidae,Tauraco,johnstoni,johnstoni,Tauraco johnstoni johnstoni,Ruwenzorornis johnstoni johnstoni
Cuculiformes,Musophagidae,Tauraco,johnstoni,kivuensis,Tauraco johnstoni kivuensis,Ruwenzorornis johnstoni kivuensis
Cuculiformes,Musophagidae,Tauraco,sp,NA,Tauraco sp NA,Tauraco sp
Passeriformes,Nectariniidae,Anthreptes,olivacea,ragazzii,Anthreptes olivacea ragazzii,Cyanomitra olivacea ragazzii
Passeriformes,Nectariniidae,Nectarinia,famosa,aenigularis,Nectarinia famosa aenigularis,Nectarinia famosa cupreonitens
Passeriformes,Nectariniidae,Nectarinia,hartlaubi,NA,Nectarinia hartlaubi NA,Anabathmis hartlaubii
Passeriformes,Nectariniidae,Nectarinia,jugularis,rizophorae,Nectarinia jugularis rizophorae,Cinnyris jugularis rhizophorae
Passeriformes,Nectariniidae,Nectarinia,pulchella,lucidipectus,Nectarinia pulchella lucidipectus,Cinnyris pulchellus pulchellus
Passeriformes,Nectariniidae,Nectarinia,sericeus,corinna,Nectarinia sericeus corinna,Leptocoma aspasia corinna
Passeriformes,Nectariniidae,Nectarinia,sp,NA,Nectarinia sp NA,Nectarinia sp
Caprimulgiformes,Nyctibiidae,Nyctibius,griseus,cornutas,Nyctibius griseus cornutas,Nyctibius griseus griseus
Passeriformes,Oriolidae,Oriolus,xanthornus,maderaspatanas,Oriolus xanthornus maderaspatanas,Oriolus xanthornus maderaspatanus
Gruiformes,Otididae,Afrotis,atra,afraoides,Afrotis atra afraoides,Afrotis afraoides afraoides
Gruiformes,Otididae,Afrotis,atra,damarensis,Afrotis atra damarensis,Afrotis afraoides damarensis
Gruiformes,Otididae,Eupodotis,vigorsii,fitzsimonsi,Eupodotis vigorsii fitzsimonsi,Eupodotis rueppelii fitzsimonsi
Gruiformes,Otididae,Lophotis,ruficrista,grindiana,Lophotis ruficrista grindiana,Eupodotis gindiana
Passeriformes,Paradisaeidae,Loria,loriae,amethystinus,Loria loriae amethystinus,Cnemophilus loriae amethystinus
Passeriformes,Paradisaeidae,Paradisaea,apoda,novaeguinea cf,Paradisaea apoda novaeguinea cf,Paradisaea apoda novaeguineae
Passeriformes,Paradisaeidae,Paradisaea,NA,NA,Paradisaea NA,Paradisaea sp
Passeriformes,Paridae,Baeolophus,bicolor,atricristatus,Baeolophus bicolor atricristatus,Baeolophus atricristatus atricristatus
Passeriformes,Paridae,Baeolophus,bicolor,bicolor,Baeolophus bicolor bicolor,Baeolophus bicolor
Passeriformes,Paridae,Baeolophus,inornatus,kernensis,Baeolophus inornatus kernensis,Baeolophus inornatus inornatus
Passeriformes,Paridae,Baeolophus,inornatus,transpositus,Baeolophus inornatus transpositus,Baeolophus inornatus affabilis
Passeriformes,Paridae,Poecile,gambeli,atrata,Poecile gambeli atrata,Poecile gambeli atratus
Passeriformes,Parulidae,Basileuterus,melanogenys,plumbea,Basileuterus melanogenys plumbea,Basileuterus melanogenys
Passeriformes,Parulidae,Basileuterus,rufifrons,delatrii,Basileuterus rufifrons delatrii,Basileuterus delattrii
Passeriformes,Parulidae,Basileuterus,tristriatus,auricularia,Basileuterus tristriatus auricularia,Basileuterus tristriatus auricularis
Passeriformes,Parulidae,Coereba,flaveola,aterima,Coereba flaveola aterima,Coereba flaveola aterrima
Passeriformes,Parulidae,Dendroica,coronata,audoboni,Dendroica coronata audoboni,Setophaga coronata auduboni
Passeriformes,Parulidae,Dendroica,nigrescens,halsei,Dendroica nigrescens halsei,Setophaga nigrescens halseii
Passeriformes,Parulidae,Dendroica,petechia,brewsteri,Dendroica petechia brewsteri,Setophaga aestiva brewsteri
Passeriformes,Parulidae,Myioborus,miniatus,sanctamartae,Myioborus miniatus sanctamartae,Myioborus miniatus sanctaemartae
Passeriformes,Parulidae,Oporornis,formosus,NA,Oporornis formosus NA,Geothlypis formosa
Passeriformes,Parulidae,Oporornis,philadelphia,NA,Oporornis philadelphia NA,Geothlypis philadelphia
Passeriformes,Parulidae,Oporornis,tolmiei,monticola,Oporornis tolmiei monticola,Geothlypis tolmiei monticola
Passeriformes,Parulidae,Oporornis,tolmiei,NA,Oporornis tolmiei NA,Geothlypis tolmiei
Passeriformes,Parulidae,Oporornis,tolmiei,tolmiei,Oporornis tolmiei tolmiei,Geothlypis tolmiei tolmiei
Passeriformes,Parulidae,Oreothlypis,celata,NA,Oreothlypis celata NA,Leiothlypis celata
Passeriformes,Parulidae,Seiurus,aurocapilla,aurocapillus,Seiurus aurocapilla aurocapillus,Seiurus aurocapilla aurocapilla
Pelecaniformes,Pelecanidae,Pelecanus,philippensis(?),NA,Pelecanus philippensis(?) NA,Pelecanus philippensis
Pelecaniformes,Pelecanidae,Pelecanus,roseus,NA,Pelecanus roseus NA,Pelecanus onocrotalus
Pelecaniformes,Pelecanidae,Pelecanus,sp,NA,Pelecanus sp NA,Pelecanus sp
Pelecaniformes,Phaethontidae,Phaethon,aethereus,limatus,Phaethon aethereus limatus,Phaethon aethereus mesonauta
Pelecaniformes,Phaethontidae,Phaethon,rubricauda,rothschildi,Phaethon rubricauda rothschildi,Phaethon rubricauda melanorhynchos
Pelecaniformes,Phalacrocoracidae,Halietor,africanus,africanus,Halietor africanus africanus,Microcarbo africanus africanus
Pelecaniformes,Phalacrocoracidae,Halietor,africanus,NA,Halietor africanus NA,Microcarbo africanus
Pelecaniformes,Phalacrocoracidae,Halietor,melanoleucos,brevirostris,Halietor melanoleucos brevirostris,Microcarbo melanoleucos brevirostris
Pelecaniformes,Phalacrocoracidae,Halietor,melanoleucos,NA,Halietor melanoleucos NA,Microcarbo melanoleucos
Pelecaniformes,Phalacrocoracidae,Halietor,niger,NA,Halietor niger NA,Microcarbo niger
Pelecaniformes,Phalacrocoracidae,Phalacrocorax,bougainvilli,NA,Phalacrocorax bougainvilli NA,Leucocarbo bougainvillii
Pelecaniformes,Phalacrocoracidae,Phalacrocorax,brasilianus,brasilianus,Phalacrocorax brasilianus brasilianus,Nannopterum brasilianum brasilianum
Pelecaniformes,Phalacrocoracidae,Phalacrocorax,brasilianus,mexicanus,Phalacrocorax brasilianus mexicanus,Nannopterum brasilianum mexicanum
Pelecaniformes,Phalacrocoracidae,Phalacrocorax,sp,NA,Phalacrocorax sp NA,Phalacrocorax sp
Galliformes,Phasianidae,Alectoris,melanocephala,melanocephala,Alectoris melanocephala melanocephala,Alectoris melanocephala
Galliformes,Phasianidae,Bonasa,bonasia,bonasia,Bonasa bonasia bonasia,Tetrastes bonasia bonasia
Galliformes,Phasianidae,Bonasa,bonasia,NA,Bonasa bonasia NA,Tetrastes bonasia
Galliformes,Phasianidae,Bonasa,bonasia,rupestris,Bonasa bonasia rupestris,Tetrastes bonasia rupestris
Galliformes,Phasianidae,Callipepla,gambelii,friedmanni,Callipepla gambelii friedmanni,Callipepla gambelii fulvipectus
Galliformes,Phasianidae,Callipepla,squamata,castanogastra,Callipepla squamata castanogastra,Callipepla squamata castanogastris
Galliformes,Phasianidae,Centrocercus,urophasianus,urophasianus,Centrocercus urophasianus urophasianus,Centrocercus urophasianus
Galliformes,Phasianidae,Colinus,leucopogon,incanus,Colinus leucopogon incanus,Colinus leucopogon incanus
Galliformes,Phasianidae,Colinus,NA,NA,Colinus NA,Colinus sp
Galliformes,Phasianidae,Coturnix,(novaezelandiae?),NA,Coturnix (novaezelandiae?) NA,Coturnix novaezelandiae
Galliformes,Phasianidae,Coturnix,sp,NA,Coturnix sp NA,Coturnix sp
Galliformes,Phasianidae,Dendragapus,obscurus,richardsoni,Dendragapus obscurus richardsoni,Dendragapus obscurus richardsonii
Galliformes,Phasianidae,Falcipennis,canadensis,atratus,Falcipennis canadensis atratus,Canachites canadensis atratus
Galliformes,Phasianidae,Falcipennis,canadensis,canadensis,Falcipennis canadensis canadensis,Canachites canadensis canadensis
Galliformes,Phasianidae,Falcipennis,canadensis,franklinii,Falcipennis canadensis franklinii,Canachites canadensis franklinii
Galliformes,Phasianidae,Falcipennis,canadensis,osgoodi,Falcipennis canadensis osgoodi,Canachites canadensis osgoodi
Galliformes,Phasianidae,Francolinus,afer,humboldtii,Francolinus afer humboldtii,Pternistis afer humboldtii
Galliformes,Phasianidae,Francolinus,afer,lehmanni,Francolinus afer lehmanni,Pternistis afer castaneiventer
Galliformes,Phasianidae,Francolinus,afer,leucoparaeus,Francolinus afer leucoparaeus,Pternistis afer leucoparaeus
Galliformes,Phasianidae,Francolinus,afer,NA,Francolinus afer NA,Pternistis afer
Galliformes,Phasianidae,Francolinus,hartlaubi,crypticus,Francolinus hartlaubi crypticus,Pternistis hartlaubi
Galliformes,Phasianidae,Francolinus,jacksoni,pollenorum,Francolinus jacksoni pollenorum,Pternistis jacksoni
Galliformes,Phasianidae,Francolinus,leucoscepus,infuscatus,Francolinus leucoscepus infuscatus,Pternistis leucoscepus
Galliformes,Phasianidae,Francolinus,leucoscepus,NA,Francolinus leucoscepus NA,Pternistis leucoscepus
Galliformes,Phasianidae,Francolinus,levaillantoides,archeri,Francolinus levaillantoides archeri,Scleroptila gutturalis archeri
Galliformes,Phasianidae,Francolinus,levaillantoides,pallidior,Francolinus levaillantoides pallidior,Scleroptila gutturalis pallidior
Galliformes,Phasianidae,Francolinus,nobilis,nobilis,Francolinus nobilis nobilis,Pternistis nobilis
Galliformes,Phasianidae,Francolinus,rufopictus,NA,Francolinus rufopictus NA,Pternistis rufopictus
Galliformes,Phasianidae,Francolinus,shelleyi,uluensis,Francolinus shelleyi uluensis,Scleroptila shelleyi
Galliformes,Phasianidae,Francolinus,swainsonii,damarensis,Francolinus swainsonii damarensis,Pternistis swainsonii
Galliformes,Phasianidae,Gallus,gallus,(domestic chicken),Gallus gallus (domestic chicken),Gallus gallus (domestic chicken)
Galliformes,Phasianidae,Gallus,gallus,(silky chicken),Gallus gallus (silky chicken),Gallus gallus (domestic chicken)
Galliformes,Phasianidae,Guttera,edouardi,sethsmithi,Guttera edouardi sethsmithi,Guttera verreauxi verreauxi
Galliformes,Phasianidae,Lagopus,lagopus,scotocus,Lagopus lagopus scotocus,Lagopus lagopus scotica
Galliformes,Phasianidae,Lophophorus,impeyanus,NA,Lophophorus impeyanus NA,Lophophorus impejanus
Galliformes,Phasianidae,Lophura,erythrophthalma,pyronota,Lophura erythrophthalma pyronota,Lophura pyronota
Galliformes,Phasianidae,Lophura,ignita,rufa,Lophura ignita rufa,Lophura rufa
Galliformes,Phasianidae,Lophura,imperialis,NA,Lophura imperialis NA,Lophura edwardsi x nycthemera
Galliformes,Phasianidae,Lophura,leucomelana,hamiltonii,Lophura leucomelana hamiltonii,Lophura leucomelanos hamiltonii
Galliformes,Phasianidae,Lophura,leucomelana,leucomelana,Lophura leucomelana leucomelana,Lophura leucomelanos leucomelanos
Galliformes,Phasianidae,Lophura,leucomelana,lineata,Lophura leucomelana lineata,Lophura leucomelanos lineata
Galliformes,Phasianidae,Lophura,leucomelana,NA,Lophura leucomelana NA,Lophura leucomelanos
Galliformes,Phasianidae,Lophura,leucomelana,williamsi,Lophura leucomelana williamsi,Lophura leucomelanos williamsi
Galliformes,Phasianidae,Meleagris,gallopavo,(domestic turkey),Meleagris gallopavo (domestic turkey),Meleagris gallopavo (domestic turkey)
Galliformes,Phasianidae,Oreortyx,picta,confinis,Oreortyx picta confinis,Oreortyx pictus confinis
Galliformes,Phasianidae,Oreortyx,picta,eremophilus,Oreortyx picta eremophilus,Oreortyx pictus
Galliformes,Phasianidae,Oreortyx,picta,palmeri,Oreortyx picta palmeri,Oreortyx pictus pictus
Galliformes,Phasianidae,Oreortyx,picta,picta,Oreortyx picta picta,Oreortyx pictus pictus
Galliformes,Phasianidae,Phasianus,sp,NA,Phasianus sp NA,Phasianus sp
Galliformes,Phasianidae,Ptilopachus,petrosus,florentiae,Ptilopachus petrosus florentiae,Ptilopachus petrosus florentiae
Galliformes,Phasianidae,Syrmaticus,reevesi,NA,Syrmaticus reevesi NA,Syrmaticus reevesii
Galliformes,Phasianidae,Tetrao,tetrix,NA,Tetrao tetrix NA,Lyrurus tetrix
Galliformes,Phasianidae,Tetrao,tetrix,tetrix,Tetrao tetrix tetrix,Lyrurus tetrix tetrix
Galliformes,Phasianidae,Tympanuchus,cupido,pallidicinctus,Tympanuchus cupido pallidicinctus,Tympanuchus pallidicinctus
Ciconiiformes,Phoenicopteridae,Phoenicopterus,sp,NA,Phoenicopterus sp NA,Phoenicopterus sp
Piciformes,Picidae,Campephilus,guatemalensis,dorsofasciatus,Campephilus guatemalensis dorsofasciatus,Campephilus guatemalensis nelsoni
Piciformes,Picidae,Campephilus,melanoleucos,malherbi,Campephilus melanoleucos malherbi,Campephilus melanoleucos malherbii
Piciformes,Picidae,Campethera,abingoni,vibrator,Campethera abingoni vibrator,Campethera abingoni suahelica
Piciformes,Picidae,Campethera,cailliautii,fulleborni,Campethera cailliautii fulleborni,Campethera cailliautii nyansae
Piciformes,Picidae,Campethera,notata,notata,Campethera notata notata,Campethera notata
Piciformes,Picidae,Celeus,brachyurus,annamensis,Celeus brachyurus annamensis,Micropternus brachyurus annamensis
Piciformes,Picidae,Celeus,brachyurus,phaioceps,Celeus brachyurus phaioceps,Micropternus brachyurus phaioceps
Piciformes,Picidae,Celeus,elegans,jumana,Celeus elegans jumana,Celeus elegans jumanus
Piciformes,Picidae,Colaptes,auratus,martirensis,Colaptes auratus martirensis,Colaptes auratus collaris
Piciformes,Picidae,Colaptes,melanochloros,flavilumbis,Colaptes melanochloros flavilumbis,Colaptes melanochloros nattereri
Piciformes,Picidae,Colaptes,punctigula,rubidipectus,Colaptes punctigula rubidipectus,Colaptes punctigula guttatus
Piciformes,Picidae,Colaptes,punctigula,speciosus,Colaptes punctigula speciosus,Colaptes punctigula guttatus
Piciformes,Picidae,Dendrocopos,auriceps,auriceps,Dendrocopos auriceps auriceps,Dendrocoptes auriceps
Piciformes,Picidae,Dendrocopos,auriceps,incognitus,Dendrocopos auriceps incognitus,Dendrocoptes auriceps
Piciformes,Picidae,Dendropicos,elliotii,NA,Dendropicos elliotii NA,Chloropicus elliotii
Piciformes,Picidae,Dendropicos,fuscescens,hartlaubi,Dendropicos fuscescens hartlaubi,Chloropicus fuscescens hartlaubii
Piciformes,Picidae,Dendropicos,gabonensis,gabonensis,Dendropicos gabonensis gabonensis,Chloropicus gabonensis gabonensis
Piciformes,Picidae,Dendropicos,goertae,centralis,Dendropicos goertae centralis,Chloropicus goertae goertae
Piciformes,Picidae,Dendropicos,goertae,konigi,Dendropicos goertae konigi,Chloropicus goertae koenigi
Piciformes,Picidae,Dendropicos,goertae,rhodeogaster,Dendropicos goertae rhodeogaster,Chloropicus spodocephalus rhodeogaster
Piciformes,Picidae,Dendropicos,griseocephalus,griseocephalus,Dendropicos griseocephalus griseocephalus,Chloropicus griseocephalus griseocephalus
Piciformes,Picidae,Dendropicos,griseocephalus,persimilis,Dendropicos griseocephalus persimilis,Chloropicus griseocephalus griseocephalus
Piciformes,Picidae,Dendropicos,griseocephalus,ruwenzori,Dendropicos griseocephalus ruwenzori,Chloropicus griseocephalus ruwenzori
Piciformes,Picidae,Dendropicos,namaquus,decipiens,Dendropicos namaquus decipiens,Chloropicus namaquus namaquus
Piciformes,Picidae,Dendropicos,namaquus,namaquus,Dendropicos namaquus namaquus,Chloropicus namaquus namaquus
Piciformes,Picidae,Dendropicos,namaquus,schoensis,Dendropicos namaquus schoensis,Chloropicus namaquus schoensis
Piciformes,Picidae,Dendropicos,xantholophus,NA,Dendropicos xantholophus NA,Chloropicus xantholophus
Piciformes,Picidae,Dryocopus,lineatus,improcercus,Dryocopus lineatus improcercus,Dryocopus lineatus lineatus
Piciformes,Picidae,Melanerpes,chrysogenys,morelensis,Melanerpes chrysogenys morelensis,Melanerpes chrysogenys flavinuchus
Piciformes,Picidae,Melanerpes,uropygialis,albescens,Melanerpes uropygialis albescens,Melanerpes uropygialis uropygialis
Piciformes,Picidae,Melanerpes,uropygialis,fuscescens,Melanerpes uropygialis fuscescens,Melanerpes uropygialis uropygialis
Piciformes,Picidae,Melanerpes,uropygialis,sulfuriventer,Melanerpes uropygialis sulfuriventer,Melanerpes uropygialis uropygialis
Piciformes,Picidae,Melanerpes,uropygialis,tiburonensis,Melanerpes uropygialis tiburonensis,Melanerpes uropygialis uropygialis
Piciformes,Picidae,Picoides,albolarvatus,albolarvatus,Picoides albolarvatus albolarvatus,Dryobates albolarvatus albolarvatus
Piciformes,Picidae,Picoides,albolarvatus,gravirostris,Picoides albolarvatus gravirostris,Dryobates albolarvatus gravirostris
Piciformes,Picidae,Picoides,albolarvatus,NA,Picoides albolarvatus NA,Dryobates albolarvatus
Piciformes,Picidae,Picoides,borealis,borealis,Picoides borealis borealis,Dryobates borealis
Piciformes,Picidae,Picoides,borealis,hylonomus,Picoides borealis hylonomus,Dryobates borealis
Piciformes,Picidae,Picoides,lignarius,NA,Picoides lignarius NA,Veniliornis lignarius
Piciformes,Picidae,Picoides,major,candidus,Picoides major candidus,Dendrocopos major candidus
Piciformes,Picidae,Picoides,mixtus,malleator,Picoides mixtus malleator,Dryobates mixtus malleator
Piciformes,Picidae,Picoides,mixtus,mixtus,Picoides mixtus mixtus,Dryobates mixtus mixtus
Piciformes,Picidae,Picoides,mixtus,NA,Picoides mixtus NA,Dryobates mixtus
Piciformes,Picidae,Picoides,nuttallii,NA,Picoides nuttallii NA,Dryobates nuttallii
Piciformes,Picidae,Picoides,pubescens,gairdnerii,Picoides pubescens gairdnerii,Dryobates pubescens gairdnerii
Piciformes,Picidae,Picoides,pubescens,leucurus,Picoides pubescens leucurus,Dryobates pubescens leucurus
Piciformes,Picidae,Picoides,pubescens,medianus,Picoides pubescens medianus,Dryobates pubescens medianus
Piciformes,Picidae,Picoides,pubescens,NA,Picoides pubescens NA,Dryobates pubescens
Piciformes,Picidae,Picoides,pubescens,pubescens,Picoides pubescens pubescens,Dryobates pubescens pubescens
Piciformes,Picidae,Picoides,pubescens,turati,Picoides pubescens turati,Dryobates pubescens turati
Piciformes,Picidae,Picoides,scalaris,cactophilus,Picoides scalaris cactophilus,Dryobates scalaris cactophilus
Piciformes,Picidae,Picoides,scalaris,centrophilus,Picoides scalaris centrophilus,Dryobates scalaris cactophilus
Piciformes,Picidae,Picoides,scalaris,eremicus,Picoides scalaris eremicus,Dryobates scalaris eremicus
Piciformes,Picidae,Picoides,scalaris,giraudi,Picoides scalaris giraudi,Dryobates scalaris cactophilus
Piciformes,Picidae,Picoides,scalaris,graysoni,Picoides scalaris graysoni,Dryobates scalaris graysoni
Piciformes,Picidae,Picoides,scalaris,lucasanus,Picoides scalaris lucasanus,Dryobates scalaris lucasanus
Piciformes,Picidae,Picoides,scalaris,percus,Picoides scalaris percus,Dryobates scalaris scalaris
Piciformes,Picidae,Picoides,scalaris,sinaloensis,Picoides scalaris sinaloensis,Dryobates scalaris sinaloensis
Piciformes,Picidae,Picoides,stricklandi,arizonae,Picoides stricklandi arizonae,Dryobates arizonae arizonae
Piciformes,Picidae,Picoides,stricklandi,aztecus,Picoides stricklandi aztecus,Dryobates stricklandi
Piciformes,Picidae,Picoides,stricklandi,fraterculus,Picoides stricklandi fraterculus,Dryobates arizonae fraterculus
Piciformes,Picidae,Picoides,stricklandi,NA,Picoides stricklandi NA,Dryobates stricklandi
Piciformes,Picidae,Picoides,tridactylus,dorsalis,Picoides tridactylus dorsalis,Picoides dorsalis dorsalis
Piciformes,Picidae,Picoides,tridactylus,fasciatus,Picoides tridactylus fasciatus,Picoides dorsalis fasciatus
Piciformes,Picidae,Picoides,villosus,auduboni,Picoides villosus auduboni,Dryobates villosus audubonii
Piciformes,Picidae,Picoides,villosus,audubonii,Picoides villosus audubonii,Dryobates villosus audubonii
Piciformes,Picidae,Picoides,villosus,extimus,Picoides villosus extimus,Dryobates villosus extimus
Piciformes,Picidae,Picoides,villosus,harrisi,Picoides villosus harrisi,Dryobates villosus harrisi
Piciformes,Picidae,Picoides,villosus,hyloscopus,Picoides villosus hyloscopus,Dryobates villosus hyloscopus
Piciformes,Picidae,Picoides,villosus,icastus,Picoides villosus icastus,Dryobates villosus icastus
Piciformes,Picidae,Picoides,villosus,jardinii,Picoides villosus jardinii,Dryobates villosus jardinii
Piciformes,Picidae,Picoides,villosus,leucothorectis,Picoides villosus leucothorectis,Dendrocopos villosus leucothorectis
Piciformes,Picidae,Picoides,villosus,monticola,Picoides villosus monticola,Dendrocopos villosus monticola
Piciformes,Picidae,Picoides,villosus,NA,Picoides villosus NA,Dryobates villosus
Piciformes,Picidae,Picoides,villosus,orius,Picoides villosus orius,Dryobates villosus orius
Piciformes,Picidae,Picoides,villosus,sanctorum,Picoides villosus sanctorum,Dryobates villosus sanctorum
