"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"1","Wilsonia pusilla NA","Parulidae","Passeriformes","Cardellina pusilla NA",36122,"Parulidae","PASSERIFORMES"
"2","Tchagra cruenta hilgerti","Laniidae","Passeriformes","Rhodophoneus cruentus hilgerti",20042,"Malaconotidae","PASSERIFORMES"
"3","Tchagra australis emini","Laniidae","Passeriformes","Tchagra australis emini",20052,"Malaconotidae","PASSERIFORMES"
"4","Colius colius NA","Coliidae","Coliiformes","Colius colius NA",9795,"Coliidae","COLIIFORMES"
"5","Phaethon rubricauda melanorhynchos","Phaethontidae","Pelecaniformes","Phaethon rubricauda melanorhynchos",7274,"Phaethontidae","PHAETHONTIFORMES"
"6","Eubucco bourcierii NA","Capitonidae","Piciformes","Eubucco bourcierii NA",11104,"Capitonidae","PICIFORMES"
"7","Mino anais NA","Sturnidae","Passeriformes","Mino anais NA",29597,"Sturnidae","PASSERIFORMES"
"8","Tchagra jamesi jamesi","Laniidae","Passeriformes","Tchagra jamesi jamesi",20063,"Malaconotidae","PASSERIFORMES"
"9","Tchagra australis minor","Laniidae","Passeriformes","Tchagra australis minor",20053,"Malaconotidae","PASSERIFORMES"
"10","Lanius ludovicianus anthonyi","Laniidae","Passeriformes","Lanius ludovicianus anthonyi",22386,"Laniidae","PASSERIFORMES"
"11","Telophorus nigrifrons nigrifrons","Laniidae","Passeriformes","Telophorus nigrifrons nigrifrons",20012,"Malaconotidae","PASSERIFORMES"
"12","Carduelis xanthogastra xanthogastra","Fringillidae","Passeriformes","Spinus xanthogastrus xanthogastrus",34413,"Fringillidae","PASSERIFORMES"
"13","Carduelis tristis tristis","Fringillidae","Passeriformes","Spinus tristis tristis",34393,"Fringillidae","PASSERIFORMES"
"14","Capito maculicoronatus NA","Capitonidae","Piciformes","Capito maculicoronatus NA",11067,"Capitonidae","PICIFORMES"
"15","Lanius ludovicianus sonoriensis","Laniidae","Passeriformes","Lanius ludovicianus sonoriensis",22382,"Laniidae","PASSERIFORMES"
"16","Lanius ludovicianus gambeli","Laniidae","Passeriformes","Lanius ludovicianus gambeli",22381,"Laniidae","PASSERIFORMES"
"17","Telophorus bocagei jacksoni","Laniidae","Passeriformes","Telophorus bocagei jacksoni",20023,"Malaconotidae","PASSERIFORMES"
"18","Lanius excubitor leucopygos","Laniidae","Passeriformes","Lanius excubitor leucopygos",22370,"Laniidae","PASSERIFORMES"
"19","Carduelis tristis salicamans","Fringillidae","Passeriformes","Spinus tristis salicamans",34392,"Fringillidae","PASSERIFORMES"
"20","Lanius collaris NA","Laniidae","Passeriformes","Lanius collaris NA",22416,"Laniidae","PASSERIFORMES"
"21","Laniarius funebris degener","Laniidae","Passeriformes","Laniarius funebris degener",20121,"Malaconotidae","PASSERIFORMES"
"22","Dryoscopus gambensis gambensis","Laniidae","Passeriformes","Dryoscopus gambensis gambensis",20103,"Malaconotidae","PASSERIFORMES"
"23","Tchagra australis littoralis","Laniidae","Passeriformes","Tchagra australis minor",20054,"Malaconotidae","PASSERIFORMES"
"24","Tchagra senegala remigialis","Laniidae","Passeriformes","Tchagra senegalus remigialis",20072,"Malaconotidae","PASSERIFORMES"
"25","Carduelis psaltria psaltria","Fringillidae","Passeriformes","Spinus psaltria psaltria",34397,"Fringillidae","PASSERIFORMES"
"26","Carduelis psaltria witti","Fringillidae","Passeriformes","Spinus psaltria witti",34396,"Fringillidae","PASSERIFORMES"
"27","Tchagra minuta minuta","Laniidae","Passeriformes","Bocagia minuta minuta",20045,"Malaconotidae","PASSERIFORMES"
"28","Phaethon lepturus dorotheae","Phaethontidae","Pelecaniformes","Phaethon lepturus dorotheae",7281,"Phaethontidae","PHAETHONTIFORMES"
"29","Picus viridis viridis","Picidae","Piciformes","Picus viridis viridis",12603,"Picidae","PICIFORMES"
"30","Lanius collurio NA","Laniidae","Passeriformes","Lanius collurio NA",22442,"Laniidae","PASSERIFORMES"
"31","Sula sula rubripes","Sulidae","Pelecaniformes","Sula sula rubripes",7682,"Sulidae","SULIFORMES"
"32","Tchagra tchagra natalensis","Laniidae","Passeriformes","Tchagra tchagra natalensis",20067,"Malaconotidae","PASSERIFORMES"
"33","Megalaima virens NA","Capitonidae","Piciformes","Psilopogon virens NA",11258,"Megalaimidae","PICIFORMES"
"34","Prionops scopifrons NA","Laniidae","Passeriformes","Prionops scopifrons NA",20254,"Vangidae","PASSERIFORMES"
"35","Carduelis psaltria hesperophila","Fringillidae","Passeriformes","Spinus psaltria hesperophilus",34395,"Fringillidae","PASSERIFORMES"
"36","Capito niger NA","Capitonidae","Piciformes","Capito niger NA",11080,"Capitonidae","PICIFORMES"
"37","Sula dactylatra personata","Sulidae","Pelecaniformes","Sula dactylatra personata",7677,"Sulidae","SULIFORMES"
"38","Phaethon lepturus catesbyi","Phaethontidae","Pelecaniformes","Phaethon lepturus catesbyi",7276,"Phaethontidae","PHAETHONTIFORMES"
"39","Prionops caniceps mentalis","Laniidae","Passeriformes","Prionops rufiventris mentalis",20245,"Vangidae","PASSERIFORMES"
"40","Phaethon aethereus mesonauta","Phaethontidae","Pelecaniformes","Phaethon aethereus mesonauta",7267,"Phaethontidae","PHAETHONTIFORMES"
"41","Tchagra australis damarensis","Laniidae","Passeriformes","Tchagra australis damarensis",20061,"Malaconotidae","PASSERIFORMES"
"42","Lanius cristatus cristatus","Laniidae","Passeriformes","Lanius cristatus cristatus",22455,"Laniidae","PASSERIFORMES"
"43","Prionops scopifrons scopifrons","Laniidae","Passeriformes","Prionops scopifrons scopifrons",20257,"Vangidae","PASSERIFORMES"
"44","Malaconotus blanchoti approximans","Laniidae","Passeriformes","Malaconotus blanchoti approximans",19994,"Malaconotidae","PASSERIFORMES"
"45","Tchagra cruenta NA","Laniidae","Passeriformes","Rhodophoneus cruentus NA",20039,"Malaconotidae","PASSERIFORMES"
"46","Prionops scopifrons kirki","Laniidae","Passeriformes","Prionops scopifrons kirki",20255,"Vangidae","PASSERIFORMES"
"47","Laniarius ferrugineus major","Laniidae","Passeriformes","Laniarius major major",20138,"Malaconotidae","PASSERIFORMES"
"48","Tchagra senegala senegala","Laniidae","Passeriformes","Tchagra senegalus senegalus",20074,"Malaconotidae","PASSERIFORMES"
"49","Tchagra senegala confusa","Laniidae","Passeriformes","Tchagra senegalus orientalis",20082,"Malaconotidae","PASSERIFORMES"
"50","Picus viridis NA","Picidae","Piciformes","Picus viridis NA",12602,"Picidae","PICIFORMES"
"51","Agelaius phoeniceus neutralis","Icteridae","Passeriformes","Agelaius phoeniceus neutralis",35650,"Icteridae","PASSERIFORMES"
"52","Dryoscopus gambensis erwini","Laniidae","Passeriformes","NA NA NA",20105,"Malaconotidae","PASSERIFORMES"
"53","Corvinella melanoleuca melanoleuca","Laniidae","Passeriformes","Lanius melanoleucus melanoleucus",22354,"Laniidae","PASSERIFORMES"
"54","Sula nebouxii nebouxii","Sulidae","Pelecaniformes","Sula nebouxii nebouxii",7670,"Sulidae","SULIFORMES"
"55","Nilaus afer minor","Laniidae","Passeriformes","Nilaus afer minor",20170,"Malaconotidae","PASSERIFORMES"
"56","Lanius ludovicianus NA","Laniidae","Passeriformes","Lanius ludovicianus NA",22379,"Laniidae","PASSERIFORMES"
"57","Carduelis tristis pallida","Fringillidae","Passeriformes","Spinus tristis pallidus",34390,"Fringillidae","PASSERIFORMES"
"58","Porphyrio poliocephalus NA","Rallidae","Gruiformes","Porphyrio poliocephalus NA",5943,"Rallidae","GRUIFORMES"
"59","Sula leucogaster plotus","Sulidae","Pelecaniformes","Sula leucogaster plotus",7688,"Sulidae","SULIFORMES"
"60","Synallaxis rutilans omissa","Furnariidae","Passeriformes","Synallaxis rutilans omissa",15591,"Furnariidae","PASSERIFORMES"
"61","Synallaxis rutilans caquetensis","Furnariidae","Passeriformes","Synallaxis rutilans caquetensis",15583,"Furnariidae","PASSERIFORMES"
"62","Synallaxis stictothorax stictothorax","Furnariidae","Passeriformes","Synallaxis stictothorax stictothorax",15488,"Furnariidae","PASSERIFORMES"
"63","Synallaxis unirufa unirufa","Furnariidae","Passeriformes","Synallaxis unirufa unirufa",15568,"Furnariidae","PASSERIFORMES"
"64","Upucerthia dumetaria dumetaria","Furnariidae","Passeriformes","Upucerthia dumetaria dumetaria",14954,"Furnariidae","PASSERIFORMES"
"65","Margarornis rubiginosus rubiginosus","Furnariidae","Passeriformes","Margarornis rubiginosus rubiginosus",15193,"Furnariidae","PASSERIFORMES"
"66","Margarornis squamiger perlatus","Furnariidae","Passeriformes","Margarornis squamiger perlatus",15197,"Furnariidae","PASSERIFORMES"
"67","Automolus ochrolaemus amusos","Furnariidae","Passeriformes","Automolus ochrolaemus amusos",15150,"Furnariidae","PASSERIFORMES"
"68","Automolus ochrolaemus auricularis","Furnariidae","Passeriformes","Automolus ochrolaemus auricularis",15155,"Furnariidae","PASSERIFORMES"
"69","Automolus ochrolaemus cervinigularis","Furnariidae","Passeriformes","Automolus ochrolaemus cervinigularis",15148,"Furnariidae","PASSERIFORMES"
"70","Automolus ochrolaemus exsertus","Furnariidae","Passeriformes","Automolus exsertus NA",15156,"Furnariidae","PASSERIFORMES"
"71","Automolus ochrolaemus hypophaeus","Furnariidae","Passeriformes","Automolus ochrolaemus hypophaeus",15149,"Furnariidae","PASSERIFORMES"
"72","Automolus ochrolaemus turdinus","Furnariidae","Passeriformes","Automolus ochrolaemus turdinus",15153,"Furnariidae","PASSERIFORMES"
"73","Automolus rubiginosus nigricauda","Furnariidae","Passeriformes","Clibanornis rubiginosus nigricauda",15111,"Furnariidae","PASSERIFORMES"
"74","Automolus rubiginosus obscurus","Furnariidae","Passeriformes","Clibanornis rubiginosus obscurus",15120,"Furnariidae","PASSERIFORMES"
"75","Automolus rubiginosus watkinsi","Furnariidae","Passeriformes","Clibanornis rubiginosus watkinsi",15117,"Furnariidae","PASSERIFORMES"
"76","Automolus infuscatus cervicalis","Furnariidae","Passeriformes","Automolus infuscatus cervicalis",15169,"Furnariidae","PASSERIFORMES"
"77","Automolus infuscatus paraensis","Furnariidae","Passeriformes","Automolus paraensis NA",15171,"Furnariidae","PASSERIFORMES"
"78","Automolus leucophthalmus lammi","Furnariidae","Passeriformes","Automolus lammi NA",15173,"Furnariidae","PASSERIFORMES"
"79","Automolus leucophthalmus sulphurascens","Furnariidae","Passeriformes","Automolus leucophthalmus sulphurascens",15177,"Furnariidae","PASSERIFORMES"
"80","Carduelis pinus pinus","Fringillidae","Passeriformes","Spinus pinus pinus",34403,"Fringillidae","PASSERIFORMES"
"81","Prionops plumata plumata","Laniidae","Passeriformes","Prionops plumatus plumatus",20230,"Vangidae","PASSERIFORMES"
"82","Anas falcata NA","Anatidae","Anseriformes","Mareca falcata NA",394,"Anatidae","ANSERIFORMES"
"83","Euphonia xanthogaster NA","Emberizidae","Passeriformes","Euphonia xanthogaster NA",34521,"Fringillidae","PASSERIFORMES"
"84","Euphonia xanthogaster chocoensis","Emberizidae","Passeriformes","Euphonia xanthogaster chocoensis",34523,"Fringillidae","PASSERIFORMES"
"85","Euphonia xanthogaster brevirostris","Emberizidae","Passeriformes","Euphonia xanthogaster brevirostris",34530,"Fringillidae","PASSERIFORMES"
"86","Euphonia xanthogaster xanthogaster","Emberizidae","Passeriformes","Euphonia xanthogaster xanthogaster",34532,"Fringillidae","PASSERIFORMES"
"87","Coryphospingus cucullatus cucullatus","Emberizidae","Passeriformes","Coryphospingus cucullatus cucullatus",36781,"Thraupidae","PASSERIFORMES"
"88","Coryphospingus cucullatus NA","Emberizidae","Passeriformes","Coryphospingus cucullatus NA",36780,"Thraupidae","PASSERIFORMES"
"89","Coryphospingus cucullatus fargoi","Emberizidae","Passeriformes","Coryphospingus cucullatus fargoi",36783,"Thraupidae","PASSERIFORMES"
"90","Coryphospingus cucullatus rubescens","Emberizidae","Passeriformes","Coryphospingus cucullatus rubescens",36782,"Thraupidae","PASSERIFORMES"
"91","Coryphospingus pileatus brevicaudus","Emberizidae","Passeriformes","Coryphospingus pileatus brevicaudus",36778,"Thraupidae","PASSERIFORMES"
"92","Coryphospingus pileatus pileatus","Emberizidae","Passeriformes","Coryphospingus pileatus pileatus",36779,"Thraupidae","PASSERIFORMES"
"93","Coryphospingus pileatus rostratus","Emberizidae","Passeriformes","Coryphospingus pileatus rostratus",36777,"Thraupidae","PASSERIFORMES"
"94","Coryphospingus pileatus NA","Emberizidae","Passeriformes","Coryphospingus pileatus NA",36776,"Thraupidae","PASSERIFORMES"
"95","Hemispingus atropileus atropileus","Emberizidae","Passeriformes","Kleinothraupis atropileus atropileus",36973,"Thraupidae","PASSERIFORMES"
"96","Hemispingus frontalis frontalis","Emberizidae","Passeriformes","Sphenopsis frontalis frontalis",36984,"Thraupidae","PASSERIFORMES"
"97","Hemispingus melanotis melanotis","Emberizidae","Passeriformes","Sphenopsis melanotis melanotis",36986,"Thraupidae","PASSERIFORMES"
"98","Hemispingus superciliaris nigrifrons","Emberizidae","Passeriformes","Thlypopsis superciliaris nigrifrons",37009,"Thraupidae","PASSERIFORMES"
"99","Hemispingus superciliaris superciliaris","Emberizidae","Passeriformes","Thlypopsis superciliaris superciliaris",37008,"Thraupidae","PASSERIFORMES"
"100","Coryphaspiza melanotis melanotis","Emberizidae","Passeriformes","Coryphaspiza melanotis melanotis",36397,"Thraupidae","PASSERIFORMES"
"101","Eucometis penicillata albicollis","Emberizidae","Passeriformes","Eucometis penicillata albicollis",36755,"Thraupidae","PASSERIFORMES"
"102","Eucometis penicillata cristata","Emberizidae","Passeriformes","Eucometis penicillata cristata",36752,"Thraupidae","PASSERIFORMES"
"103","Eucometis penicillata pallida","Emberizidae","Passeriformes","Eucometis penicillata pallida",36749,"Thraupidae","PASSERIFORMES"
"104","Eucometis penicillata spodocephala","Emberizidae","Passeriformes","Eucometis penicillata spodocephalus",36750,"Thraupidae","PASSERIFORMES"
"105","Cyanerpes caeruleus caeruleus","Emberizidae","Passeriformes","Cyanerpes caeruleus caeruleus",36485,"Thraupidae","PASSERIFORMES"
"106","Cyanerpes caeruleus microrhynchus","Emberizidae","Passeriformes","Cyanerpes caeruleus microrhynchus",36488,"Thraupidae","PASSERIFORMES"
"107","Cyanerpes caeruleus NA","Emberizidae","Passeriformes","Cyanerpes caeruleus NA",36483,"Thraupidae","PASSERIFORMES"
"108","Cyanerpes cyaneus eximius","Emberizidae","Passeriformes","Cyanerpes cyaneus eximius",36494,"Thraupidae","PASSERIFORMES"
"109","Cyanerpes cyaneus NA","Emberizidae","Passeriformes","Cyanerpes cyaneus NA",36489,"Thraupidae","PASSERIFORMES"
"110","Spermophaga ruficapilla ruficapilla","Estrildidae","Passeriformes","Spermophaga ruficapilla ruficapilla",33360,"Estrildidae","PASSERIFORMES"
"111","Pyrenestes ostrinus ostrinus","Estrildidae","Passeriformes","Pyrenestes ostrinus NA",33367,"Estrildidae","PASSERIFORMES"
"112","Pyrenestes sanguineus sanguineus","Estrildidae","Passeriformes","Pyrenestes sanguineus NA",33364,"Estrildidae","PASSERIFORMES"
"113","Pyrenestes sanguineus NA","Estrildidae","Passeriformes","Pyrenestes sanguineus NA",33363,"Estrildidae","PASSERIFORMES"
"114","Uraeginthus granatina NA","Estrildidae","Passeriformes","Granatina granatina NA",33339,"Estrildidae","PASSERIFORMES"
"115","Uraeginthus bengalus brunneigularis","Estrildidae","Passeriformes","Uraeginthus bengalus brunneigularis",33349,"Estrildidae","PASSERIFORMES"
"116","Uraeginthus bengalus NA","Estrildidae","Passeriformes","Uraeginthus bengalus NA",33347,"Estrildidae","PASSERIFORMES"
"117","Uraeginthus bengalus bengalus","Estrildidae","Passeriformes","Uraeginthus bengalus bengalus",33348,"Estrildidae","PASSERIFORMES"
"118","Uraeginthus bengalus littoralis","Estrildidae","Passeriformes","Uraeginthus bengalus brunneigularis",33350,"Estrildidae","PASSERIFORMES"
"119","Uraeginthus angolensis cyanopleurus","Estrildidae","Passeriformes","Uraeginthus angolensis cyanopleurus",33345,"Estrildidae","PASSERIFORMES"
"120","Uraeginthus ianthinogaster ianthinogaster","Estrildidae","Passeriformes","Granatina ianthinogaster NA",33336,"Estrildidae","PASSERIFORMES"
"121","Tolmomyias assimilis flavotectus","Tyrannidae","Passeriformes","Tolmomyias flavotectus NA",17461,"Tyrannidae","PASSERIFORMES"
"122","Tolmomyias assimilis obscuriceps","Tyrannidae","Passeriformes","Tolmomyias assimilis obscuriceps",17466,"Tyrannidae","PASSERIFORMES"
"123","Tolmomyias flaviventris collingwoodi","Tyrannidae","Passeriformes","Tolmomyias flaviventris aurulentus",17479,"Tyrannidae","PASSERIFORMES"
"124","Tolmomyias flaviventris dissors","Tyrannidae","Passeriformes","Tolmomyias flaviventris dissors",17480,"Tyrannidae","PASSERIFORMES"
"125","Tolmomyias flaviventris flaviventris","Tyrannidae","Passeriformes","Tolmomyias flaviventris flaviventris",17481,"Tyrannidae","PASSERIFORMES"
"126","Tolmomyias flaviventris viridiceps","Tyrannidae","Passeriformes","Tolmomyias viridiceps viridiceps",17483,"Tyrannidae","PASSERIFORMES"
"127","Tolmomyias flaviventris aurulentus","Tyrannidae","Passeriformes","Tolmomyias flaviventris aurulentus",17478,"Tyrannidae","PASSERIFORMES"
"128","Tolmomyias sulphurescens cinereiceps","Tyrannidae","Passeriformes","Tolmomyias sulphurescens cinereiceps",17444,"Tyrannidae","PASSERIFORMES"
"129","Tolmomyias sulphurescens NA","Tyrannidae","Passeriformes","Tolmomyias sulphurescens NA",17443,"Tyrannidae","PASSERIFORMES"
"130","Tolmomyias sulphurescens pallescens","Tyrannidae","Passeriformes","Tolmomyias sulphurescens pallescens",17457,"Tyrannidae","PASSERIFORMES"
"131","Tolmomyias sulphurescens sulphurescens","Tyrannidae","Passeriformes","Tolmomyias sulphurescens sulphurescens",17459,"Tyrannidae","PASSERIFORMES"
"132","Tolmomyias sulphurescens cherriei","Tyrannidae","Passeriformes","Tolmomyias sulphurescens cherriei",17452,"Tyrannidae","PASSERIFORMES"
"133","Tolmomyias sulphurescens asemus","Tyrannidae","Passeriformes","Tolmomyias sulphurescens asemus",17448,"Tyrannidae","PASSERIFORMES"
"134","Tolmomyias sulphurescens mixtus","Tyrannidae","Passeriformes","Tolmomyias sulphurescens mixtus",17455,"Tyrannidae","PASSERIFORMES"
"135","Tolmomyias sulphurescens confusus","Tyrannidae","Passeriformes","Tolmomyias sulphurescens confusus",17449,"Tyrannidae","PASSERIFORMES"
"136","Tolmomyias poliocephalus sclateri","Tyrannidae","Passeriformes","Tolmomyias poliocephalus sclateri",17476,"Tyrannidae","PASSERIFORMES"
"137","Tolmomyias poliocephalus NA","Tyrannidae","Passeriformes","Tolmomyias poliocephalus NA",17473,"Tyrannidae","PASSERIFORMES"
"138","Terenotriccus erythrurus fulvigularis","Tyrannidae","Passeriformes","Terenotriccus erythrurus fulvigularis",18444,"Oxyruncidae","PASSERIFORMES"
"139","Terenotriccus erythrurus hellmayri","Tyrannidae","Passeriformes","Terenotriccus erythrurus hellmayri",18448,"Oxyruncidae","PASSERIFORMES"
"140","Tachuris rubrigastra rubrigastra","Tyrannidae","Passeriformes","Tachuris rubrigastra rubrigastra",17266,"Tyrannidae","PASSERIFORMES"
"141","Suiriri suiriri suiriri","Tyrannidae","Passeriformes","Suiriri suiriri suiriri",16947,"Tyrannidae","PASSERIFORMES"
"142","Sublegatus modestus modestus","Tyrannidae","Passeriformes","Sublegatus modestus modestus",17213,"Tyrannidae","PASSERIFORMES"
"143","Stigmatura budytoides inzonata","Tyrannidae","Passeriformes","Stigmatura budytoides inzonata",17068,"Tyrannidae","PASSERIFORMES"
"144","Sirystes sibilator atimastus","Tyrannidae","Passeriformes","Sirystes sibilator atimastus",18016,"Tyrannidae","PASSERIFORMES"
"145","Sirystes sibilator sibilator","Tyrannidae","Passeriformes","Sirystes sibilator sibilator",18015,"Tyrannidae","PASSERIFORMES"
"146","Sirystes sibilator subcanescens","Tyrannidae","Passeriformes","Sirystes subcanescens NA",18019,"Tyrannidae","PASSERIFORMES"
"147","Sayornis nigricans amnicola","Tyrannidae","Passeriformes","Sayornis nigricans amnicola",17566,"Tyrannidae","PASSERIFORMES"
"148","Sayornis nigricans angustirostris","Tyrannidae","Passeriformes","Sayornis nigricans angustirostris",17567,"Tyrannidae","PASSERIFORMES"
"149","Sayornis nigricans aquatica","Tyrannidae","Passeriformes","Sayornis nigricans aquaticus",17565,"Tyrannidae","PASSERIFORMES"
"150","Sayornis nigricans semiatra","Tyrannidae","Passeriformes","Sayornis nigricans semiater",17564,"Tyrannidae","PASSERIFORMES"
"151","Sayornis saya NA","Tyrannidae","Passeriformes","Sayornis saya NA",17569,"Tyrannidae","PASSERIFORMES"
"152","Sayornis saya quiescens","Tyrannidae","Passeriformes","Sayornis saya quiescens",17572,"Tyrannidae","PASSERIFORMES"
"153","Sayornis saya saya","Tyrannidae","Passeriformes","Sayornis saya saya",17570,"Tyrannidae","PASSERIFORMES"
"154","Rhytipterna holerythra holerythra","Tyrannidae","Passeriformes","Rhytipterna holerythra holerythra",18012,"Tyrannidae","PASSERIFORMES"
"155","Rhytipterna holerythra rosenbergi","Tyrannidae","Passeriformes","Rhytipterna holerythra rosenbergi",18013,"Tyrannidae","PASSERIFORMES"
"156","Rhytipterna simplex frederici","Tyrannidae","Passeriformes","Rhytipterna simplex frederici",18008,"Tyrannidae","PASSERIFORMES"
"157","Rhytipterna simplex simplex","Tyrannidae","Passeriformes","Rhytipterna simplex simplex",18009,"Tyrannidae","PASSERIFORMES"
"158","Rhynchocyclus brevirostris brevirostris","Tyrannidae","Passeriformes","Rhynchocyclus brevirostris brevirostris",17425,"Tyrannidae","PASSERIFORMES"
"159","Rhynchocyclus brevirostris pacificus","Tyrannidae","Passeriformes","Rhynchocyclus pacificus NA",17422,"Tyrannidae","PASSERIFORMES"
"160","Rhynchocyclus olivaceus guianensis","Tyrannidae","Passeriformes","Rhynchocyclus olivaceus guianensis",17440,"Tyrannidae","PASSERIFORMES"
"161","Rhynchocyclus olivaceus olivaceus","Tyrannidae","Passeriformes","Rhynchocyclus olivaceus olivaceus",17442,"Tyrannidae","PASSERIFORMES"
"162","Rhynchocyclus olivaceus aequinoctialis","Tyrannidae","Passeriformes","Rhynchocyclus olivaceus aequinoctialis",17437,"Tyrannidae","PASSERIFORMES"
"163","Rhynchocyclus olivaceus tamborensis","Tyrannidae","Passeriformes","Rhynchocyclus olivaceus tamborensis",17433,"Tyrannidae","PASSERIFORMES"
"164","Ramphotrigon megacephala megacephala","Tyrannidae","Passeriformes","Ramphotrigon megacephalum megacephalum",18102,"Tyrannidae","PASSERIFORMES"
"165","Cnemotriccus fuscatus bimaculatus","Tyrannidae","Passeriformes","Cnemotriccus fuscatus bimaculatus",17557,"Tyrannidae","PASSERIFORMES"
"166","Cnemotriccus fuscatus fumosus","Tyrannidae","Passeriformes","Cnemotriccus fuscatus fumosus",17554,"Tyrannidae","PASSERIFORMES"
"167","Cnemotriccus fuscatus fuscatus","Tyrannidae","Passeriformes","Cnemotriccus fuscatus fuscatus",17558,"Tyrannidae","PASSERIFORMES"
"168","Empidonomus varius varius","Tyrannidae","Passeriformes","Empidonomus varius varius",17966,"Tyrannidae","PASSERIFORMES"
"169","Empidonomus varius rufinus","Tyrannidae","Passeriformes","Empidonomus varius rufinus",17967,"Tyrannidae","PASSERIFORMES"
"170","Empidonax difficilis insulicola","Tyrannidae","Passeriformes","Empidonax difficilis insulicola",17663,"Tyrannidae","PASSERIFORMES"
"171","Charmosyna pulchella NA","Loriidae","Psittaciformes","Charmosynopsis pulchella NA",13904,"Psittaculidae","PSITTACIFORMES"
"172","Empidonax difficilis NA","Tyrannidae","Passeriformes","Empidonax difficilis NA",17660,"Tyrannidae","PASSERIFORMES"
"173","Empidonax difficilis hellmayri","Tyrannidae","Passeriformes","Empidonax occidentalis hellmayri",17664,"Tyrannidae","PASSERIFORMES"
"174","Empidonax difficilis difficilis","Tyrannidae","Passeriformes","Empidonax difficilis difficilis",17661,"Tyrannidae","PASSERIFORMES"
"175","Junco hyemalis pinosus","Emberizidae","Passeriformes","Junco hyemalis pinosus",35010,"Passerellidae","PASSERIFORMES"
"176","Empidonax difficilis cineritius","Tyrannidae","Passeriformes","Empidonax difficilis cineritius",17662,"Tyrannidae","PASSERIFORMES"
"177","Empidonax traillii NA","Tyrannidae","Passeriformes","Empidonax traillii NA",17640,"Tyrannidae","PASSERIFORMES"
"178","Empidonax flavescens flavescens","Tyrannidae","Passeriformes","Empidonax flavescens flavescens",17670,"Tyrannidae","PASSERIFORMES"
"179","Empidonax flavescens NA","Tyrannidae","Passeriformes","Empidonax flavescens NA",17667,"Tyrannidae","PASSERIFORMES"
"180","Empidonax fulvifrons pygmaeus","Tyrannidae","Passeriformes","Empidonax fulvifrons pygmaeus",17672,"Tyrannidae","PASSERIFORMES"
"181","Myiopagis leucospodia cinereifrons","Tyrannidae","Passeriformes","Pseudelaenia leucospodia NA",17061,"Tyrannidae","PASSERIFORMES"
"182","Myiopagis caniceps NA","Tyrannidae","Passeriformes","Myiopagis caniceps NA",16830,"Tyrannidae","PASSERIFORMES"
"183","Myiopagis caniceps caniceps","Tyrannidae","Passeriformes","Myiopagis caniceps NA",16832,"Tyrannidae","PASSERIFORMES"
"184","Myiopagis gaimardii bogotensis","Tyrannidae","Passeriformes","Myiopagis gaimardii bogotensis",16820,"Tyrannidae","PASSERIFORMES"
"185","Myiopagis gaimardii gaimardii","Tyrannidae","Passeriformes","Myiopagis gaimardii gaimardii",16823,"Tyrannidae","PASSERIFORMES"
"186","Myiopagis gaimardii guianensis","Tyrannidae","Passeriformes","Myiopagis gaimardii guianensis",16822,"Tyrannidae","PASSERIFORMES"
"187","Myiopagis gaimardii NA","Tyrannidae","Passeriformes","Myiopagis gaimardii NA",16818,"Tyrannidae","PASSERIFORMES"
"188","Myiopagis gaimardii subcinereus","Tyrannidae","Passeriformes","Myiopagis gaimardii gaimardii",16824,"Tyrannidae","PASSERIFORMES"
"189","Myiopagis viridicata placens","Tyrannidae","Passeriformes","Myiopagis viridicata placens",16843,"Tyrannidae","PASSERIFORMES"
"190","Myiopagis viridicata viridicata","Tyrannidae","Passeriformes","Myiopagis viridicata viridicata",16850,"Tyrannidae","PASSERIFORMES"
"191","Myiopagis viridicata NA","Tyrannidae","Passeriformes","Myiopagis viridicata NA",16839,"Tyrannidae","PASSERIFORMES"
"192","Myiopagis viridicata minima","Tyrannidae","Passeriformes","Myiopagis viridicata minima",16842,"Tyrannidae","PASSERIFORMES"
"193","Myiopagis viridicata implacens","Tyrannidae","Passeriformes","Myiopagis viridicata implacens",16849,"Tyrannidae","PASSERIFORMES"
"194","Myiopagis viridicata accola","Tyrannidae","Passeriformes","Myiopagis viridicata accola",16845,"Tyrannidae","PASSERIFORMES"
"195","Myiopagis viridicata pallens","Tyrannidae","Passeriformes","Myiopagis viridicata pallens",16846,"Tyrannidae","PASSERIFORMES"
"196","Conopias trivirgata berlepschi","Tyrannidae","Passeriformes","Conopias trivirgatus berlepschi",17935,"Tyrannidae","PASSERIFORMES"
"197","Conopias trivirgata trivirgata","Tyrannidae","Passeriformes","Conopias trivirgatus trivirgatus",17936,"Tyrannidae","PASSERIFORMES"
"198","Fluvicola pica albiventer","Tyrannidae","Passeriformes","Fluvicola albiventer NA",17816,"Tyrannidae","PASSERIFORMES"
"199","Fluvicola pica pica","Tyrannidae","Passeriformes","Fluvicola pica NA",17815,"Tyrannidae","PASSERIFORMES"
"200","Fluvicola nengeta atripennis","Tyrannidae","Passeriformes","Fluvicola nengeta atripennis",17819,"Tyrannidae","PASSERIFORMES"
"201","Fluvicola nengeta nengeta","Tyrannidae","Passeriformes","Fluvicola nengeta nengeta",17820,"Tyrannidae","PASSERIFORMES"
