"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"7586","Dendroica petechia peruviana","Parulidae","Passeriformes","Setophaga petechia peruviana",35922,"Parulidae","PASSERIFORMES"
"7587","Pipra fasciicauda fasciicauda","Pipridae","Passeriformes","Pipra fasciicauda fasciicauda",18356,"Pipridae","PASSERIFORMES"
"7588","Chiroxiphia pareola regina","Pipridae","Passeriformes","Chiroxiphia pareola regina",18262,"Pipridae","PASSERIFORMES"
"7589","Contopus sordidulus saturatus","Tyrannidae","Passeriformes","Contopus sordidulus saturatus",17601,"Tyrannidae","PASSERIFORMES"
"7590","Icterus galbula parvus","Icteridae","Passeriformes","Icterus bullockii parvus",35545,"Icteridae","PASSERIFORMES"
"7591","Ammodramus caudacutus caudacutus","Emberizidae","Passeriformes","Ammospiza caudacuta caudacuta",35096,"Passerellidae","PASSERIFORMES"
"7592","Sitta pygmaea pygmaea","Sittidae","Passeriformes","Sitta pygmaea pygmaea",29252,"Sittidae","PASSERIFORMES"
"7593","Ceyx erithacus erithacus","Alcedinidae","Coraciiformes","Ceyx erithaca erithaca",10610,"Alcedinidae","CORACIIFORMES"
"7594","Clamator coromandus NA","Cuculidae","Cuculiformes","Clamator coromandus NA",4074,"Cuculidae","CUCULIFORMES"
"7595","Dendragapus obscurus sierrae","Phasianidae","Galliformes","Dendragapus fuliginosus sierrae",1154,"Phasianidae","GALLIFORMES"
"7596","Caprimulgus macrurus ambiguus","Caprimulgidae","Caprimulgiformes","Caprimulgus macrurus bimaculatus",2044,"Caprimulgidae","CAPRIMULGIFORMES"
"7597","Eurostopodus macrotis cerviniceps","Caprimulgidae","Caprimulgiformes","Lyncornis macrotis cerviniceps",1822,"Caprimulgidae","CAPRIMULGIFORMES"
"7598","Treron curvirostra nipalensis","Columbidae","Columbiformes","NA NA NA",5190,"Columbidae","COLUMBIFORMES"
"7599","Streptopelia chinensis tigrina","Columbidae","Columbiformes","Spilopelia chinensis tigrina",4672,"Columbidae","COLUMBIFORMES"
"7600","Streptopelia tranquebarica humilis","Columbidae","Columbiformes","Streptopelia tranquebarica humilis",4665,"Columbidae","COLUMBIFORMES"
"7601","Upupa epops longirostris","Upupidae","Coraciiformes","Upupa epops longirostris",9986,"Upupidae","BUCEROTIFORMES"
"7602","Eurystomus orientalis abundus","Coraciidae","Coraciiformes","Eurystomus orientalis cyanocollis",10221,"Coraciidae","CORACIIFORMES"
"7603","Coracias benghalensis affinis","Coraciidae","Coraciiformes","Coracias affinis NA",10196,"Coraciidae","CORACIIFORMES"
"7604","Ptilolaemus tickelli austeni","Bucerotidae","Coraciiformes","Anorrhinus austeni NA",10145,"Bucerotidae","BUCEROTIFORMES"
"7605","Alcedo meninting coltarti","Alcedinidae","Coraciiformes","Alcedo meninting coltarti",10584,"Alcedinidae","CORACIIFORMES"
