"","sciname","subspecies","genus","species","family","order"
"319","Toxostoma bendirei","bendirei","Toxostoma","bendirei","Mimidae","Passeriformes"
"320","Toxostoma lecontei","lecontei","Toxostoma","lecontei","Mimidae","Passeriformes"
"321","Gallicolumba rufigula","ssp","Gallicolumba","rufigula","Columbidae","Columbiformes"
"322","Rallus limicola","limicola","Rallus","limicola","Rallidae","Gruiformes"
"323","Toxostoma redivivum","redivivum","Toxostoma","redivivum","Mimidae","Passeriformes"
"324","Gnorimopsar chopi","chopi","Gnorimopsar","chopi","Icteridae","Passeriformes"
"325","Dives dives","dives","Dives","dives","Icteridae","Passeriformes"
"326","Curaeus curaeus","curaeus","Curaeus","curaeus","Icteridae","Passeriformes"
"327","Zosterops senegalensis","scotti","Zosterops","senegalensis","Zosteropidae","Passeriformes"
"328","Prunella modularis","modularis","Prunella","modularis","Prunellidae","Passeriformes"
"329","Taraba major","major","Taraba","major","Formicariidae","Passeriformes"
"330","Pittasoma rufopileatum","harterti","Pittasoma","rufopileatum","Formicariidae","Passeriformes"
"331","Myrmorchilus strigilatus","strigilatus","Myrmorchilus","strigilatus","Formicariidae","Passeriformes"
"332","Myrmornis torquata","torquata","Myrmornis","torquata","Formicariidae","Passeriformes"
"333","Myrmothera campanisoma","signata","Myrmothera","campanisoma","Formicariidae","Passeriformes"
"334","Myrmoborus leucophrys","angustirostris","Myrmoborus","leucophrys","Formicariidae","Passeriformes"
"335","Myrmoborus myotherinus","ochrolaema","Myrmoborus","myotherinus","Formicariidae","Passeriformes"
"336","Phaenostictus mcleannani","saturatus","Phaenostictus","mcleannani","Formicariidae","Passeriformes"
"337","Phlegopsis nigromaculata","bowmani","Phlegopsis","nigromaculata","Formicariidae","Passeriformes"
"338","Pithys albifrons","albifrons","Pithys","albifrons","Formicariidae","Passeriformes"
"339","Pygiptila stellaris","stellaris","Pygiptila","stellaris","Formicariidae","Passeriformes"
"340","Pyriglena leuconota","leuconota","Pyriglena","leuconota","Formicariidae","Passeriformes"
"341","Rhegmatorhina melanosticta","ssp","Rhegmatorhina","melanosticta","Formicariidae","Passeriformes"
"342","Sakesphorus canadensis","canadensis","Sakesphorus","canadensis","Formicariidae","Passeriformes"
"343","Sakesphorus luctuosus","luctuosus","Sakesphorus","luctuosus","Formicariidae","Passeriformes"
