"","sciname","subspecies","genus","species","family","order"
"862","Cisticola brunnescens","hindii","Cisticola","brunnescens","Muscicapidae","Passeriformes"
"863","Cisticola cantans","munzneri","Cisticola","cantans","Muscicapidae","Passeriformes"
"864","Cisticola chiniana","heterophrys","Cisticola","chiniana","Muscicapidae","Passeriformes"
"865","Cisticola erythrops","erythrops","Cisticola","erythrops","Muscicapidae","Passeriformes"
"866","Cisticola exilis","polionota","Cisticola","exilis","Muscicapidae","Passeriformes"
"867","Cisticola eximia","occidens","Cisticola","eximia","Muscicapidae","Passeriformes"
"868","Cisticola fulvicapilla","muelleri","Cisticola","fulvicapilla","Muscicapidae","Passeriformes"
"869","Cisticola galactotes","haematocephala","Cisticola","galactotes","Muscicapidae","Passeriformes"
"870","Cisticola juncidis","cursitans","Cisticola","juncidis","Muscicapidae","Passeriformes"
"871","Cisticola lais","mashona","Cisticola","lais","Muscicapidae","Passeriformes"
"872","Cisticola lateralis","antinorii","Cisticola","lateralis","Muscicapidae","Passeriformes"
"873","Cisticola natalensis","natalensis","Cisticola","natalensis","Muscicapidae","Passeriformes"
"874","Cisticola robusta","nuchalis","Cisticola","robusta","Muscicapidae","Passeriformes"
"875","Cisticola ruficeps","guinea","Cisticola","ruficeps","Muscicapidae","Passeriformes"
"876","Cisticola woosnami","lufira","Cisticola","woosnami","Muscicapidae","Passeriformes"
"877","Cisticola aberrans","nyika","Cisticola","aberrans","Muscicapidae","Passeriformes"
"878","Cisticola hunteri","hunteri","Cisticola","hunteri","Muscicapidae","Passeriformes"
"879","Colluricincla harmonica","harmonica","Colluricincla","harmonica","Muscicapidae","Passeriformes"
"880","Colluricincla megarhyncha","gouldii","Colluricincla","megarhyncha","Muscicapidae","Passeriformes"
"881","Copsychus malabarica","interposita","Copsychus","malabarica","Muscicapidae","Passeriformes"
"882","Copsychus malabaricus","interpositus","Copsychus","malabaricus","Muscicapidae","Passeriformes"
"883","Copsychus luzoniensis","luzoniensis","Copsychus","luzoniensis","Muscicapidae","Passeriformes"
"884","Copsychus niger","niger","Copsychus","niger","Muscicapidae","Passeriformes"
"885","Copsychus saularis","erimelas","Copsychus","saularis","Muscicapidae","Passeriformes"
"886","Cossypha albicapilla","albicapilla","Cossypha","albicapilla","Muscicapidae","Passeriformes"
"887","Cossypha bocagei","chapini","Cossypha","bocagei","Muscicapidae","Passeriformes"
"888","Cossypha roberti","rufescentior","Cossypha","roberti","Muscicapidae","Passeriformes"
"889","Cossypha caffra","ssp","Cossypha","caffra","Muscicapidae","Passeriformes"
"890","Cossypha cyanocampter","bartteloti","Cossypha","cyanocampter","Muscicapidae","Passeriformes"
"891","Cossypha heuglini","heuglini","Cossypha","heuglini","Muscicapidae","Passeriformes"
"892","Cossypha humeralis","humeralis","Cossypha","humeralis","Muscicapidae","Passeriformes"
"893","Cossypha natalensis","intensa","Cossypha","natalensis","Muscicapidae","Passeriformes"
"894","Cossypha polioptera","polioptera","Cossypha","polioptera","Muscicapidae","Passeriformes"
"895","Cossypha semirufa","intercedens","Cossypha","semirufa","Muscicapidae","Passeriformes"
"896","Crateroscelis murina","murina","Crateroscelis","murina","Muscicapidae","Passeriformes"
"897","Crateroscelis robusta","bastille","Crateroscelis","robusta","Muscicapidae","Passeriformes"
"898","Megalurus palustris","andrewsi","Megalurus","palustris","Muscicapidae","Passeriformes"
"899","Acrocephalus aedon","aedon","Acrocephalus","aedon","Muscicapidae","Passeriformes"
"900","Acrocephalus arundinaceus","griseldis","Acrocephalus","arundinaceus","Muscicapidae","Passeriformes"
"901","Acrocephalus baeticatus","cinnamomeus","Acrocephalus","baeticatus","Muscicapidae","Passeriformes"
"902","Acrocephalus scirpaceus","fuscus","Acrocephalus","scirpaceus","Muscicapidae","Passeriformes"
"903","Alcippe abyssinica","abyssinica","Alcippe","abyssinica","Muscicapidae","Passeriformes"
"904","Alcippe morrisonia","fraterculus","Alcippe","morrisonia","Muscicapidae","Passeriformes"
"905","Alcippe poioicephala","brucei","Alcippe","poioicephala","Muscicapidae","Passeriformes"
"906","Alcippe rufogularis","major","Alcippe","rufogularis","Muscicapidae","Passeriformes"
"907","Alethe diademata","woosnami","Alethe","diademata","Muscicapidae","Passeriformes"
"908","Alethe poliocephala","carruthersi","Alethe","poliocephala","Muscicapidae","Passeriformes"
"909","Amalocichla incerta","ssp","Amalocichla","incerta","Muscicapidae","Passeriformes"
"910","Apalis binotata","binotata","Apalis","binotata","Muscicapidae","Passeriformes"
"911","Apalis cinerea","cinerea","Apalis","cinerea","Muscicapidae","Passeriformes"
"912","Apalis flavida","neglecta","Apalis","flavida","Muscicapidae","Passeriformes"
"913","Apalis jacksoni","jacksoni","Apalis","jacksoni","Muscicapidae","Passeriformes"
"914","Apalis melanocephala","melanocephala","Apalis","melanocephala","Muscicapidae","Passeriformes"
"915","Apalis nigriceps","collaris","Apalis","nigriceps","Muscicapidae","Passeriformes"
"916","Apalis porphyrolaema","porphyrolaema","Apalis","porphyrolaema","Muscicapidae","Passeriformes"
"917","Apalis pulchra","pulchra","Apalis","pulchra","Muscicapidae","Passeriformes"
"918","Apalis rufogularis","nigrescens","Apalis","rufogularis","Muscicapidae","Passeriformes"
"919","Apalis thoracica","rhodesiae","Apalis","thoracica","Muscicapidae","Passeriformes"
"920","Cercotrichas podobe","podobe","Cercotrichas","podobe","Muscicapidae","Passeriformes"
"921","Bathmocercus cerviniventris","vulpinus","Bathmocercus","cerviniventris","Muscicapidae","Passeriformes"
"922","Batis fratrum","sheppardi","Batis","fratrum","Muscicapidae","Passeriformes"
"923","Philydor rufus","rufus","Philydor","rufus","Furnariidae","Passeriformes"
"924","Philydor striaticollis","striaticollis","Philydor","striaticollis","Furnariidae","Passeriformes"
"925","Philydor strigilatus","strigilatus","Philydor","strigilatus","Furnariidae","Passeriformes"
"926","Philydor subalaris","lineatus","Philydor","subalaris","Furnariidae","Passeriformes"
"927","Volatinia jacarina","ssp","Volatinia","jacarina","Emberizidae","Passeriformes"
"928","Tiaris fuliginosa","fuliginosa","Tiaris","fuliginosa","Emberizidae","Passeriformes"
"929","Tiaris olivacea","olivacea","Tiaris","olivacea","Emberizidae","Passeriformes"
"930","Tiaris bicolor","omissa","Tiaris","bicolor","Emberizidae","Passeriformes"
"931","Thraupis bonariensis","composita","Thraupis","bonariensis","Emberizidae","Passeriformes"
"932","Thraupis cyanocephala","annectens","Thraupis","cyanocephala","Emberizidae","Passeriformes"
"933","Thraupis palmarum","atripennis","Thraupis","palmarum","Emberizidae","Passeriformes"
"934","Thraupis sayaca","boliviana","Thraupis","sayaca","Emberizidae","Passeriformes"
"935","Thraupis episcopus","leucoptera","Thraupis","episcopus","Emberizidae","Passeriformes"
"936","Anthus hodgsoni","yunnanensis","Anthus","hodgsoni","Motacillidae","Passeriformes"
"937","Anthus lutescens","lutescens","Anthus","lutescens","Motacillidae","Passeriformes"
"938","Anthus trivialis","trivialis","Anthus","trivialis","Motacillidae","Passeriformes"
"939","Anthus bogotensis","ssp","Anthus","bogotensis","Motacillidae","Passeriformes"
"940","Anthus correndera","correndera","Anthus","correndera","Motacillidae","Passeriformes"
"941","Anthus leucophrys","zenkeri","Anthus","leucophrys","Motacillidae","Passeriformes"
"942","Anthus novaeseelandiae","rufuloides","Anthus","novaeseelandiae","Motacillidae","Passeriformes"
"943","Anthus pratensis","pratensis","Anthus","pratensis","Motacillidae","Passeriformes"
"944","Anthus similis","hararensis","Anthus","similis","Motacillidae","Passeriformes"
"945","Anthus vaalensis","goodsoni","Anthus","vaalensis","Motacillidae","Passeriformes"
"946","Donacobius atricapillus","ssp","Donacobius","atricapillus","Mimidae","Passeriformes"
"947","Nesomimus trifasciatus","macdonaldi","Nesomimus","trifasciatus","Mimidae","Passeriformes"
"948","Poephila personata","personata","Poephila","personata","Estrildidae","Passeriformes"
"949","Aegintha temporalis","temporalis","Aegintha","temporalis","Estrildidae","Passeriformes"
"950","Amadina erythrocephala","ssp","Amadina","erythrocephala","Estrildidae","Passeriformes"
"951","Amadina fasciata","ssp","Amadina","fasciata","Estrildidae","Passeriformes"
"952","Lagonosticta larvata","nigricollis","Lagonosticta","larvata","Estrildidae","Passeriformes"
"953","Lagonosticta rara","forbesi","Lagonosticta","rara","Estrildidae","Passeriformes"
"954","Lagonosticta rhodopareia","jamesoni","Lagonosticta","rhodopareia","Estrildidae","Passeriformes"
"955","Lagonosticta rubricata","haematocephala","Lagonosticta","rubricata","Estrildidae","Passeriformes"
"956","Lagonosticta rufopicta","rufopicta","Lagonosticta","rufopicta","Estrildidae","Passeriformes"
"957","Lagonosticta senegala","kikuyuensis","Lagonosticta","senegala","Estrildidae","Passeriformes"
"958","Cryptospiza reichenovii","australis","Cryptospiza","reichenovii","Estrildidae","Passeriformes"
"959","Cryptospiza salvadorii","salvadorii","Cryptospiza","salvadorii","Estrildidae","Passeriformes"
"960","Erythrura sp","ssp","Erythrura","sp","Estrildidae","Passeriformes"
"961","Erythrura cyaneovirens","ssp","Erythrura","cyaneovirens","Estrildidae","Passeriformes"
"962","Erythrura prasina","ssp","Erythrura","prasina","Estrildidae","Passeriformes"
"963","Erythrura trichroa","eichhorni","Erythrura","trichroa","Estrildidae","Passeriformes"
"964","Estrilda erythronotus","soligena","Estrilda","erythronotus","Estrildidae","Passeriformes"
"965","Estrilda melanotis","kilimensis","Estrilda","melanotis","Estrildidae","Passeriformes"
"966","Campylorhamphus sp","ssp","Campylorhamphus","sp","Dendrocolaptidae","Passeriformes"
"967","Campylorhamphus trochilirostris","venezuelensis","Campylorhamphus","trochilirostris","Dendrocolaptidae","Passeriformes"
"968","Deconychura longicauda","zimmeri","Deconychura","longicauda","Dendrocolaptidae","Passeriformes"
"969","Deconychura stictolaema","stictolaema","Deconychura","stictolaema","Dendrocolaptidae","Passeriformes"
"970","Glyphorhynchus spirurus","paraensis","Glyphorhynchus","spirurus","Dendrocolaptidae","Passeriformes"
"971","Prionochilus plateni","plateni","Prionochilus","plateni","Dicaeidae","Passeriformes"
"972","Dicaeum agile","modestum","Dicaeum","agile","Dicaeidae","Passeriformes"
"973","Dicaeum australe","australe","Dicaeum","australe","Dicaeidae","Passeriformes"
"974","Dicaeum chrysorrheum","chrysoclore","Dicaeum","chrysorrheum","Dicaeidae","Passeriformes"
"975","Dicaeum concolor","olivaceum","Dicaeum","concolor","Dicaeidae","Passeriformes"
"976","Dicaeum cruentatum","cruentatum","Dicaeum","cruentatum","Dicaeidae","Passeriformes"
"977","Dicaeum eximium","layardorum","Dicaeum","eximium","Dicaeidae","Passeriformes"
"978","Dicaeum pygmaeum","pygmaeum","Dicaeum","pygmaeum","Dicaeidae","Passeriformes"
"979","Dicaeum trigonostigma","xanthopygium","Dicaeum","trigonostigma","Dicaeidae","Passeriformes"
"980","Melanocharis longicauda","ssp","Melanocharis","longicauda","Dicaeidae","Passeriformes"
"981","Melanocharis nigra","ssp","Melanocharis","nigra","Dicaeidae","Passeriformes"
"982","Pardalotus melanocephalus","melanocephalus","Pardalotus","melanocephalus","Dicaeidae","Passeriformes"
"983","Dicrurus sp","ssp","Dicrurus","sp","Dicruridae","Passeriformes"
"984","Dicrurus adsimilis","divaricatus","Dicrurus","adsimilis","Dicruridae","Passeriformes"
"985","Dicrurus aeneus","aeneus","Dicrurus","aeneus","Dicruridae","Passeriformes"
"986","Dicrurus balicassius","balicassius","Dicrurus","balicassius","Dicruridae","Passeriformes"
"987","Dicrurus caerulescens","caerulescens","Dicrurus","caerulescens","Dicruridae","Passeriformes"
"988","Dicrurus forficatus","forficatus","Dicrurus","forficatus","Dicruridae","Passeriformes"
"989","Dicrurus hottentottus","bracteatus","Dicrurus","hottentottus","Dicruridae","Passeriformes"
"990","Dicrurus leucophaeus","bondi","Dicrurus","leucophaeus","Dicruridae","Passeriformes"
"991","Dicrurus ludwigii","sharpei","Dicrurus","ludwigii","Dicruridae","Passeriformes"
"992","Dicrurus macrocercus","albirictis","Dicrurus","macrocercus","Dicruridae","Passeriformes"
"993","Dicrurus paradiseus","grandis","Dicrurus","paradiseus","Dicruridae","Passeriformes"
"994","Telespiza ultima","ultima","Telespiza","ultima","Drepanididae","Passeriformes"
"995","Hemignathus virens","virens","Hemignathus","virens","Drepanididae","Passeriformes"
"996","Himatione sanguinea","sanguinea","Himatione","sanguinea","Drepanididae","Passeriformes"
"997","Loxops coccineus","coccineus","Loxops","coccineus","Drepanididae","Passeriformes"
"998","Psittirostra cantans","ultima","Psittirostra","cantans","Drepanididae","Passeriformes"
"999","Passerculus sandwichensis","magdalenae","Passerculus","sandwichensis","Emberizidae","Passeriformes"
"1000","Zenaida galapagoensis",NA,"Zenaida","galapagoensis","Columbidae","Columbiformes"
"1001","Automolus rufipileatus","consobrinus","Automolus","rufipileatus","Furnariidae","Passeriformes"
"1002","Philydor erythrocercus","erythrocercus","Philydor","erythrocercus","Furnariidae","Passeriformes"
"1003","Philydor erythropterus","diluvialis","Philydor","erythropterus","Furnariidae","Passeriformes"
"1004","Hirundo aethiopica","aethiopica","Hirundo","aethiopica","Hirundinidae","Passeriformes"
"1005","Hirundo angolensis","angolensis","Hirundo","angolensis","Hirundinidae","Passeriformes"
"1006","Hirundo lucida","lucida","Hirundo","lucida","Hirundinidae","Passeriformes"
"1007","Hirundo smithii","filifera","Hirundo","smithii","Hirundinidae","Passeriformes"
"1008","Delichon urbica","urbica","Delichon","urbica","Hirundinidae","Passeriformes"
"1009","Cecropis abyssinica","puella","Cecropis","abyssinica","Hirundinidae","Passeriformes"
"1010","Cecropis daurica","domicella","Cecropis","daurica","Hirundinidae","Passeriformes"
"1011","Cecropis semirufa","gordoni","Cecropis","semirufa","Hirundinidae","Passeriformes"
"1012","Cecropis senegalensis","monteiri","Cecropis","senegalensis","Hirundinidae","Passeriformes"
"1013","Cecropis striolata","mayri","Cecropis","striolata","Hirundinidae","Passeriformes"
"1014","Petrochelidon pyrrhonota","pyrrhonota","Petrochelidon","pyrrhonota","Hirundinidae","Passeriformes"
"1015","Vanellus indicus",NA,"Vanellus","indicus","Charadriidae","Charadriiformes"
"1016","Pytilia melba","soudanensis","Pytilia","melba","Estrildidae","Passeriformes"
"1017","Pytilia phoenicoptera","phoenicoptera","Pytilia","phoenicoptera","Estrildidae","Passeriformes"
"1018","Mandingoa nitidula","schlegeli","Mandingoa","nitidula","Estrildidae","Passeriformes"
"1019","Neochmia ruficauda","ssp","Neochmia","ruficauda","Estrildidae","Passeriformes"
"1020","Nigrita canicapilla","schistacea","Nigrita","canicapilla","Estrildidae","Passeriformes"
"1021","Nigrita fusconota","fusconota","Nigrita","fusconota","Estrildidae","Passeriformes"
"1022","Nigrita bicolor","brunnescens","Nigrita","bicolor","Estrildidae","Passeriformes"
"1023","Nigrita luteifrons","luteifrons","Nigrita","luteifrons","Estrildidae","Passeriformes"
"1024","Ortygospiza atricollis","atricollis","Ortygospiza","atricollis","Estrildidae","Passeriformes"
"1025","Parmoptila woodhouseii","jamesoni","Parmoptila","woodhouseii","Estrildidae","Passeriformes"
"1026","Parmoptila woodhousei","jamesoni","Parmoptila","woodhousei","Estrildidae","Passeriformes"
"1027","Toxostoma rufum","rufum","Toxostoma","rufum","Mimidae","Passeriformes"
"1028","Toxostoma cinereum","cinereum","Toxostoma","cinereum","Mimidae","Passeriformes"
"1029","Toxostoma curvirostre","curvirostre","Toxostoma","curvirostre","Mimidae","Passeriformes"
"1030","Melanotis caerulescens","caerulescens","Melanotis","caerulescens","Mimidae","Passeriformes"
"1031","Acanthorhynchus tenuirostris","ssp","Acanthorhynchus","tenuirostris","Meliphagidae","Passeriformes"
"1032","Philemon buceroides","ssp","Philemon","buceroides","Meliphagidae","Passeriformes"
"1033","Philemon citreogularis","citreogularis","Philemon","citreogularis","Meliphagidae","Passeriformes"
"1034","Philemon cockerelli","cockerelli","Philemon","cockerelli","Meliphagidae","Passeriformes"
"1035","Philemon corniculatus","clamans","Philemon","corniculatus","Meliphagidae","Passeriformes"
"1036","Philemon novaeguineae","ssp","Philemon","novaeguineae","Meliphagidae","Passeriformes"
"1037","Phylidonyris novaehollandiae","novaehollandiae","Phylidonyris","novaehollandiae","Meliphagidae","Passeriformes"
"1038","Promerops gurneyi","ardens","Promerops","gurneyi","Meliphagidae","Passeriformes"
"1039","Prosthemadera novaeseelandiae","ssp","Prosthemadera","novaeseelandiae","Meliphagidae","Passeriformes"
"1040","Ptiloprora guisei","guisei","Ptiloprora","guisei","Meliphagidae","Passeriformes"
"1041","Toxorhamphus poliopterus","poliopterus","Toxorhamphus","poliopterus","Meliphagidae","Passeriformes"
"1042","Oedistoma iliolophum","iliolophum","Oedistoma","iliolophum","Meliphagidae","Passeriformes"
"1043","Entomyzon cyanotis","cyanotis","Entomyzon","cyanotis","Meliphagidae","Passeriformes"
"1044","Anthornis melanura","melanura","Anthornis","melanura","Meliphagidae","Passeriformes"
"1045","Myzomela cineracea","cineracea","Myzomela","cineracea","Meliphagidae","Passeriformes"
"1046","Myzomela cruentata","erythrina","Myzomela","cruentata","Meliphagidae","Passeriformes"
"1047","Myzomela nigrita","hades","Myzomela","nigrita","Meliphagidae","Passeriformes"
"1048","Myzomela obscura","harterti","Myzomela","obscura","Meliphagidae","Passeriformes"
"1049","Myzomela sanguinolenta","sanguinolenta","Myzomela","sanguinolenta","Meliphagidae","Passeriformes"
"1050","Anthochaera carunculata","carunculata","Anthochaera","carunculata","Meliphagidae","Passeriformes"
"1051","Anthochaera chrysoptera","ssp","Anthochaera","chrysoptera","Meliphagidae","Passeriformes"
"1052","Lichmera indistincta","ocularis","Lichmera","indistincta","Meliphagidae","Passeriformes"
"1053","Manorina melanocephala","crassirostris","Manorina","melanocephala","Meliphagidae","Passeriformes"
"1054","Melidectes belfordi","ssp","Melidectes","belfordi","Meliphagidae","Passeriformes"
"1055","Melidectes torquatus","ssp","Melidectes","torquatus","Meliphagidae","Passeriformes"
"1056","Melilestes megarhynchus","megarhynchus","Melilestes","megarhynchus","Meliphagidae","Passeriformes"
"1057","Meliphaga chrysops","chrysops","Meliphaga","chrysops","Meliphagidae","Passeriformes"
"1058","Meliphaga fusca","dawsoni","Meliphaga","fusca","Meliphagidae","Passeriformes"
"1059","Meliphaga leucotis","leucotis","Meliphaga","leucotis","Meliphagidae","Passeriformes"
"1060","Meliphaga penicillata","penicillata","Meliphaga","penicillata","Meliphagidae","Passeriformes"
"1061","Meliphaga aruensis","ssp","Meliphaga","aruensis","Meliphagidae","Passeriformes"
"1062","Meliphaga lewinii","lewinii","Meliphaga","lewinii","Meliphagidae","Passeriformes"
"1063","Melipotes fumigatus","goliathi","Melipotes","fumigatus","Meliphagidae","Passeriformes"
"1064","Melithreptus albogularis","albogularis","Melithreptus","albogularis","Meliphagidae","Passeriformes"
"1065","Melithreptus lunatus","lunatus","Melithreptus","lunatus","Meliphagidae","Passeriformes"
"1066","Molothrus bonariensis","aequatorialis","Molothrus","bonariensis","Icteridae","Passeriformes"
"1067","Macroagelaius subalaris","subalaris","Macroagelaius","subalaris","Icteridae","Passeriformes"
"1068","Agelaius cyanopus","cyanopus","Agelaius","cyanopus","Icteridae","Passeriformes"
"1069","Agelaius icterocephalus","bogotensis","Agelaius","icterocephalus","Icteridae","Passeriformes"
"1070","Agelaius ruficapillus","frontalis","Agelaius","ruficapillus","Icteridae","Passeriformes"
"1071","Agelaius thilius","thilius","Agelaius","thilius","Icteridae","Passeriformes"
"1072","Pipraeidea melanonota","melanonota","Pipraeidea","melanonota","Emberizidae","Passeriformes"
"1073","Pipilo aberti","vorhiesi","Pipilo","aberti","Emberizidae","Passeriformes"
"1074","Pipilo crissalis","albigula","Pipilo","crissalis","Emberizidae","Passeriformes"
"1075","Calidris canutus",NA,"Calidris","canutus","Scolopacidae","Charadriiformes"
"1076","Sterna hirundo",NA,"Sterna","hirundo","Laridae","Charadriiformes"
"1077","Lamprotornis iris",NA,"Lamprotornis","iris","Sturnidae","Passeriformes"
"1078","Amazilia lactea","bartletti","Amazilia","lactea","Trochilidae","Apodiformes"
"1079","Megascops asio","ssp","Megascops","asio","Strigidae","Strigiformes"
"1080","Pipilo fuscus","intermedius","Pipilo","fuscus","Emberizidae","Passeriformes"
"1081","Phalacrocorax punctatus",NA,"Phalacrocorax","punctatus","Phalacrocoracidae","Pelecaniformes"
"1082","Pipilo maculatus","megalonyx","Pipilo","maculatus","Emberizidae","Passeriformes"
"1083","Pipilo erythrophthalmus","erythrophthalmus","Pipilo","erythrophthalmus","Emberizidae","Passeriformes"
"1084","Phrygilus fruticeti","fruticeti","Phrygilus","fruticeti","Emberizidae","Passeriformes"
"1085","Phrygilus plebejus","ocularis","Phrygilus","plebejus","Emberizidae","Passeriformes"
"1086","Phrygilus unicolor","unicolor","Phrygilus","unicolor","Emberizidae","Passeriformes"
"1087","Pheucticus aureoventris","aureoventris","Pheucticus","aureoventris","Emberizidae","Passeriformes"
"1088","Pheucticus chrysopeplus","tibialis","Pheucticus","chrysopeplus","Emberizidae","Passeriformes"
"1089","Trachyphonus darnaudii","boehmi","Trachyphonus","darnaudii","Capitonidae","Piciformes"
"1090","Strix varia","ssp","Strix","varia","Strigidae","Strigiformes"
"1091","Catamblyrhynchus diadema","diadema","Catamblyrhynchus","diadema","Emberizidae","Passeriformes"
"1092","Cissopis leveriana","leveriana","Cissopis","leveriana","Emberizidae","Passeriformes"
"1093","Caryothraustes canadensis","scapularis","Caryothraustes","canadensis","Emberizidae","Passeriformes"
"1094","Calcarius lapponicus","alascensis","Calcarius","lapponicus","Emberizidae","Passeriformes"
"1095","Buthraupis eximia","zimmeri","Buthraupis","eximia","Emberizidae","Passeriformes"
"1096","Buthraupis montana","cucullata","Buthraupis","montana","Emberizidae","Passeriformes"
"1097","Atlapetes brunneinucha","elsae","Atlapetes","brunneinucha","Emberizidae","Passeriformes"
"1098","Atlapetes torquatus","assimilis","Atlapetes","torquatus","Emberizidae","Passeriformes"
"1099","Atlapetes albinucha","parvirostris","Atlapetes","albinucha","Emberizidae","Passeriformes"
"1100","Atlapetes pileatus","dilutus","Atlapetes","pileatus","Emberizidae","Passeriformes"
"1101","Atlapetes albofrenatus","albofrenatus","Atlapetes","albofrenatus","Emberizidae","Passeriformes"
"1102","Atlapetes leucopterus","leucopterus","Atlapetes","leucopterus","Emberizidae","Passeriformes"
"1103","Atlapetes pallidinucha","pallidinucha","Atlapetes","pallidinucha","Emberizidae","Passeriformes"
"1104","Atlapetes rufinucha","spodionotus","Atlapetes","rufinucha","Emberizidae","Passeriformes"
"1105","Atlapetes schistaceus","schistaceus","Atlapetes","schistaceus","Emberizidae","Passeriformes"
"1106","Atlapetes tricolor","crassus","Atlapetes","tricolor","Emberizidae","Passeriformes"
"1107","Sclerurus mexicanus","obscurior","Sclerurus","mexicanus","Furnariidae","Passeriformes"
"1108","Sclerurus caudacutus","caligineus","Sclerurus","caudacutus","Furnariidae","Passeriformes"
"1109","Sclerurus scansor","scansor","Sclerurus","scansor","Furnariidae","Passeriformes"
"1110","Synallaxis gularis","gularis","Synallaxis","gularis","Furnariidae","Passeriformes"
"1111","Synallaxis phryganophila","petersi","Synallaxis","phryganophila","Furnariidae","Passeriformes"
"1112","Synallaxis scutatus","scutatus","Synallaxis","scutatus","Furnariidae","Passeriformes"
"1113","Synallaxis albescens","ssp","Synallaxis","albescens","Furnariidae","Passeriformes"
"1114","Synallaxis brachyura","chapmani","Synallaxis","brachyura","Furnariidae","Passeriformes"
"1115","Synallaxis erythrothorax","erythrothorax","Synallaxis","erythrothorax","Furnariidae","Passeriformes"
"1116","Synallaxis azarae","media","Synallaxis","azarae","Furnariidae","Passeriformes"
"1117","Synallaxis cabanisi","obscurior","Synallaxis","cabanisi","Furnariidae","Passeriformes"
"1118","Synallaxis candei","candei","Synallaxis","candei","Furnariidae","Passeriformes"
"1119","Synallaxis frontalis","frontalis","Synallaxis","frontalis","Furnariidae","Passeriformes"
"1120","Synallaxis gujanensis","gujanensis","Synallaxis","gujanensis","Furnariidae","Passeriformes"
"1121","Conopophaga melanops","melanops","Conopophaga","melanops","Conopophagidae","Passeriformes"
"1122","Notiochelidon cyanoleuca","patagonica","Notiochelidon","cyanoleuca","Hirundinidae","Passeriformes"
"1123","Notiochelidon murina","murina","Notiochelidon","murina","Hirundinidae","Passeriformes"
"1124","Nettapus auritus",NA,"Nettapus","auritus","Anatidae","Anseriformes"
"1125","Merops philippinus",NA,"Merops","philippinus","Meropidae","Coraciiformes"
"1126","Charadrius vociferus",NA,"Charadrius","vociferus","Charadriidae","Charadriiformes"
"1127","Tachycineta albilinea","albilinea","Tachycineta","albilinea","Hirundinidae","Passeriformes"
"1128","Syrigma sibilatrix",NA,"Syrigma","sibilatrix","Ardeidae","Ciconiiformes"
"1129","Salpinctes obsoletus","guadeloupensis","Salpinctes","obsoletus","Troglodytidae","Passeriformes"
"1130","Microcerculus marginatus","ssp","Microcerculus","marginatus","Troglodytidae","Passeriformes"
"1131","Cyphorhinus aradus","interpositus","Cyphorhinus","aradus","Troglodytidae","Passeriformes"
"1132","Cyphorhinus thoracicus","dichrous","Cyphorhinus","thoracicus","Troglodytidae","Passeriformes"
"1133","Cistothorus palustris","aestuarinus","Cistothorus","palustris","Troglodytidae","Passeriformes"
"1134","Melanocharis versteri","maculiceps","Melanocharis","versteri","Dicaeidae","Passeriformes"
"1135","Cistothorus platensis","stellaris","Cistothorus","platensis","Troglodytidae","Passeriformes"
"1136","Cinnycerthia peruana","olivascens","Cinnycerthia","peruana","Troglodytidae","Passeriformes"
"1137","Cinnycerthia unirufa","unirufa","Cinnycerthia","unirufa","Troglodytidae","Passeriformes"
"1138","Henicorhina leucophrys","leucophrys","Henicorhina","leucophrys","Troglodytidae","Passeriformes"
"1139","Henicorhina leucosticta","albilateralis","Henicorhina","leucosticta","Troglodytidae","Passeriformes"
"1140","Catherpes mexicanus","conspersus","Catherpes","mexicanus","Troglodytidae","Passeriformes"
"1141","Campylorhynchus brunneicapillus","ssp","Campylorhynchus","brunneicapillus","Troglodytidae","Passeriformes"
"1142","Neoctantes niger",NA,"Neoctantes","niger","Formicariidae","Passeriformes"
"1143","Campylorhynchus rufinucha","nigricaudatus","Campylorhynchus","rufinucha","Troglodytidae","Passeriformes"
"1144","Campylorhynchus zonatus","brevirostris","Campylorhynchus","zonatus","Troglodytidae","Passeriformes"
"1145","Campylorhynchus fasciatus","pallescens","Campylorhynchus","fasciatus","Troglodytidae","Passeriformes"
"1146","Campylorhynchus griseus","griseus","Campylorhynchus","griseus","Troglodytidae","Passeriformes"
"1147","Campylorhynchus nuchalis","nuchalis","Campylorhynchus","nuchalis","Troglodytidae","Passeriformes"
"1148","Campylorhynchus turdinus","hypostictus","Campylorhynchus","turdinus","Troglodytidae","Passeriformes"
"1149","Phyllomyias fasciatus","brevirostris","Phyllomyias","fasciatus","Tyrannidae","Passeriformes"
"1150","Pseudotriccus pelzelni","annectens","Pseudotriccus","pelzelni","Tyrannidae","Passeriformes"
"1151","Oncostoma cinereigulare","cinereigulare","Oncostoma","cinereigulare","Tyrannidae","Passeriformes"
"1152","Pyrope pyrope","pyrope","Pyrope","pyrope","Tyrannidae","Passeriformes"
"1153","Poecilotriccus ruficeps","melanomystax","Poecilotriccus","ruficeps","Tyrannidae","Passeriformes"
"1154","Platyrinchus coronatus","ssp","Platyrinchus","coronatus","Tyrannidae","Passeriformes"
"1155","Platyrinchus mystaceus","mystaceus","Platyrinchus","mystaceus","Tyrannidae","Passeriformes"
"1156","Platyrinchus platyrhynchos","amazonicus","Platyrinchus","platyrhynchos","Tyrannidae","Passeriformes"
"1157","Pitangus sulphuratus","rufipennis","Pitangus","sulphuratus","Tyrannidae","Passeriformes"
"1158","Pitangus lictor","lictor","Pitangus","lictor","Tyrannidae","Passeriformes"
