"","fullname","sciname","subspecies","genus","species","family","order"
"11358","Hylomanes momotula momotula","Hylomanes momotula","momotula","Hylomanes","momotula","Momotidae","Coraciiformes"
"11359","Momotus momota coeruliceps","Momotus momota","coeruliceps","Momotus","momota","Momotidae","Coraciiformes"
"11360","Colaptes auratus mexicanus","Colaptes auratus","mexicanus","Colaptes","auratus","Picidae","Piciformes"
"11361","Xiphorhynchus flavigaster tardus","Xiphorhynchus flavigaster","tardus","Xiphorhynchus","flavigaster","Dendrocolaptidae","Passeriformes"
"11362","Lepidocolaptes leucogaster leucogaster","Lepidocolaptes leucogaster","leucogaster","Lepidocolaptes","leucogaster","Dendrocolaptidae","Passeriformes"
"11363","Synallaxis erythrothorax furtiva","Synallaxis erythrothorax","furtiva","Synallaxis","erythrothorax","Furnariidae","Passeriformes"
"11364","Pachyramphus aglaiae albiventris","Pachyramphus aglaiae","albiventris","Pachyramphus","aglaiae","Cotingidae","Passeriformes"
"11365","Tityra semifasciata griseiceps","Tityra semifasciata","griseiceps","Tityra","semifasciata","Cotingidae","Passeriformes"
"11366","Chiroxiphia linearis linearis","Chiroxiphia linearis","linearis","Chiroxiphia","linearis","Pipridae","Passeriformes"
"11367","Megarhynchus pitangua tardiusculus","Megarhynchus pitangua","tardiusculus","Megarhynchus","pitangua","Tyrannidae","Passeriformes"
"11368","Granatellus sallaei sallaei","Granatellus sallaei","sallaei","Granatellus","sallaei","Parulidae","Passeriformes"
"11369","Ergaticus ruber melanauris","Ergaticus ruber","melanauris","Ergaticus","ruber","Parulidae","Passeriformes"
"11370","Ergaticus ruber ruber","Ergaticus ruber","ruber","Ergaticus","ruber","Parulidae","Passeriformes"
"11371","Basileuterus rufifrons dugesi","Basileuterus rufifrons","dugesi","Basileuterus","rufifrons","Parulidae","Passeriformes"
"11372","Basileuterus belli belli","Basileuterus belli","belli","Basileuterus","belli","Parulidae","Passeriformes"
"11373","Peucedramus taeniatus jaliscensis","Peucedramus taeniatus","jaliscensis","Peucedramus","taeniatus","Parulidae","Passeriformes"
"11374","Vireolanius pulchellus pulchellus","Vireolanius pulchellus","pulchellus","Vireolanius","pulchellus","Vireonidae","Passeriformes"
"11375","Vireo huttoni carolinae","Vireo huttoni","carolinae","Vireo","huttoni","Vireonidae","Passeriformes"
"11376","Geothlypis trichas modesta","Geothlypis trichas","modesta","Geothlypis","trichas","Parulidae","Passeriformes"
"11377","Geothlypis trichas melanops","Geothlypis trichas","melanops","Geothlypis","trichas","Parulidae","Passeriformes"
"11378","Parula pitiayumi nigrilora","Parula pitiayumi","nigrilora","Parula","pitiayumi","Parulidae","Passeriformes"
"11379","Melanerpes formicivorus martirensis","Melanerpes formicivorus","martirensis","Melanerpes","formicivorus","Picidae","Piciformes"
"11380","Psaltriparus minimus melanurus","Psaltriparus minimus","melanurus","Psaltriparus","minimus","Aegithalidae","Passeriformes"
"11381","Melospiza melodia rivularis","Melospiza melodia","rivularis","Melospiza","melodia","Emberizidae","Passeriformes"
"11382","Junco hyemalis pontilus","Junco hyemalis","pontilus","Junco","hyemalis","Emberizidae","Passeriformes"
"11383","Junco hyemalis townsendi","Junco hyemalis","townsendi","Junco","hyemalis","Emberizidae","Passeriformes"
"11384","Passerculus sandwichensis anulus","Passerculus sandwichensis","anulus","Passerculus","sandwichensis","Emberizidae","Passeriformes"
"11385","Pipilo maculatus umbraticola","Pipilo maculatus","umbraticola","Pipilo","maculatus","Emberizidae","Passeriformes"
"11386","Cardinalis cardinalis seftoni","Cardinalis cardinalis","seftoni","Cardinalis","cardinalis","Emberizidae","Passeriformes"
"11387","Geothlypis beldingi goldmani","Geothlypis beldingi","goldmani","Geothlypis","beldingi","Parulidae","Passeriformes"
"11388","Melozone kieneri grisior","Melozone kieneri","grisior","Melozone","kieneri","Emberizidae","Passeriformes"
"11389","Philetairus socius NA","Philetairus socius",NA,"Philetairus","socius","Ploceidae","Passeriformes"
"11390","Burhinus capensis NA","Burhinus capensis",NA,"Burhinus","capensis","Burhinidae","Charadriiformes"
"11391","Trochilus polytmus ssp","Trochilus polytmus","ssp","Trochilus","polytmus","Trochilidae","Apodiformes"
"11392","Topaza pyra NA","Topaza pyra",NA,"Topaza","pyra","Trochilidae","Apodiformes"
"11393","Pogoniulus pusillus pusillus","Pogoniulus pusillus","pusillus","Pogoniulus","pusillus","Capitonidae","Piciformes"
"11394","Oxypogon guernii lindeni","Oxypogon guernii","lindeni","Oxypogon","guernii","Trochilidae","Apodiformes"
"11395","Veniliornis fumigatus reichenbachi","Veniliornis fumigatus","reichenbachi","Veniliornis","fumigatus","Picidae","Piciformes"
"11396","Pachyramphus castaneus intermedius","Pachyramphus castaneus","intermedius","Pachyramphus","castaneus","Cotingidae","Passeriformes"
"11397","Thraupis cyanocephala olivicyanea","Thraupis cyanocephala","olivicyanea","Thraupis","cyanocephala","Emberizidae","Passeriformes"
"11398","Aratinga leucophthalmus ssp","Aratinga leucophthalmus","ssp","Aratinga","leucophthalmus","Psittacidae","Psittaciformes"
"11399","Tauraco erythrolophus NA","Tauraco erythrolophus",NA,"Tauraco","erythrolophus","Musophagidae","Cuculiformes"
"11400","Penelope ortoni NA","Penelope ortoni",NA,"Penelope","ortoni","Cracidae","Galliformes"
