"","fullname","sciname","subspecies","genus","species","family","order"
"1","Wilsonia pusilla ssp","Wilsonia pusilla","ssp","Wilsonia","pusilla","Parulidae","Passeriformes"
"2","Tchagra cruenta hilgerti","Tchagra cruenta","hilgerti","Tchagra","cruenta","Laniidae","Passeriformes"
"3","Tchagra australis emini","Tchagra australis","emini","Tchagra","australis","Laniidae","Passeriformes"
"4","Colius colius NA","Colius colius",NA,"Colius","colius","Coliidae","Coliiformes"
"5","Phaethon rubricauda melanorhynchos","Phaethon rubricauda","melanorhynchos","Phaethon","rubricauda","Phaethontidae","Pelecaniformes"
"6","Sphyrapicus ruber ssp","Sphyrapicus ruber","ssp","Sphyrapicus","ruber","Picidae","Piciformes"
"7","Eubucco bourcierii ssp","Eubucco bourcierii","ssp","Eubucco","bourcierii","Capitonidae","Piciformes"
"8","Mino anais NA","Mino anais",NA,"Mino","anais","Sturnidae","Passeriformes"
"9","Tchagra jamesi jamesi","Tchagra jamesi","jamesi","Tchagra","jamesi","Laniidae","Passeriformes"
"10","Tchagra australis minor","Tchagra australis","minor","Tchagra","australis","Laniidae","Passeriformes"
"11","Lanius ludovicianus anthonyi","Lanius ludovicianus","anthonyi","Lanius","ludovicianus","Laniidae","Passeriformes"
"12","Telophorus nigrifrons nigrifrons","Telophorus nigrifrons","nigrifrons","Telophorus","nigrifrons","Laniidae","Passeriformes"
"13","Carduelis xanthogastra xanthogastra","Carduelis xanthogastra","xanthogastra","Carduelis","xanthogastra","Fringillidae","Passeriformes"
"14","Carduelis tristis tristis","Carduelis tristis","tristis","Carduelis","tristis","Fringillidae","Passeriformes"
"15","Calocitta colliei NA","Calocitta colliei",NA,"Calocitta","colliei","Corvidae","Passeriformes"
"16","Capito maculicoronatus ssp","Capito maculicoronatus","ssp","Capito","maculicoronatus","Capitonidae","Piciformes"
"17","Lanius ludovicianus sonoriensis","Lanius ludovicianus","sonoriensis","Lanius","ludovicianus","Laniidae","Passeriformes"
"18","Lanius ludovicianus gambeli","Lanius ludovicianus","gambeli","Lanius","ludovicianus","Laniidae","Passeriformes"
"19","Laniarius luhderi luhderi","Laniarius luhderi","luhderi","Laniarius","luhderi","Laniidae","Passeriformes"
"20","Telophorus bocagei jacksoni","Telophorus bocagei","jacksoni","Telophorus","bocagei","Laniidae","Passeriformes"
"21","Lanius excubitor leucopygos","Lanius excubitor","leucopygos","Lanius","excubitor","Laniidae","Passeriformes"
"22","Carduelis tristis salicamans","Carduelis tristis","salicamans","Carduelis","tristis","Fringillidae","Passeriformes"
"23","Lanius collaris ssp","Lanius collaris","ssp","Lanius","collaris","Laniidae","Passeriformes"
"24","Laniarius funebris degener","Laniarius funebris","degener","Laniarius","funebris","Laniidae","Passeriformes"
"25","Dryoscopus gambensis gambensis","Dryoscopus gambensis","gambensis","Dryoscopus","gambensis","Laniidae","Passeriformes"
"26","Megalaima lineata ssp","Megalaima lineata","ssp","Megalaima","lineata","Capitonidae","Piciformes"
"27","Tchagra australis littoralis","Tchagra australis","littoralis","Tchagra","australis","Laniidae","Passeriformes"
"28","Tchagra senegala remigialis","Tchagra senegala","remigialis","Tchagra","senegala","Laniidae","Passeriformes"
"29","Carduelis psaltria hesperophilus","Carduelis psaltria","hesperophilus","Carduelis","psaltria","Fringillidae","Passeriformes"
"30","Carduelis psaltria psaltria","Carduelis psaltria","psaltria","Carduelis","psaltria","Fringillidae","Passeriformes"
"31","Carduelis psaltria witti","Carduelis psaltria","witti","Carduelis","psaltria","Fringillidae","Passeriformes"
"32","Tchagra minuta minuta","Tchagra minuta","minuta","Tchagra","minuta","Laniidae","Passeriformes"
"33","Phalacrocorax brasilianus brasilianus","Phalacrocorax brasilianus","brasilianus","Phalacrocorax","brasilianus","Phalacrocoracidae","Pelecaniformes"
"34","Phaethon lepturus dorotheae","Phaethon lepturus","dorotheae","Phaethon","lepturus","Phaethontidae","Pelecaniformes"
"35","Picus viridis viridis","Picus viridis","viridis","Picus","viridis","Picidae","Piciformes"
"36","Lanius collurio ssp","Lanius collurio","ssp","Lanius","collurio","Laniidae","Passeriformes"
"37","Sula sula rubripes","Sula sula","rubripes","Sula","sula","Sulidae","Pelecaniformes"
"38","Tchagra tchagra natalensis","Tchagra tchagra","natalensis","Tchagra","tchagra","Laniidae","Passeriformes"
"39","Megalaima virens ssp","Megalaima virens","ssp","Megalaima","virens","Capitonidae","Piciformes"
"40","Prionops scopifrons ssp","Prionops scopifrons","ssp","Prionops","scopifrons","Laniidae","Passeriformes"
"41","Carduelis psaltria hesperophila","Carduelis psaltria","hesperophila","Carduelis","psaltria","Fringillidae","Passeriformes"
"42","Capito niger ssp","Capito niger","ssp","Capito","niger","Capitonidae","Piciformes"
"43","Sula dactylatra personata","Sula dactylatra","personata","Sula","dactylatra","Sulidae","Pelecaniformes"
"44","Phaethon lepturus catesbyi","Phaethon lepturus","catesbyi","Phaethon","lepturus","Phaethontidae","Pelecaniformes"
"45","Phaethon aethereus limatus","Phaethon aethereus","limatus","Phaethon","aethereus","Phaethontidae","Pelecaniformes"
"46","Prionops caniceps mentalis","Prionops caniceps","mentalis","Prionops","caniceps","Laniidae","Passeriformes"
"47","Phaethon aethereus mesonauta","Phaethon aethereus","mesonauta","Phaethon","aethereus","Phaethontidae","Pelecaniformes"
"48","Tchagra australis damarensis","Tchagra australis","damarensis","Tchagra","australis","Laniidae","Passeriformes"
"49","Lanius ludovicianus gambelii","Lanius ludovicianus","gambelii","Lanius","ludovicianus","Laniidae","Passeriformes"
"50","Lanius cristatus cristatus","Lanius cristatus","cristatus","Lanius","cristatus","Laniidae","Passeriformes"
"51","Prionops scopifrons scopifrons","Prionops scopifrons","scopifrons","Prionops","scopifrons","Laniidae","Passeriformes"
"52","Malaconotus blanchoti approximans","Malaconotus blanchoti","approximans","Malaconotus","blanchoti","Laniidae","Passeriformes"
"53","Tchagra cruenta ssp","Tchagra cruenta","ssp","Tchagra","cruenta","Laniidae","Passeriformes"
"54","Picoides villosus ssp","Picoides villosus","ssp","Picoides","villosus","Picidae","Piciformes"
"55","Prionops scopifrons kirki","Prionops scopifrons","kirki","Prionops","scopifrons","Laniidae","Passeriformes"
"56","Laniarius ferrugineus major","Laniarius ferrugineus","major","Laniarius","ferrugineus","Laniidae","Passeriformes"
"57","Tchagra senegala senegala","Tchagra senegala","senegala","Tchagra","senegala","Laniidae","Passeriformes"
"58","Tchagra senegala confusa","Tchagra senegala","confusa","Tchagra","senegala","Laniidae","Passeriformes"
"59","Picus viridis ssp","Picus viridis","ssp","Picus","viridis","Picidae","Piciformes"
"60","Agelaius phoeniceus neutralis","Agelaius phoeniceus","neutralis","Agelaius","phoeniceus","Icteridae","Passeriformes"
"61","Laniarius fulleborni poensis","Laniarius fulleborni","poensis","Laniarius","fulleborni","Laniidae","Passeriformes"
"62","Dryoscopus gambensis erwini","Dryoscopus gambensis","erwini","Dryoscopus","gambensis","Laniidae","Passeriformes"
"63","Corvinella melanoleuca melanoleuca","Corvinella melanoleuca","melanoleuca","Corvinella","melanoleuca","Laniidae","Passeriformes"
"64","Laniarius fulleborni ssp","Laniarius fulleborni","ssp","Laniarius","fulleborni","Laniidae","Passeriformes"
"65","Sula nebouxii nebouxii","Sula nebouxii","nebouxii","Sula","nebouxii","Sulidae","Pelecaniformes"
"66","Nilaus afer minor","Nilaus afer","minor","Nilaus","afer","Laniidae","Passeriformes"
"67","Lanius ludovicianus ssp","Lanius ludovicianus","ssp","Lanius","ludovicianus","Laniidae","Passeriformes"
"68","Carduelis tristis pallida","Carduelis tristis","pallida","Carduelis","tristis","Fringillidae","Passeriformes"
"69","Porphyrio poliocephalus ssp","Porphyrio poliocephalus","ssp","Porphyrio","poliocephalus","Rallidae","Gruiformes"
"70","Sula leucogaster plotus","Sula leucogaster","plotus","Sula","leucogaster","Sulidae","Pelecaniformes"
"71","Synallaxis rutilans omissa","Synallaxis rutilans","omissa","Synallaxis","rutilans","Furnariidae","Passeriformes"
"72","Synallaxis rutilans caquetensis","Synallaxis rutilans","caquetensis","Synallaxis","rutilans","Furnariidae","Passeriformes"
"73","Synallaxis stictothorax stictothorax","Synallaxis stictothorax","stictothorax","Synallaxis","stictothorax","Furnariidae","Passeriformes"
"74","Synallaxis unirufa unirufa","Synallaxis unirufa","unirufa","Synallaxis","unirufa","Furnariidae","Passeriformes"
"75","Thripophaga flammulata multostriata","Thripophaga flammulata","multostriata","Thripophaga","flammulata","Furnariidae","Passeriformes"
"76","Thripophaga pyrrholeuca sordida","Thripophaga pyrrholeuca","sordida","Thripophaga","pyrrholeuca","Furnariidae","Passeriformes"
"77","Thripophaga wyatti wyatti","Thripophaga wyatti","wyatti","Thripophaga","wyatti","Furnariidae","Passeriformes"
"78","Upucerthia dumetaria dumetaria","Upucerthia dumetaria","dumetaria","Upucerthia","dumetaria","Furnariidae","Passeriformes"
"79","Margarornis brunnescens brunneicauda","Margarornis brunnescens","brunneicauda","Margarornis","brunnescens","Furnariidae","Passeriformes"
"80","Margarornis brunnescens brunnescens","Margarornis brunnescens","brunnescens","Margarornis","brunnescens","Furnariidae","Passeriformes"
"81","Margarornis brunnescens ssp","Margarornis brunnescens","ssp","Margarornis","brunnescens","Furnariidae","Passeriformes"
"82","Margarornis rubiginosus rubiginosus","Margarornis rubiginosus","rubiginosus","Margarornis","rubiginosus","Furnariidae","Passeriformes"
"83","Margarornis squamiger perlatus","Margarornis squamiger","perlatus","Margarornis","squamiger","Furnariidae","Passeriformes"
"84","Automolus ochrolaemus amusos","Automolus ochrolaemus","amusos","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"85","Automolus ochrolaemus auricularis","Automolus ochrolaemus","auricularis","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"86","Automolus ochrolaemus cervinigularis","Automolus ochrolaemus","cervinigularis","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"87","Automolus ochrolaemus exsertus","Automolus ochrolaemus","exsertus","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"88","Automolus ochrolaemus hypophaeus","Automolus ochrolaemus","hypophaeus","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"89","Automolus ochrolaemus turdinus","Automolus ochrolaemus","turdinus","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"90","Automolus rubiginosus nigricauda","Automolus rubiginosus","nigricauda","Automolus","rubiginosus","Furnariidae","Passeriformes"
"91","Automolus rubiginosus obscurus","Automolus rubiginosus","obscurus","Automolus","rubiginosus","Furnariidae","Passeriformes"
"92","Automolus rubiginosus watkinsi","Automolus rubiginosus","watkinsi","Automolus","rubiginosus","Furnariidae","Passeriformes"
"93","Automolus infuscatus cervicalis","Automolus infuscatus","cervicalis","Automolus","infuscatus","Furnariidae","Passeriformes"
"94","Automolus infuscatus paraensis","Automolus infuscatus","paraensis","Automolus","infuscatus","Furnariidae","Passeriformes"
"95","Automolus leucophthalmus lammi","Automolus leucophthalmus","lammi","Automolus","leucophthalmus","Furnariidae","Passeriformes"
"96","Automolus leucophthalmus sulphurascens","Automolus leucophthalmus","sulphurascens","Automolus","leucophthalmus","Furnariidae","Passeriformes"
"97","Carduelis pinus pinus","Carduelis pinus","pinus","Carduelis","pinus","Fringillidae","Passeriformes"
"98","Prionops plumata plumata","Prionops plumata","plumata","Prionops","plumata","Laniidae","Passeriformes"
"99","Philydor rufosuperciliatus acrita","Philydor rufosuperciliatus","acrita","Philydor","rufosuperciliatus","Furnariidae","Passeriformes"
"100","Anas falcata NA","Anas falcata",NA,"Anas","falcata","Anatidae","Anseriformes"
"101","Euphonia xanthogaster ssp","Euphonia xanthogaster","ssp","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"102","Euphonia xanthogaster chocoensis","Euphonia xanthogaster","chocoensis","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"103","Euphonia xanthogaster brevirostris","Euphonia xanthogaster","brevirostris","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"104","Euphonia xanthogaster xanthogaster","Euphonia xanthogaster","xanthogaster","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"105","Coryphospingus cucullatus cucullatus","Coryphospingus cucullatus","cucullatus","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"106","Coryphospingus cucullatus ssp","Coryphospingus cucullatus","ssp","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"107","Coryphospingus cucullatus fargoi","Coryphospingus cucullatus","fargoi","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"108","Coryphospingus cucullatus rubescens","Coryphospingus cucullatus","rubescens","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"109","Coryphospingus pileatus brevicaudus","Coryphospingus pileatus","brevicaudus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"110","Coryphospingus pileatus pileatus","Coryphospingus pileatus","pileatus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"111","Coryphospingus pileatus rostratus","Coryphospingus pileatus","rostratus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"112","Coryphospingus pileatus ssp","Coryphospingus pileatus","ssp","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"113","Hemispingus atropileus atropileus","Hemispingus atropileus","atropileus","Hemispingus","atropileus","Emberizidae","Passeriformes"
"114","Hemispingus frontalis frontalis","Hemispingus frontalis","frontalis","Hemispingus","frontalis","Emberizidae","Passeriformes"
"115","Hemispingus melanotis melanotis","Hemispingus melanotis","melanotis","Hemispingus","melanotis","Emberizidae","Passeriformes"
"116","Hemispingus superciliaris nigrifrons","Hemispingus superciliaris","nigrifrons","Hemispingus","superciliaris","Emberizidae","Passeriformes"
"117","Hemispingus superciliaris superciliaris","Hemispingus superciliaris","superciliaris","Hemispingus","superciliaris","Emberizidae","Passeriformes"
"118","Coryphaspiza melanotis melanotis","Coryphaspiza melanotis","melanotis","Coryphaspiza","melanotis","Emberizidae","Passeriformes"
"119","Eucometis penicillata albicollis","Eucometis penicillata","albicollis","Eucometis","penicillata","Emberizidae","Passeriformes"
"120","Eucometis penicillata cristata","Eucometis penicillata","cristata","Eucometis","penicillata","Emberizidae","Passeriformes"
"121","Eucometis penicillata pallida","Eucometis penicillata","pallida","Eucometis","penicillata","Emberizidae","Passeriformes"
"122","Eucometis penicillata spodocephala","Eucometis penicillata","spodocephala","Eucometis","penicillata","Emberizidae","Passeriformes"
"123","Cyanerpes caeruleus caeruleus","Cyanerpes caeruleus","caeruleus","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"124","Cyanerpes caeruleus microrhynchus","Cyanerpes caeruleus","microrhynchus","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"125","Cyanerpes caeruleus ssp","Cyanerpes caeruleus","ssp","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"126","Cyanerpes cyaneus eximius","Cyanerpes cyaneus","eximius","Cyanerpes","cyaneus","Emberizidae","Passeriformes"
"127","Cyanerpes cyaneus ssp","Cyanerpes cyaneus","ssp","Cyanerpes","cyaneus","Emberizidae","Passeriformes"
"128","Crinifer piscator ssp","Crinifer piscator","ssp","Crinifer","piscator","Musophagidae","Cuculiformes"
"129","Spermophaga ruficapilla ruficapilla","Spermophaga ruficapilla","ruficapilla","Spermophaga","ruficapilla","Estrildidae","Passeriformes"
"130","Pyrenestes ostrinus ostrinus","Pyrenestes ostrinus","ostrinus","Pyrenestes","ostrinus","Estrildidae","Passeriformes"
"131","Pyrenestes sanguineus sanguineus","Pyrenestes sanguineus","sanguineus","Pyrenestes","sanguineus","Estrildidae","Passeriformes"
"132","Pyrenestes sanguineus ssp","Pyrenestes sanguineus","ssp","Pyrenestes","sanguineus","Estrildidae","Passeriformes"
"133","Uraeginthus granatina ssp","Uraeginthus granatina","ssp","Uraeginthus","granatina","Estrildidae","Passeriformes"
"134","Uraeginthus bengalus brunneigularis","Uraeginthus bengalus","brunneigularis","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"135","Uraeginthus bengalus ssp","Uraeginthus bengalus","ssp","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"136","Uraeginthus bengalus bengalus","Uraeginthus bengalus","bengalus","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"137","Uraeginthus bengalus littoralis","Uraeginthus bengalus","littoralis","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"138","Uraeginthus angolensis cyanopleurus","Uraeginthus angolensis","cyanopleurus","Uraeginthus","angolensis","Estrildidae","Passeriformes"
"139","Uraeginthus ianthinogaster ianthinogaster","Uraeginthus ianthinogaster","ianthinogaster","Uraeginthus","ianthinogaster","Estrildidae","Passeriformes"
"140","Tyranniscus vilissimus improbus","Tyranniscus vilissimus","improbus","Tyranniscus","vilissimus","Tyrannidae","Passeriformes"
"141","Tyranniscus vilissimus parvus","Tyranniscus vilissimus","parvus","Tyranniscus","vilissimus","Tyrannidae","Passeriformes"
"142","Tyranniscus viridiflavus albigularis","Tyranniscus viridiflavus","albigularis","Tyranniscus","viridiflavus","Tyrannidae","Passeriformes"
"143","Tyranniscus viridiflavus chrysops","Tyranniscus viridiflavus","chrysops","Tyranniscus","viridiflavus","Tyrannidae","Passeriformes"
"144","Tolmomyias assimilis flavotectus","Tolmomyias assimilis","flavotectus","Tolmomyias","assimilis","Tyrannidae","Passeriformes"
"145","Tolmomyias assimilis obscuriceps","Tolmomyias assimilis","obscuriceps","Tolmomyias","assimilis","Tyrannidae","Passeriformes"
"146","Tolmomyias flaviventris collingwoodi","Tolmomyias flaviventris","collingwoodi","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"147","Tolmomyias flaviventris dissors","Tolmomyias flaviventris","dissors","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"148","Tolmomyias flaviventris flaviventris","Tolmomyias flaviventris","flaviventris","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"149","Tolmomyias flaviventris viridiceps","Tolmomyias flaviventris","viridiceps","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"150","Tolmomyias flaviventris aurulentus","Tolmomyias flaviventris","aurulentus","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"151","Tolmomyias sulphurescens cinereiceps","Tolmomyias sulphurescens","cinereiceps","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"152","Tolmomyias sulphurescens ssp","Tolmomyias sulphurescens","ssp","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"153","Tolmomyias sulphurescens pallescens","Tolmomyias sulphurescens","pallescens","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"154","Tolmomyias sulphurescens sulphurescens","Tolmomyias sulphurescens","sulphurescens","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"155","Tolmomyias sulphurescens cherriei","Tolmomyias sulphurescens","cherriei","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"156","Tolmomyias sulphurescens asemus","Tolmomyias sulphurescens","asemus","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"157","Tolmomyias sulphurescens mixtus","Tolmomyias sulphurescens","mixtus","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"158","Tolmomyias sulphurescens confusus","Tolmomyias sulphurescens","confusus","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"159","Tolmomyias poliocephalus sclateri","Tolmomyias poliocephalus","sclateri","Tolmomyias","poliocephalus","Tyrannidae","Passeriformes"
"160","Tolmomyias poliocephalus ssp","Tolmomyias poliocephalus","ssp","Tolmomyias","poliocephalus","Tyrannidae","Passeriformes"
"161","Terenotriccus erythrurus amazonas","Terenotriccus erythrurus","amazonas","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"162","Terenotriccus erythrurus fulvigularis","Terenotriccus erythrurus","fulvigularis","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"163","Terenotriccus erythrurus hellmayri","Terenotriccus erythrurus","hellmayri","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"164","Terenotriccus erythrurus singatus","Terenotriccus erythrurus","singatus","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"165","Tachuris rubrigastra rubrigastra","Tachuris rubrigastra","rubrigastra","Tachuris","rubrigastra","Tyrannidae","Passeriformes"
"166","Suiriri suiriri suiriri","Suiriri suiriri","suiriri","Suiriri","suiriri","Tyrannidae","Passeriformes"
"167","Sublegatus arenarum arenarum","Sublegatus arenarum","arenarum","Sublegatus","arenarum","Tyrannidae","Passeriformes"
"168","Sublegatus arenarum atrirostris","Sublegatus arenarum","atrirostris","Sublegatus","arenarum","Tyrannidae","Passeriformes"
"169","Sublegatus arenarum glaber","Sublegatus arenarum","glaber","Sublegatus","arenarum","Tyrannidae","Passeriformes"
"170","Sublegatus modestus modestus","Sublegatus modestus","modestus","Sublegatus","modestus","Tyrannidae","Passeriformes"
"171","Stigmatura budytoides bahiae","Stigmatura budytoides","bahiae","Stigmatura","budytoides","Tyrannidae","Passeriformes"
"172","Stigmatura budytoides inzonata","Stigmatura budytoides","inzonata","Stigmatura","budytoides","Tyrannidae","Passeriformes"
"173","Sirystes sibilator atimastus","Sirystes sibilator","atimastus","Sirystes","sibilator","Tyrannidae","Passeriformes"
"174","Sirystes sibilator sibilator","Sirystes sibilator","sibilator","Sirystes","sibilator","Tyrannidae","Passeriformes"
"175","Sirystes sibilator subcanescens","Sirystes sibilator","subcanescens","Sirystes","sibilator","Tyrannidae","Passeriformes"
"176","Sayornis nigricans amnicola","Sayornis nigricans","amnicola","Sayornis","nigricans","Tyrannidae","Passeriformes"
"177","Sayornis nigricans angustirostris","Sayornis nigricans","angustirostris","Sayornis","nigricans","Tyrannidae","Passeriformes"
"178","Sayornis nigricans aquatica","Sayornis nigricans","aquatica","Sayornis","nigricans","Tyrannidae","Passeriformes"
"179","Sayornis nigricans semiatra","Sayornis nigricans","semiatra","Sayornis","nigricans","Tyrannidae","Passeriformes"
"180","Sayornis saya ssp","Sayornis saya","ssp","Sayornis","saya","Tyrannidae","Passeriformes"
"181","Sayornis saya quiescens","Sayornis saya","quiescens","Sayornis","saya","Tyrannidae","Passeriformes"
"182","Sayornis saya saya","Sayornis saya","saya","Sayornis","saya","Tyrannidae","Passeriformes"
"183","Rhytipterna holerythra holerythra","Rhytipterna holerythra","holerythra","Rhytipterna","holerythra","Tyrannidae","Passeriformes"
"184","Rhytipterna holerythra rosenbergi","Rhytipterna holerythra","rosenbergi","Rhytipterna","holerythra","Tyrannidae","Passeriformes"
"185","Rhytipterna simplex frederici","Rhytipterna simplex","frederici","Rhytipterna","simplex","Tyrannidae","Passeriformes"
"186","Rhytipterna simplex simplex","Rhytipterna simplex","simplex","Rhytipterna","simplex","Tyrannidae","Passeriformes"
"187","Rhynchocyclus brevirostris brevirostris","Rhynchocyclus brevirostris","brevirostris","Rhynchocyclus","brevirostris","Tyrannidae","Passeriformes"
"188","Rhynchocyclus brevirostris pacificus","Rhynchocyclus brevirostris","pacificus","Rhynchocyclus","brevirostris","Tyrannidae","Passeriformes"
"189","Rhynchocyclus olivaceus guianensis","Rhynchocyclus olivaceus","guianensis","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
"190","Rhynchocyclus olivaceus olivaceus","Rhynchocyclus olivaceus","olivaceus","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
"191","Rhynchocyclus olivaceus aequinoctialis","Rhynchocyclus olivaceus","aequinoctialis","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
"192","Rhynchocyclus olivaceus tamborensis","Rhynchocyclus olivaceus","tamborensis","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
"193","Ramphotrigon megacephala megacephala","Ramphotrigon megacephala","megacephala","Ramphotrigon","megacephala","Tyrannidae","Passeriformes"
"194","Cnemotriccus fuscatus bimaculatus","Cnemotriccus fuscatus","bimaculatus","Cnemotriccus","fuscatus","Tyrannidae","Passeriformes"
"195","Cnemotriccus fuscatus fumosus","Cnemotriccus fuscatus","fumosus","Cnemotriccus","fuscatus","Tyrannidae","Passeriformes"
"196","Cnemotriccus fuscatus fuscatus","Cnemotriccus fuscatus","fuscatus","Cnemotriccus","fuscatus","Tyrannidae","Passeriformes"
"197","Empidonomus aurantioatrocristatus minor","Empidonomus aurantioatrocristatus","minor","Empidonomus","aurantioatrocristatus","Tyrannidae","Passeriformes"
"198","Empidonomus varius varius","Empidonomus varius","varius","Empidonomus","varius","Tyrannidae","Passeriformes"
"199","Empidonomus varius rufinus","Empidonomus varius","rufinus","Empidonomus","varius","Tyrannidae","Passeriformes"
"200","Empidonax difficilis insulicola","Empidonax difficilis","insulicola","Empidonax","difficilis","Tyrannidae","Passeriformes"
"201","Charmosyna pulchella NA","Charmosyna pulchella",NA,"Charmosyna","pulchella","Loriidae","Psittaciformes"
"202","Empidonax difficilis ssp","Empidonax difficilis","ssp","Empidonax","difficilis","Tyrannidae","Passeriformes"
"203","Empidonax difficilis hellmayri","Empidonax difficilis","hellmayri","Empidonax","difficilis","Tyrannidae","Passeriformes"
"204","Empidonax difficilis difficilis","Empidonax difficilis","difficilis","Empidonax","difficilis","Tyrannidae","Passeriformes"
"205","Junco hyemalis pinosus","Junco hyemalis","pinosus","Junco","hyemalis","Emberizidae","Passeriformes"
"206","Empidonax difficilis culiacani","Empidonax difficilis","culiacani","Empidonax","difficilis","Tyrannidae","Passeriformes"
"207","Empidonax difficilis cineritius","Empidonax difficilis","cineritius","Empidonax","difficilis","Tyrannidae","Passeriformes"
"208","Empidonax traillii traillii","Empidonax traillii","traillii","Empidonax","traillii","Tyrannidae","Passeriformes"
"209","Empidonax traillii brewsteri","Empidonax traillii","brewsteri","Empidonax","traillii","Tyrannidae","Passeriformes"
"210","Empidonax traillii extimus","Empidonax traillii","extimus","Empidonax","traillii","Tyrannidae","Passeriformes"
"211","Empidonax traillii ssp","Empidonax traillii","ssp","Empidonax","traillii","Tyrannidae","Passeriformes"
"212","Empidonax flavescens flavescens","Empidonax flavescens","flavescens","Empidonax","flavescens","Tyrannidae","Passeriformes"
"213","Empidonax flavescens ssp","Empidonax flavescens","ssp","Empidonax","flavescens","Tyrannidae","Passeriformes"
"214","Empidonax fulvifrons pygmaeus","Empidonax fulvifrons","pygmaeus","Empidonax","fulvifrons","Tyrannidae","Passeriformes"
"215","Myiopagis leucospodia cinereifrons","Myiopagis leucospodia","cinereifrons","Myiopagis","leucospodia","Tyrannidae","Passeriformes"
"216","Myiopagis caniceps ssp","Myiopagis caniceps","ssp","Myiopagis","caniceps","Tyrannidae","Passeriformes"
"217","Myiopagis caniceps caniceps","Myiopagis caniceps","caniceps","Myiopagis","caniceps","Tyrannidae","Passeriformes"
"218","Myiopagis gaimardii bogotensis","Myiopagis gaimardii","bogotensis","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"219","Myiopagis gaimardii gaimardii","Myiopagis gaimardii","gaimardii","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"220","Myiopagis gaimardii guianensis","Myiopagis gaimardii","guianensis","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"221","Myiopagis gaimardii ssp","Myiopagis gaimardii","ssp","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"222","Myiopagis gaimardii subcinereus","Myiopagis gaimardii","subcinereus","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"223","Myiopagis viridicata placens","Myiopagis viridicata","placens","Myiopagis","viridicata","Tyrannidae","Passeriformes"
"224","Myiopagis viridicata viridicata","Myiopagis viridicata","viridicata","Myiopagis","viridicata","Tyrannidae","Passeriformes"
"225","Myiopagis viridicata ssp","Myiopagis viridicata","ssp","Myiopagis","viridicata","Tyrannidae","Passeriformes"
"226","Myiopagis viridicata minima","Myiopagis viridicata","minima","Myiopagis","viridicata","Tyrannidae","Passeriformes"
