"","IOC_seq","emu_fullname","emu_order","emu_family","emu_genus","emu_species","emu_subspecies","new_fullname","new_order","new_family","new_genus","new_species","new_subspecies","namechange","familychange","orderchange"
"34",105,"Crypturellus undulatus simplex","Tinamiformes","Tinamidae","Crypturellus","undulatus","simplex","Crypturellus undulatus simplex","Tinamiformes","Tinamidae","Crypturellus","undulatus","simplex","No","No","No"
"35",107,"Crypturellus undulatus adspersus","Tinamiformes","Tinamidae","Crypturellus","undulatus","adspersus","Crypturellus undulatus adspersus","Tinamiformes","Tinamidae","Crypturellus","undulatus","adspersus","No","No","No"
"36",108,"Crypturellus undulatus vermiculatus","Tinamiformes","Tinamidae","Crypturellus","undulatus","vermiculatus","Crypturellus undulatus vermiculatus","Tinamiformes","Tinamidae","Crypturellus","undulatus","vermiculatus","No","No","No"
"37",111,"Crypturellus strigulosus strigulosus","Tinamiformes","Tinamidae","Crypturellus","strigulosus","strigulosus","Crypturellus strigulosus","Tinamiformes","Tinamidae","Crypturellus","strigulosus","strigulosus","Yes","No","No"
"38",123,"Crypturellus noctivagus noctivagus","Tinamiformes","Tinamidae","Crypturellus","noctivagus","noctivagus","Crypturellus noctivagus noctivagus","Tinamiformes","Tinamidae","Crypturellus","noctivagus","noctivagus","No","No","No"
"39",129,"Crypturellus cinnamomeus occidentalis","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","occidentalis","Crypturellus cinnamomeus occidentalis","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","occidentalis","No","No","No"
"40",133,"Crypturellus cinnamomeus sallaei","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","sallaei","Crypturellus cinnamomeus sallaei","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","sallaei","No","No","No"
"41",135,"Crypturellus cinnamomeus cinnamomeus","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","cinnamomeus","Crypturellus cinnamomeus cinnamomeus","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","cinnamomeus","No","No","No"
"42",137,"Crypturellus cinnamomeus praepes","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","praepes","Crypturellus cinnamomeus praepes","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","praepes","No","No","No"
"43",139,"Crypturellus boucardi boucardi","Tinamiformes","Tinamidae","Crypturellus","boucardi","boucardi","Crypturellus boucardi boucardi","Tinamiformes","Tinamidae","Crypturellus","boucardi","boucardi","No","No","No"
"44",142,"Crypturellus variegatus variegatus","Tinamiformes","Tinamidae","Crypturellus","variegatus","variegatus","Crypturellus variegatus","Tinamiformes","Tinamidae","Crypturellus","variegatus","variegatus","Yes","No","No"
"45",145,"Crypturellus parvirostris ","Tinamiformes","Tinamidae","Crypturellus","parvirostris","","Crypturellus parvirostris ","Tinamiformes","Tinamidae","Crypturellus","parvirostris","","No","No","No"
"46",147,"Crypturellus tataupa ","Tinamiformes","Tinamidae","Crypturellus","tataupa","","Crypturellus tataupa ","Tinamiformes","Tinamidae","Crypturellus","tataupa","","No","No","No"
"47",151,"Crypturellus tataupa tataupa","Tinamiformes","Tinamidae","Crypturellus","tataupa","tataupa","Crypturellus tataupa tataupa","Tinamiformes","Tinamidae","Crypturellus","tataupa","tataupa","No","No","No"
"48",152,"Rhynchotus rufescens ","Tinamiformes","Tinamidae","Rhynchotus","rufescens","","Rhynchotus rufescens ","Tinamiformes","Tinamidae","Rhynchotus","rufescens","","No","No","No"
"49",153,"Rhynchotus rufescens catingae","Tinamiformes","Tinamidae","Rhynchotus","rufescens","catingae","Rhynchotus rufescens catingae","Tinamiformes","Tinamidae","Rhynchotus","rufescens","catingae","No","No","No"
"50",154,"Rhynchotus rufescens pallescens","Tinamiformes","Tinamidae","Rhynchotus","rufescens","pallescens","Rhynchotus rufescens pallescens","Tinamiformes","Tinamidae","Rhynchotus","rufescens","pallescens","No","No","No"
"51",155,"Rhynchotus rufescens rufescens","Tinamiformes","Tinamidae","Rhynchotus","rufescens","rufescens","Rhynchotus rufescens rufescens","Tinamiformes","Tinamidae","Rhynchotus","rufescens","rufescens","No","No","No"
"52",159,"Nothoprocta ornata ","Tinamiformes","Tinamidae","Nothoprocta","ornata","","Nothoprocta ornata ","Tinamiformes","Tinamidae","Nothoprocta","ornata","","No","No","No"
"53",167,"Nothoprocta perdicaria perdicaria","Tinamiformes","Tinamidae","Nothoprocta","perdicaria","perdicaria","Nothoprocta perdicaria perdicaria","Tinamiformes","Tinamidae","Nothoprocta","perdicaria","perdicaria","No","No","No"
"54",168,"Nothoprocta perdicaria sanborni","Tinamiformes","Tinamidae","Nothoprocta","perdicaria","sanborni","Nothoprocta perdicaria sanborni","Tinamiformes","Tinamidae","Nothoprocta","perdicaria","sanborni","No","No","No"
"55",169,"Nothoprocta cinerascens ","Tinamiformes","Tinamidae","Nothoprocta","cinerascens","","Nothoprocta cinerascens ","Tinamiformes","Tinamidae","Nothoprocta","cinerascens","","No","No","No"
"56",175,"Nothoprocta pentlandii oustaleti","Tinamiformes","Tinamidae","Nothoprocta","pentlandii","oustaleti","Nothoprocta pentlandii oustaleti","Tinamiformes","Tinamidae","Nothoprocta","pentlandii","oustaleti","No","No","No"
"57",184,"Nothura boraquira ","Tinamiformes","Tinamidae","Nothura","boraquira","","Nothura boraquira ","Tinamiformes","Tinamidae","Nothura","boraquira","","No","No","No"
"58",185,"Nothura minor ","Tinamiformes","Tinamidae","Nothura","minor","","Nothura minor ","Tinamiformes","Tinamidae","Nothura","minor","","No","No","No"
