"","IOC_seq","emu_fullname","emu_order","emu_family","emu_genus","emu_species","emu_subspecies","new_fullname","new_order","new_family","new_genus","new_species","new_subspecies","namechange","familychange","orderchange"
"2329",7306,"Eudyptula minor minor","Sphenisciformes","Spheniscidae","Eudyptula","minor","minor","Eudyptula minor minor","Sphenisciformes","Spheniscidae","Eudyptula","minor","minor","No","No","No"
"2330",7309,"Spheniscus mendiculus ","Sphenisciformes","Spheniscidae","Spheniscus","mendiculus","","Spheniscus mendiculus ","Sphenisciformes","Spheniscidae","Spheniscus","mendiculus","","No","No","No"
"2331",7310,"Spheniscus humboldti ","Sphenisciformes","Spheniscidae","Spheniscus","humboldti","","Spheniscus humboldti ","Sphenisciformes","Spheniscidae","Spheniscus","humboldti","","No","No","No"
"2332",7311,"Spheniscus magellanicus ","Sphenisciformes","Spheniscidae","Spheniscus","magellanicus","","Spheniscus magellanicus ","Sphenisciformes","Spheniscidae","Spheniscus","magellanicus","","No","No","No"
"2333",7312,"Spheniscus demersus ","Sphenisciformes","Spheniscidae","Spheniscus","demersus","","Spheniscus demersus ","Sphenisciformes","Spheniscidae","Spheniscus","demersus","","No","No","No"
"2334",7313,"Megadyptes antipodes ","Sphenisciformes","Spheniscidae","Megadyptes","antipodes","","Megadyptes antipodes ","Sphenisciformes","Spheniscidae","Megadyptes","antipodes","","No","No","No"
"2335",7314,"Eudyptes chrysolophus ","Sphenisciformes","Spheniscidae","Eudyptes","chrysolophus","","Eudyptes chrysolophus ","Sphenisciformes","Spheniscidae","Eudyptes","chrysolophus","","No","No","No"
"2336",7320,"Eudyptes crestatus ","Sphenisciformes","Spheniscidae","Eudyptes","crestatus","","Eudyptes chrysocome","Sphenisciformes","Spheniscidae","Eudyptes","chrysocome","chrysocome","Yes","No","No"
"2337",7328,"Oceanites oceanicus ","Procellariiformes","Hydrobatidae","Oceanites","oceanicus","","Oceanites oceanicus ","Procellariiformes","Oceanitidae","Oceanites","oceanicus","","No","Yes","No"
"2338",7328,"Oceanites oceanites ","Procellariiformes","Hydrobatidae","Oceanites","oceanites","","Oceanites oceanicus","Procellariiformes","Oceanitidae","Oceanites","oceanicus","oceanicus","Yes","Yes","No"
"2339",7329,"Oceanites oceanicus oceanicus","Procellariiformes","Hydrobatidae","Oceanites","oceanicus","oceanicus","Oceanites oceanicus oceanicus","Procellariiformes","Oceanitidae","Oceanites","oceanicus","oceanicus","No","Yes","No"
"2340",7331,"Oceanites oceanicus chilensis","Procellariiformes","Hydrobatidae","Oceanites","oceanicus","chilensis","Oceanites oceanicus chilensis","Procellariiformes","Oceanitidae","Oceanites","oceanicus","chilensis","No","Yes","No"
"2341",7332,"Oceanites gracilis ","Procellariiformes","Hydrobatidae","Oceanites","gracilis","","Oceanites gracilis ","Procellariiformes","Oceanitidae","Oceanites","gracilis","","No","Yes","No"
"2342",7334,"Oceanites gracilis galapagoensis","Procellariiformes","Hydrobatidae","Oceanites","gracilis","galapagoensis","Oceanites gracilis galapagoensis","Procellariiformes","Oceanitidae","Oceanites","gracilis","galapagoensis","No","Yes","No"
"2343",7337,"Pelagodroma marina ","Procellariiformes","Hydrobatidae","Pelagodroma","marina","","Pelagodroma marina ","Procellariiformes","Oceanitidae","Pelagodroma","marina","","No","Yes","No"
"2344",7341,"Pelagodroma marina dulciae","Procellariiformes","Hydrobatidae","Pelagodroma","marina","dulciae","Pelagodroma marina dulciae","Procellariiformes","Oceanitidae","Pelagodroma","marina","dulciae","No","Yes","No"
"2345",7342,"Pelagodroma marina maoriana","Procellariiformes","Hydrobatidae","Pelagodroma","marina","maoriana","Pelagodroma marina maoriana","Procellariiformes","Oceanitidae","Pelagodroma","marina","maoriana","No","Yes","No"
"2346",7344,"Fregetta grallaria ","Procellariiformes","Hydrobatidae","Fregetta","grallaria","","Fregetta grallaria ","Procellariiformes","Oceanitidae","Fregetta","grallaria","","No","Yes","No"
"2347",7351,"Fregetta tropica tropica","Procellariiformes","Hydrobatidae","Fregetta","tropica","tropica","Fregetta tropica tropica","Procellariiformes","Oceanitidae","Fregetta","tropica","tropica","No","Yes","No"
"2348",7355,"Nesofregetta fuliginosa ","Procellariiformes","Hydrobatidae","Nesofregetta","fuliginosa","","Nesofregetta fuliginosa ","Procellariiformes","Oceanitidae","Nesofregetta","fuliginosa","","No","Yes","No"
"2349",7355,"Nesofregetta albigularis ","Procellariiformes","Hydrobatidae","Nesofregetta","albigularis","","Nesofregetta fuliginosa","Procellariiformes","Oceanitidae","Nesofregetta","fuliginosa","fuliginosa","Yes","Yes","No"
"2350",7356,"Diomedea immutabilis ","Procellariiformes","Diomedeidae","Diomedea","immutabilis","","Phoebastria immutabilis ","Procellariiformes","Diomedeidae","Phoebastria","immutabilis","","Yes","No","No"
"2351",7356,"Phoebastria immutabilis ","Procellariiformes","Diomedeidae","Phoebastria","immutabilis","","Phoebastria immutabilis ","Procellariiformes","Diomedeidae","Phoebastria","immutabilis","","No","No","No"
"2352",7357,"Diomedea nigripes ","Procellariiformes","Diomedeidae","Diomedea","nigripes","","Phoebastria nigripes ","Procellariiformes","Diomedeidae","Phoebastria","nigripes","","Yes","No","No"
"2353",7357,"Phoebastria nigripes ","Procellariiformes","Diomedeidae","Phoebastria","nigripes","","Phoebastria nigripes ","Procellariiformes","Diomedeidae","Phoebastria","nigripes","","No","No","No"
"2354",7358,"Diomedea irrorata ","Procellariiformes","Diomedeidae","Diomedea","irrorata","","Phoebastria irrorata ","Procellariiformes","Diomedeidae","Phoebastria","irrorata","","Yes","No","No"
"2355",7359,"Diomedea albatrus ","Procellariiformes","Diomedeidae","Diomedea","albatrus","","Phoebastria albatrus ","Procellariiformes","Diomedeidae","Phoebastria","albatrus","","Yes","No","No"
"2356",7360,"Diomedea exulans ","Procellariiformes","Diomedeidae","Diomedea","exulans","","Diomedea exulans ","Procellariiformes","Diomedeidae","Diomedea","exulans","","No","No","No"
"2357",7362,"Diomedea exulans chionoptera","Procellariiformes","Diomedeidae","Diomedea","exulans","chionoptera","Diomedea exulans exulans","Procellariiformes","Diomedeidae","Diomedea","exulans","exulans","Yes","No","No"
"2358",7373,"Diomedea epomophora sanfordi","Procellariiformes","Diomedeidae","Diomedea","epomophora","sanfordi","Diomedea epomophora sanfordi","Procellariiformes","Diomedeidae","Diomedea","epomophora","sanfordi","No","No","No"
"2359",7375,"Phoebetria palpebrata ","Procellariiformes","Diomedeidae","Phoebetria","palpebrata","","Phoebetria palpebrata ","Procellariiformes","Diomedeidae","Phoebetria","palpebrata","","No","No","No"
"2360",7376,"Diomedea melanophris ","Procellariiformes","Diomedeidae","Diomedea","melanophris","","Thalassarche melanophris","Procellariiformes","Diomedeidae","Thalassarche","melanophris","melanophris","Yes","No","No"
"2361",7381,"Diomedea cauta cauta","Procellariiformes","Diomedeidae","Diomedea","cauta","cauta","Thalassarche cauta cauta","Procellariiformes","Diomedeidae","Thalassarche","cauta","cauta","Yes","No","No"
"2362",7384,"Diomedea cauta eremita","Procellariiformes","Diomedeidae","Diomedea","cauta","eremita","Thalassarche eremita ","Procellariiformes","Diomedeidae","Thalassarche","eremita","","Yes","No","No"
"2363",7388,"Diomedea chrysostoma ","Procellariiformes","Diomedeidae","Diomedea","chrysostoma","","Thalassarche chrysostoma ","Procellariiformes","Diomedeidae","Thalassarche","chrysostoma","","Yes","No","No"
"2364",7393,"Diomedea bulleri ","Procellariiformes","Diomedeidae","Diomedea","bulleri","","Thalassarche bulleri ","Procellariiformes","Diomedeidae","Thalassarche","bulleri","","Yes","No","No"
"2365",7399,"Oceanodroma furcata ","Procellariiformes","Hydrobatidae","Oceanodroma","furcata","","Hydrobates furcatus ","Procellariiformes","Hydrobatidae","Hydrobates","furcatus","","Yes","No","No"
"2366",7400,"Oceanodroma furcata furcata","Procellariiformes","Hydrobatidae","Oceanodroma","furcata","furcata","Hydrobates furcatus furcatus","Procellariiformes","Hydrobatidae","Hydrobates","furcatus","furcatus","Yes","No","No"
"2367",7401,"Oceanodroma furcata plumbea","Procellariiformes","Hydrobatidae","Oceanodroma","furcata","plumbea","Hydrobates furcatus plumbeus","Procellariiformes","Hydrobatidae","Hydrobates","furcatus","plumbeus","Yes","No","No"
"2368",7402,"Oceanodroma hornbyi ","Procellariiformes","Hydrobatidae","Oceanodroma","hornbyi","","Hydrobates hornbyi ","Procellariiformes","Hydrobatidae","Hydrobates","hornbyi","","Yes","No","No"
"2369",7403,"Oceanodroma monorhis ","Procellariiformes","Hydrobatidae","Oceanodroma","monorhis","","Hydrobates monorhis ","Procellariiformes","Hydrobatidae","Hydrobates","monorhis","","Yes","No","No"
"2370",7405,"Oceanodroma leucorhoa ","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","","Hydrobates leucorhous ","Procellariiformes","Hydrobatidae","Hydrobates","leucorhous","","Yes","No","No"
"2371",7406,"Oceanodroma leucorhoa leucorhoa","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","leucorhoa","Hydrobates leucorhous leucorhous","Procellariiformes","Hydrobatidae","Hydrobates","leucorhous","leucorhous","Yes","No","No"
"2372",7407,"Oceanodroma leucorhoa beali","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","beali","Hydrobates leucorhous leucorhous","Procellariiformes","Hydrobatidae","Hydrobates","leucorhous","leucorhous","Yes","No","No"
"2373",7408,"Oceanodroma leucorhoa chapmani","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","chapmani","Hydrobates leucorhous chapmani","Procellariiformes","Hydrobatidae","Hydrobates","leucorhous","chapmani","Yes","No","No"
"2374",7409,"Oceanodroma leucorhoa socorroensis","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","socorroensis","Hydrobates socorroensis ","Procellariiformes","Hydrobatidae","Hydrobates","socorroensis","","Yes","No","No"
"2375",7409,"Oceanodroma leucorhoa kaedingi","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","kaedingi","Hydrobates socorroensis","Procellariiformes","Hydrobatidae","Hydrobates","socorroensis","socorroensis","Yes","No","No"
"2376",7409,"Oceanodroma leucorhoa willetti","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","willetti","Hydrobates socorroensis","Procellariiformes","Hydrobatidae","Hydrobates","socorroensis","socorroensis","Yes","No","No"
"2377",7413,"Oceanodroma homochroa ","Procellariiformes","Hydrobatidae","Oceanodroma","homochroa","","Hydrobates homochroa ","Procellariiformes","Hydrobatidae","Hydrobates","homochroa","","Yes","No","No"
"2378",7414,"Oceanodroma castro ","Procellariiformes","Hydrobatidae","Oceanodroma","castro","","Hydrobates castro ","Procellariiformes","Hydrobatidae","Hydrobates","castro","","Yes","No","No"
"2379",7418,"Oceanodroma tethys ","Procellariiformes","Hydrobatidae","Oceanodroma","tethys","","Hydrobates tethys ","Procellariiformes","Hydrobatidae","Hydrobates","tethys","","Yes","No","No"
"2380",7419,"Oceanodroma tethys tethys","Procellariiformes","Hydrobatidae","Oceanodroma","tethys","tethys","Hydrobates tethys tethys","Procellariiformes","Hydrobatidae","Hydrobates","tethys","tethys","Yes","No","No"
"2381",7420,"Oceanodroma tethys kelsalli","Procellariiformes","Hydrobatidae","Oceanodroma","tethys","kelsalli","Hydrobates tethys kelsalli","Procellariiformes","Hydrobatidae","Hydrobates","tethys","kelsalli","Yes","No","No"
"2382",7421,"Oceanodroma melania ","Procellariiformes","Hydrobatidae","Oceanodroma","melania","","Hydrobates melania ","Procellariiformes","Hydrobatidae","Hydrobates","melania","","Yes","No","No"
"2383",7423,"Oceanodroma markhami ","Procellariiformes","Hydrobatidae","Oceanodroma","markhami","","Hydrobates markhami ","Procellariiformes","Hydrobatidae","Hydrobates","markhami","","Yes","No","No"
"2384",7425,"Oceanodroma microsoma ","Procellariiformes","Hydrobatidae","Oceanodroma","microsoma","","Hydrobates microsoma","Procellariiformes","Hydrobatidae","Hydrobates","microsoma","microsoma","Yes","No","No"
"2385",7426,"Macronectes giganteus ","Procellariiformes","Procellariidae","Macronectes","giganteus","","Macronectes giganteus ","Procellariiformes","Procellariidae","Macronectes","giganteus","","No","No","No"
"2386",7427,"Macronectes halli ","Procellariiformes","Procellariidae","Macronectes","halli","","Macronectes halli ","Procellariiformes","Procellariidae","Macronectes","halli","","No","No","No"
"2387",7428,"Fulmarus glacialis ","Procellariiformes","Procellariidae","Fulmarus","glacialis","","Fulmarus glacialis ","Procellariiformes","Procellariidae","Fulmarus","glacialis","","No","No","No"
"2388",7429,"Fulmarus glacialis glacialis","Procellariiformes","Procellariidae","Fulmarus","glacialis","glacialis","Fulmarus glacialis glacialis","Procellariiformes","Procellariidae","Fulmarus","glacialis","glacialis","No","No","No"
"2389",7430,"Fulmarus glacialis auduboni","Procellariiformes","Procellariidae","Fulmarus","glacialis","auduboni","Fulmarus glacialis auduboni","Procellariiformes","Procellariidae","Fulmarus","glacialis","auduboni","No","No","No"
"2390",7432,"Fulmarus glacialis rodgersii","Procellariiformes","Procellariidae","Fulmarus","glacialis","rodgersii","Fulmarus glacialis rodgersii","Procellariiformes","Procellariidae","Fulmarus","glacialis","rodgersii","No","No","No"
"2391",7433,"Fulmarus glacialoides ","Procellariiformes","Procellariidae","Fulmarus","glacialoides","","Fulmarus glacialoides ","Procellariiformes","Procellariidae","Fulmarus","glacialoides","","No","No","No"
"2392",7434,"Thalassoica antarctica ","Procellariiformes","Procellariidae","Thalassoica","antarctica","","Thalassoica antarctica ","Procellariiformes","Procellariidae","Thalassoica","antarctica","","No","No","No"
"2393",7435,"Daption capense ","Procellariiformes","Procellariidae","Daption","capense","","Daption capense ","Procellariiformes","Procellariidae","Daption","capense","","No","No","No"
"2394",7436,"Daption capense capense","Procellariiformes","Procellariidae","Daption","capense","capense","Daption capense capense","Procellariiformes","Procellariidae","Daption","capense","capense","No","No","No"
"2395",7438,"Pagodroma nivea ","Procellariiformes","Procellariidae","Pagodroma","nivea","","Pagodroma nivea ","Procellariiformes","Procellariidae","Pagodroma","nivea","","No","No","No"
"2396",7441,"Halobaena caerulea ","Procellariiformes","Procellariidae","Halobaena","caerulea","","Halobaena caerulea ","Procellariiformes","Procellariidae","Halobaena","caerulea","","No","No","No"
"2397",7442,"Pachyptila vittata ","Procellariiformes","Procellariidae","Pachyptila","vittata","","Pachyptila vittata ","Procellariiformes","Procellariidae","Pachyptila","vittata","","No","No","No"
"2398",7443,"Pachyptila vittata vittata","Procellariiformes","Procellariidae","Pachyptila","vittata","vittata","Pachyptila vittata ","Procellariiformes","Procellariidae","Pachyptila","vittata","","Yes","No","No"
"2399",7444,"Pachyptila salvini ","Procellariiformes","Procellariidae","Pachyptila","salvini","","Pachyptila salvini ","Procellariiformes","Procellariidae","Pachyptila","salvini","","No","No","No"
"2400",7448,"Pachyptila desolata ","Procellariiformes","Procellariidae","Pachyptila","desolata","","Pachyptila desolata ","Procellariiformes","Procellariidae","Pachyptila","desolata","","No","No","No"
"2401",7449,"Pachyptila desolata alexanderi","Procellariiformes","Procellariidae","Pachyptila","desolata","alexanderi","Pachyptila desolata desolata","Procellariiformes","Procellariidae","Pachyptila","desolata","desolata","Yes","No","No"
"2402",7452,"Pachyptila belcheri ","Procellariiformes","Procellariidae","Pachyptila","belcheri","","Pachyptila belcheri ","Procellariiformes","Procellariidae","Pachyptila","belcheri","","No","No","No"
"2403",7453,"Pachyptila turtur ","Procellariiformes","Procellariidae","Pachyptila","turtur","","Pachyptila turtur ","Procellariiformes","Procellariidae","Pachyptila","turtur","","No","No","No"
"2404",7460,"Pterodroma brevirostris ","Procellariiformes","Procellariidae","Pterodroma","brevirostris","","Aphrodroma brevirostris ","Procellariiformes","Procellariidae","Aphrodroma","brevirostris","","Yes","No","No"
"2405",7461,"Pterodroma macroptera ","Procellariiformes","Procellariidae","Pterodroma","macroptera","","Pterodroma macroptera ","Procellariiformes","Procellariidae","Pterodroma","macroptera","","No","No","No"
"2406",7462,"Pterodroma macroptera macroptera","Procellariiformes","Procellariidae","Pterodroma","macroptera","macroptera","Pterodroma macroptera ","Procellariiformes","Procellariidae","Pterodroma","macroptera","","Yes","No","No"
"2407",7463,"Pterodroma lessonii ","Procellariiformes","Procellariidae","Pterodroma","lessonii","","Pterodroma lessonii ","Procellariiformes","Procellariidae","Pterodroma","lessonii","","No","No","No"
"2408",7464,"Pterodroma macroptera gouldi","Procellariiformes","Procellariidae","Pterodroma","macroptera","gouldi","Pterodroma gouldi ","Procellariiformes","Procellariidae","Pterodroma","gouldi","","Yes","No","No"
"2409",7467,"Pterodroma solandri ","Procellariiformes","Procellariidae","Pterodroma","solandri","","Pterodroma solandri ","Procellariiformes","Procellariidae","Pterodroma","solandri","","No","No","No"
"2410",7469,"Pterodroma ultima ","Procellariiformes","Procellariidae","Pterodroma","ultima","","Pterodroma ultima ","Procellariiformes","Procellariidae","Pterodroma","ultima","","No","No","No"
"2411",7484,"Pterodroma externa ","Procellariiformes","Procellariidae","Pterodroma","externa","","Pterodroma externa ","Procellariiformes","Procellariidae","Pterodroma","externa","","No","No","No"
"2412",7485,"Pterodroma externa externa","Procellariiformes","Procellariidae","Pterodroma","externa","externa"," NA NA","Procellariiformes","Procellariidae","NA","NA","","Yes","No","No"
"2413",7488,"Pterodroma neglecta ","Procellariiformes","Procellariidae","Pterodroma","neglecta","","Pterodroma neglecta ","Procellariiformes","Procellariidae","Pterodroma","neglecta","","No","No","No"
"2414",7489,"Pterodroma neglecta neglecta","Procellariiformes","Procellariidae","Pterodroma","neglecta","neglecta","Pterodroma neglecta neglecta","Procellariiformes","Procellariidae","Pterodroma","neglecta","neglecta","No","No","No"
"2415",7491,"Pterodroma arminjoniana heraldica","Procellariiformes","Procellariidae","Pterodroma","arminjoniana","heraldica","Pterodroma heraldica ","Procellariiformes","Procellariidae","Pterodroma","heraldica","","Yes","No","No"
"2416",7496,"Pterodroma alba ","Procellariiformes","Procellariidae","Pterodroma","alba","","Pterodroma alba ","Procellariiformes","Procellariidae","Pterodroma","alba","","No","No","No"
"2417",7498,"Pterodroma phaeopygia sandwichensis","Procellariiformes","Procellariidae","Pterodroma","phaeopygia","sandwichensis","Pterodroma sandwichensis ","Procellariiformes","Procellariidae","Pterodroma","sandwichensis","","Yes","No","No"
"2418",7501,"Pterodroma phaeopygia phaeopygia","Procellariiformes","Procellariidae","Pterodroma","phaeopygia","phaeopygia","Pterodroma phaeopygia ","Procellariiformes","Procellariidae","Pterodroma","phaeopygia","","Yes","No","No"
"2419",7502,"Pterodroma inexpectata ","Procellariiformes","Procellariidae","Pterodroma","inexpectata","","Pterodroma inexpectata ","Procellariiformes","Procellariidae","Pterodroma","inexpectata","","No","No","No"
"2420",7503,"Pterodroma externa cervicalis","Procellariiformes","Procellariidae","Pterodroma","externa","cervicalis","Pterodroma cervicalis ","Procellariiformes","Procellariidae","Pterodroma","cervicalis","","Yes","No","No"
"2421",7505,"Pterodroma nigripennis ","Procellariiformes","Procellariidae","Pterodroma","nigripennis","","Pterodroma nigripennis ","Procellariiformes","Procellariidae","Pterodroma","nigripennis","","No","No","No"
"2422",7507,"Pterodroma hypoleuca ","Procellariiformes","Procellariidae","Pterodroma","hypoleuca","","Pterodroma hypoleuca ","Procellariiformes","Procellariidae","Pterodroma","hypoleuca","","No","No","No"
"2423",7507,"Pterodroma leucoptera hypoleuca","Procellariiformes","Procellariidae","Pterodroma","leucoptera","hypoleuca","Pterodroma hypoleuca","Procellariiformes","Procellariidae","Pterodroma","hypoleuca","hypoleuca","Yes","No","No"
"2424",7508,"Pterodroma leucoptera ","Procellariiformes","Procellariidae","Pterodroma","leucoptera","","Pterodroma leucoptera ","Procellariiformes","Procellariidae","Pterodroma","leucoptera","","No","No","No"
"2425",7512,"Pterodroma leucoptera brevipes","Procellariiformes","Procellariidae","Pterodroma","leucoptera","brevipes","Pterodroma brevipes brevipes","Procellariiformes","Procellariidae","Pterodroma","brevipes","brevipes","Yes","No","No"
"2426",7514,"Pterodroma cookii ","Procellariiformes","Procellariidae","Pterodroma","cookii","","Pterodroma cookii ","Procellariiformes","Procellariidae","Pterodroma","cookii","","No","No","No"
"2427",7515,"Pterodroma defilippiana ","Procellariiformes","Procellariidae","Pterodroma","defilippiana","","Pterodroma defilippiana ","Procellariiformes","Procellariidae","Pterodroma","defilippiana","","No","No","No"
"2428",7516,"Pterodroma longirostris ","Procellariiformes","Procellariidae","Pterodroma","longirostris","","Pterodroma longirostris ","Procellariiformes","Procellariidae","Pterodroma","longirostris","","No","No","No"
"2429",7518,"Pterodroma pycrofti ","Procellariiformes","Procellariidae","Pterodroma","pycrofti","","Pterodroma pycrofti ","Procellariiformes","Procellariidae","Pterodroma","pycrofti","","No","No","No"
"2430",7523,"Pterodroma rostrata ","Procellariiformes","Procellariidae","Pterodroma","rostrata","","Pseudobulweria rostrata ","Procellariiformes","Procellariidae","Pseudobulweria","rostrata","","Yes","No","No"
"2431",7524,"Pterodroma rostrata rostrata","Procellariiformes","Procellariidae","Pterodroma","rostrata","rostrata","Pseudobulweria rostrata rostrata","Procellariiformes","Procellariidae","Pseudobulweria","rostrata","rostrata","Yes","No","No"
"2432",7529,"Procellaria cinerea ","Procellariiformes","Procellariidae","Procellaria","cinerea","","Procellaria cinerea ","Procellariiformes","Procellariidae","Procellaria","cinerea","","No","No","No"
"2433",7530,"Procellaria aequinoctialis ","Procellariiformes","Procellariidae","Procellaria","aequinoctialis","","Procellaria aequinoctialis ","Procellariiformes","Procellariidae","Procellaria","aequinoctialis","","No","No","No"
"2434",7531,"Procellaria aequinoctialis aequinoctialis","Procellariiformes","Procellariidae","Procellaria","aequinoctialis","aequinoctialis","Procellaria aequinoctialis ","Procellariiformes","Procellariidae","Procellaria","aequinoctialis","","Yes","No","No"
"2435",7535,"Procellaria parkinsoni ","Procellariiformes","Procellariidae","Procellaria","parkinsoni","","Procellaria parkinsoni ","Procellariiformes","Procellariidae","Procellaria","parkinsoni","","No","No","No"
"2436",7536,"Procellaria westlandica ","Procellariiformes","Procellariidae","Procellaria","westlandica","","Procellaria westlandica ","Procellariiformes","Procellariidae","Procellaria","westlandica","","No","No","No"
"2437",7538,"Calonectris diomedea ","Procellariiformes","Procellariidae","Calonectris","diomedea","","Calonectris diomedea ","Procellariiformes","Procellariidae","Calonectris","diomedea","","No","No","No"
"2438",7541,"Calonectris diomedea borealis","Procellariiformes","Procellariidae","Calonectris","diomedea","borealis","Calonectris diomedea borealis","Procellariiformes","Procellariidae","Calonectris","diomedea","borealis","No","No","No"
"2439",7544,"Puffinus pacificus ","Procellariiformes","Procellariidae","Puffinus","pacificus","","Ardenna pacifica ","Procellariiformes","Procellariidae","Ardenna","pacifica","","Yes","No","No"
"2440",7545,"Puffinus pacificus cuneatus","Procellariiformes","Procellariidae","Puffinus","pacificus","cuneatus","Ardenna pacifica pacifica","Procellariiformes","Procellariidae","Ardenna","pacifica","pacifica","Yes","No","No"
"2441",7546,"Puffinus pacificus chlororhynchus","Procellariiformes","Procellariidae","Puffinus","pacificus","chlororhynchus","Ardenna pacifica chlororhyncha","Procellariiformes","Procellariidae","Ardenna","pacifica","chlororhyncha","Yes","No","No"
"2442",7547,"Puffinus bulleri ","Procellariiformes","Procellariidae","Puffinus","bulleri","","Ardenna bulleri ","Procellariiformes","Procellariidae","Ardenna","bulleri","","Yes","No","No"
"2443",7548,"Puffinus griseus ","Procellariiformes","Procellariidae","Puffinus","griseus","","Ardenna grisea ","Procellariiformes","Procellariidae","Ardenna","grisea","","Yes","No","No"
"2444",7549,"Puffinus tenuirostris ","Procellariiformes","Procellariidae","Puffinus","tenuirostris","","Ardenna tenuirostris ","Procellariiformes","Procellariidae","Ardenna","tenuirostris","","Yes","No","No"
"2445",7550,"Puffinus creatopus ","Procellariiformes","Procellariidae","Puffinus","creatopus","","Ardenna creatopus ","Procellariiformes","Procellariidae","Ardenna","creatopus","","Yes","No","No"
"2446",7551,"Puffinus carneipes ","Procellariiformes","Procellariidae","Puffinus","carneipes","","Ardenna carneipes ","Procellariiformes","Procellariidae","Ardenna","carneipes","","Yes","No","No"
"2447",7552,"Puffinus gravis ","Procellariiformes","Procellariidae","Puffinus","gravis","","Ardenna gravis ","Procellariiformes","Procellariidae","Ardenna","gravis","","Yes","No","No"
"2448",7553,"Puffinus nativitatis ","Procellariiformes","Procellariidae","Puffinus","nativitatis","","Puffinus nativitatis ","Procellariiformes","Procellariidae","Puffinus","nativitatis","","No","No","No"
"2449",7554,"Puffinus puffinus ","Procellariiformes","Procellariidae","Puffinus","puffinus","","Puffinus puffinus ","Procellariiformes","Procellariidae","Puffinus","puffinus","","No","No","No"
"2450",7562,"Puffinus opisthomelas ","Procellariiformes","Procellariidae","Puffinus","opisthomelas","","Puffinus opisthomelas ","Procellariiformes","Procellariidae","Puffinus","opisthomelas","","No","No","No"
"2451",7564,"Puffinus auricularis auricularis","Procellariiformes","Procellariidae","Puffinus","auricularis","auricularis","Puffinus auricularis","Procellariiformes","Procellariidae","Puffinus","auricularis","auricularis","Yes","No","No"
"2452",7570,"Puffinus gavia ","Procellariiformes","Procellariidae","Puffinus","gavia","","Puffinus gavia ","Procellariiformes","Procellariidae","Puffinus","gavia","","No","No","No"
"2453",7571,"Puffinus huttoni ","Procellariiformes","Procellariidae","Puffinus","huttoni","","Puffinus huttoni ","Procellariiformes","Procellariidae","Puffinus","huttoni","","No","No","No"
"2454",7572,"Puffinus lherminieri ","Procellariiformes","Procellariidae","Puffinus","lherminieri","","Puffinus lherminieri ","Procellariiformes","Procellariidae","Puffinus","lherminieri","","No","No","No"
"2455",7573,"Puffinus lherminieri lherminieri","Procellariiformes","Procellariidae","Puffinus","lherminieri","lherminieri","Puffinus lherminieri lherminieri","Procellariiformes","Procellariidae","Puffinus","lherminieri","lherminieri","No","No","No"
"2456",7582,"Puffinus lherminieri dichrous","Procellariiformes","Procellariidae","Puffinus","lherminieri","dichrous","Puffinus bailloni dichrous","Procellariiformes","Procellariidae","Puffinus","bailloni","dichrous","Yes","No","No"
"2457",7585,"Puffinus lherminieri subalaris","Procellariiformes","Procellariidae","Puffinus","lherminieri","subalaris","Puffinus subalaris ","Procellariiformes","Procellariidae","Puffinus","subalaris","","Yes","No","No"
"2458",7591,"Puffinus assimilis ","Procellariiformes","Procellariidae","Puffinus","assimilis","","Puffinus assimilis ","Procellariiformes","Procellariidae","Puffinus","assimilis","","No","No","No"
"2459",7593,"Puffinus assimilis haurakiensis","Procellariiformes","Procellariidae","Puffinus","assimilis","haurakiensis","Puffinus assimilis haurakiensis","Procellariiformes","Procellariidae","Puffinus","assimilis","haurakiensis","No","No","No"
"2460",7596,"Puffinus assimilis elegans","Procellariiformes","Procellariidae","Puffinus","assimilis","elegans","Puffinus elegans ","Procellariiformes","Procellariidae","Puffinus","elegans","","Yes","No","No"
"2461",7602,"Pelecanoides garnotii ","Procellariiformes","Pelecanoididae","Pelecanoides","garnotii","","Pelecanoides garnotii ","Procellariiformes","Procellariidae","Pelecanoides","garnotii","","No","Yes","No"
"2462",7604,"Pelecanoides georgicus ","Procellariiformes","Pelecanoididae","Pelecanoides","georgicus","","Pelecanoides georgicus ","Procellariiformes","Procellariidae","Pelecanoides","georgicus","","No","Yes","No"
"2463",7608,"Pelecanoides urinatrix ","Procellariiformes","Pelecanoididae","Pelecanoides","urinatrix","","Pelecanoides urinatrix ","Procellariiformes","Procellariidae","Pelecanoides","urinatrix","","No","Yes","No"
"2464",7613,"Pelecanoides urinatrix exsul","Procellariiformes","Pelecanoididae","Pelecanoides","urinatrix","exsul","Pelecanoides urinatrix exsul","Procellariiformes","Procellariidae","Pelecanoides","urinatrix","exsul","No","Yes","No"
"2465",7615,"Bulweria bulwerii ","Procellariiformes","Procellariidae","Bulweria","bulwerii","","Bulweria bulwerii ","Procellariiformes","Procellariidae","Bulweria","bulwerii","","No","No","No"
