LACM,Collector,Taxon,Family,Order,Field,Sex,LAF,Age,SpecNat,Measurements,Gonads,Weight,Date,Year,Locality
115763,CALIFORNIA WILDLIFE CENTER,Dendroica coronata auduboni : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,Oct-91,F,7628,,SS,,OV = 2.5 X 1.5,10.7,12/12/2010,2010,29600 BLK MEADOWMIST WAY : AGOURA HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
112183,CALIFORNIA WILDLIFE CENTER,Dendroica coronata auduboni : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,2378,U,,,SN,W=80; T=20; TAIL=59,NOT FOUND,11.2,11/12/2002,2002,"1100 BLOCK N GOWER ST : LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 1 55.411 N, 118 18 5.94 W"
112499,CALIFORNIA WILDLIFE CENTER,Dendroica coronata auduboni : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,2446,U,,,SN,W=74,,12,12/10/2002,2002,"5200 BLOCK LAS VIRGENES AVE : CALABASAS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 9 24.148 N, 118 38 22.460 W"
112500,CALIFORNIA WILDLIFE CENTER,Dendroica coronata auduboni : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,2332,F,,,SN,C=8.6; W=72; T=17.9; TAIL=57,"OV= 4.5 X 1.5, SMOOTH",10.2,10/23/2002,2002,"23700 BLOCK HARBOR VISTA DR : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 5.054 N, 118 44 7.540 W"
112212,CALIFORNIA WILDLIFE CENTER,Dendroica petechia brewsteri : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,2172,M,,,SS,,L+R TESTES < 1 MM,,9/11/2002,2002,"9100 BLOCK S GRAND AVE : LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 1 55.411 N, 118 18 5.94 W"
115228,CALIFORNIA WILDLIFE CENTER,Phalacrocorax auritus albociliatus : Phalacrocoracidae : Pelecaniformes - Subspecies,Phalacrocoracidae,Pelecaniformes,1010-0102,F,7347,,FB,C=53.4,OV = 38 X 17,1650,1/26/2010,2010,8600 BLK N ROSLYNDALE : PACOIMA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
111612,CALIFORNIA WILDLIFE CENTER,Pelecanus occidentalis californicus : Pelecanidae : Pelecaniformes - Subspecies,Pelecanidae,Pelecaniformes,,F,,,SN,C=354; W=558 (FLAT),OV= 8 X 6,,10/30/2000,2000,"MALIBU COVE COLONY : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 5.054 N, 118 44 7.540 W"
113858,CALIFORNIA WILDLIFE CENTER,Pelecanus occidentalis californicus : Pelecanidae : Pelecaniformes - Subspecies,Pelecanidae,Pelecaniformes,,M,,,SN,W=555 (CHORD),LT= 8 X 3,2740,00 XXX 2000,2000,"COAST : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 33 48 38.952 N, 118 17 48.243 W"
114017,CALIFORNIA WILDLIFE CENTER,Pelecanus occidentalis californicus : Pelecanidae : Pelecaniformes - Subspecies,Pelecanidae,Pelecaniformes,,M,,,SN,C=348.5; W=563; T=84.3; TAIL=148.5,"LT=10X4.5, RT=9X3.5",2325,12/28/1999,1999,"MALIBU LAGOON : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 1.085 N, 118 40 55.194 W"
114033,CALIFORNIA WILDLIFE CENTER,Pelecanus occidentalis californicus : Pelecanidae : Pelecaniformes - Subspecies,Pelecanidae,Pelecaniformes,,M,,,SN,C=332.5; W=527; T=78.7; TAIL=125,"LT=18X11, RT=15X12",1805,9/19/2000,2000,"MALIBU LAGOON : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 1.085 N, 118 40 55.194 W"
115739,CALIFORNIA WILDLIFE CENTER,Sphyrapicus ruber daggetti : Picidae : Piciformes - Subspecies,Picidae,Piciformes,11-0083,F,7616,,FB,C=22.2; W=122; TAIL=75,"OV = 7.0 X 3.5, GRANULAR",51,1/28/2011,2011,25700 BLK PIUMA RD : MONTE NIDO : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115756,CALIFORNIA WILDLIFE CENTER,Melanerpes formicivorus bairdi : Picidae : Piciformes - Subspecies,Picidae,Piciformes,Oct-41,M,7621,,SS,,L T = 8 X 3; R T = 7 X 3,69,12/15/2010,2010,6000 BLK CHESEBRO RD : AGOURA HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
111495,CALIFORNIA WILDLIFE CENTER,Melanerpes formicivorus bairdi : Picidae : Piciformes - Subspecies,Picidae,Piciformes,2000-0455,M,,,SN,,L+R TESTES= 9 X 6,,8/15/2000,2000,"3300 BLOCK TRIUNFO CANYON RD : AGOURA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 8 33.73 N, 118 44 13.857 W"
111186,CALIFORNIA WILDLIFE CENTER,Podiceps nigricollis californicus : Podicipedidae : Podicipediformes - Subspecies,Podicipedidae,Podicipediformes,,M,,,SS,W=129.5,LT= 5 X 1.5; RT= 2 X 1.5,166,11/28/2000,2000,"MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 5.054 N, 118 44 7.540 W"
111156,CALIFORNIA WILDLIFE CENTER,Podiceps nigricollis californicus : Podicipedidae : Podicipediformes - Subspecies,Podicipedidae,Podicipediformes,,M,,,SS,,LT= 4.0  X 2.5; RT= 3.5 X 2.0,182,11/2/2000,2000,"MALIBU COLONY RD : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 5.054 N, 118 44 7.540 W"
112289,CALIFORNIA WILDLIFE CENTER,Podiceps nigricollis californicus : Podicipedidae : Podicipediformes - Subspecies,Podicipedidae,Podicipediformes,2679,F,,,SS,W=129,"OV= 14 X 7, GRANULAR",218,3/18/2003,2003,"CANOGA AT OXNARD : WARNER CENTER : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 10 58.855 N, 118 35 19.630 W"
115522,CALIFORNIA WILDLIFE CENTER,Oceanodroma leucorhoa chapmani : Hydrobatidae : Procellariiformes - Subspecies,Hydrobatidae,Procellariiformes,20-Oct,F,7506,,KB,C=13.6; W=142; T=19.2; TAIL=75,"OV = 3.0 X 2.5, GRANULAR; LF=1",,8/7/2010,2010,VENTURA HARBOR : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116189,CALIFORNIA WILDLIFE CENTER,Phalaenoptilus nuttallii californicus : Caprimulgidae : Caprimulgiformes - Subspecies,Caprimulgidae,Caprimulgiformes,13-3385,M,8028,,SS,,LT= 2.0 X 1.5; RT=2.0 X 1.5,38,10/18/2013,2013,BARNER AVE AT ALMETZ ST : SYLMAR : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
112340,CALIFORNIA WILDLIFE CENTER,Tyto alba pratincola : Tytonidae : Strigiformes - Subspecies,Tytonidae,Strigiformes,2157,M,,,SN,C=35.2; W=330; T=76.4; TAIL=137,"LT= 8 X 1.5; RT= 8 X 2, BOTH PALE",386,9/8/2002,2002,"LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 33 48 38.952 N, 118 17 48.243 W"
111572,CALIFORNIA WILDLIFE CENTER,Megascops kennicottii bendirei : Strigidae : Strigiformes - Subspecies,Strigidae,Strigiformes,,F,,,SN,W=172.5,,128,EARLY 2000,2000,"LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 33 48 38.952 N, 118 17 48.243 W"
112216,CALIFORNIA WILDLIFE CENTER,Fulica americana americana : Rallidae : Gruiformes - Subspecies,Rallidae,Gruiformes,2529,M,6352,,SS,,"L+R TESTES= 6 X 3, PALE",568,1/13/2003,2003,"LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 33 48 38.952 N, 118 17 48.243 W"
116179,CALIFORNIA WILDLIFE CENTER,Falco columbarius columbarius : Falconidae : Falconiformes - Subspecies,Falconidae,Falconiformes,5-Dec,M,7922,,SS,,LT= 2.5 X 2; RT= 2 X 1.5,136,12/18/2012,2012,6700 BLOCK N FAIR AVE : NORTH HOLLYWOOD : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116197,CALIFORNIA WILDLIFE CENTER,Baeolophus inornatus transpositus : Paridae : Passeriformes - Subspecies,Paridae,Passeriformes,13-0252,F,7929,,SS,,"OV= 3 X 2, SMOOTH",12,2/19/2013,2013,4000 BLOCK ALTA MESA : STUDIO CITY : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119804,CALIFORNIA WILDLIFE CENTER,Aimophila ruficeps canescens : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,13-3380,F,8014,,SN,,"OV = 3 X 2, SNMOOTH",,10/18/2013,2013,3400 BLOCK ENCINAL CYN RD : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119661,CALIFORNIA WILDLIFE CENTER,Pipilo maculatus megalonyx : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,13-3733,F,8020,,SS,,"OV = 5.5 X 3.5, SMOOTH",33.4,11/27/2013,2013,5600 BLOCK SLOAN PL : CALABASAS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119989,CALIFORNIA WILDLIFE CENTER,Pipilo maculatus megalonyx : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,14-0541,M,8146,,SS,,LT = 12 X 6; RT = 9 X 6,36.6,3/28/2014,2014,1700 BLOCK STODDARD AVE : THOUSAND OAKS : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119792,CALIFORNIA WILDLIFE CENTER,Asio flammeus flammeus : Strigidae : Strigiformes - Subspecies,Strigidae,Strigiformes,Dec-66,M,7923,,FB,C=18.8; W=295; TAIL=135,LT = 5 X 2; RT = 4 X 1.5,,11/19/2012,2012,SANTA MONICA BEACH : SANTA MONICA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120056,CALIFORNIA WILDLIFE CENTER,Dendroica coronata auduboni : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,14-0055,U,,,SN,,,,00 JAN 2014,2014,VIC : LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120011,CALIFORNIA WILDLIFE CENTER,Melanerpes formicivorus bairdi : Picidae : Piciformes - Subspecies,Picidae,Piciformes,14-0509,F,8189,,SS,,"OV = 8 X 6, GRANULAR",58,3/28/2014,2014,500 BLK S GAYLORD DR : BURBANK : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120159,CALIFORNIA WILDLIFE CENTER,Melanerpes formicivorus bairdi : Picidae : Piciformes - Subspecies,Picidae,Piciformes,14-992,F,,,SN,C=24.2; W=177; TAIL=66,OV= 4 X 2; LF= 1MM,,4/27/2017,2017,400 BLOCK E HILLCREST : THOUSAND OAKS : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120162,CALIFORNIA WILDLIFE CENTER,Troglodytes aedon parkmanii : Troglodytidae : Passeriformes - Subspecies,Troglodytidae,Passeriformes,14-0019,M,8183,,SN,C=12.0; W=49.5; T=14.3,LT= 2.5 X 1; RT= 2 X 1,9.1,1/11/2014,2014,LAUREL WAY : BEVERLY HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120163,CALIFORNIA WILDLIFE CENTER,Wilsonia pusilla chryseola : Parulidae : Passeriformes - Subspecies,Parulidae,Passeriformes,14-2864,F,,,SN,W-53.5,"OV= 2 X 1, SMOOTH",53.5,8/15/2014,2014,15900 BLOCK ALCIMA AVE : PACIFIC PALISADES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115760,CALIFORNIA WILDLIFE CENTER,Sialia mexicana occidentalis : Muscicapidae : Passeriformes - Subspecies,Muscicapidae,Passeriformes,11-0442,M,7613,,SS,,L T = 6.7 X 3.8; R T = 5.6 X 4X0,25.2,3/29/2011,2011,13100 BLK CRANSTON ST : SYLMAR : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115580,CALIFORNIA WILDLIFE CENTER,Pipilo crissalis senicula : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,Oct-87,U,7511,,FB,C=14.4; W=89; T=28.2; TAIL=102,,43.2,9/28/2010,2010,28900 BLK DARGAN ST : AGOURA HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
112490,CALIFORNIA WILDLIFE CENTER,Zenaida macroura marginella : Columbidae : Columbiformes - Subspecies,Columbidae,Columbiformes,2688,M,,,SN,,"LT= 8 X 4; RT= 7 X 3.5, PALE",,3/4/2003,2003,"8500 BLOCK NESTLE AVE : NORTHRIDGE : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 13 42.018 N, 118 32 12.317 W"
119972,CALIFORNIA WILDLIFE CENTER,Falco peregrinus anatum : Falconidae : Falconiformes - Subspecies,Falconidae,Falconiformes,14-0720,F,8150,,SS,,"OV = 12 X 5, LF = 2 X 2",834,4/9/2014,2014,VAN NUYS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
112363,CALIFORNIA WILDLIFE CENTER,Catherpes mexicanus conspersus : Troglodytidae : Passeriformes - Subspecies,Troglodytidae,Passeriformes,,F,6379,,FB,C=18.5; W=55.5; T=18.6; TAIL=44,"OV= 7 X 3, GRANULAR",11.2,00 SPR 2003,2003,"PIUMA RD : MALIBU CANYON : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 3 37.093 N, 118 41 39.534 W"
115579,CALIFORNIA WILDLIFE CENTER,Tyrannus vociferans : Tyrannidae : Passeriformes - Species,Tyrannidae,Passeriformes,10-0284,F,7505,,FB,C=16.3 (FROM ANT NARES); W=123; T=19.5; TAIL=88,OV = 7 X 3.5; LFOLL = 1.0,,4/2/2010,2010,THOUSAND OAKS BLVD AT PARKMOR RD : CALABASAS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116196,CALIFORNIA WILDLIFE CENTER,Tyrannus verticalis : Tyrannidae : Passeriformes - Species,Tyrannidae,Passeriformes,13-0948,M,7934,,SS,,LT= 6.5 X 2; RT= 6 X 2,38.6,5/1/2013,2013,CASTAIC : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119789,CALIFORNIA WILDLIFE CENTER,Phalaropus lobatus : Scolopacidae : Charadriiformes - Species,Scolopacidae,Charadriiformes,Dec-85,F,,,SN,,"OV = 3.5 X 1.5, SMOOTH",32.6,9/1/2012,2012,WILL ROGERS STATE BEACH : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116185,CALIFORNIA WILDLIFE CENTER,Sterna elegans : Laridae : Charadriiformes - Species,Laridae,Charadriiformes,13-3014,M,8027,,SS,,LT= 6 X 3; RT= 3 X 3,,9/6/2013,2013,ESCONDIDO BEACH : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116184,CALIFORNIA WILDLIFE CENTER,Larus glaucescens : Laridae : Charadriiformes - Species,Laridae,Charadriiformes,13-1152,F,7936,,SS,,"OV= 13 X 7, GRANULAR",559,5/9/2013,2013,PT DUME : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116110,CALIFORNIA WILDLIFE CENTER,Piranga ludoviciana : Emberizidae : Passeriformes - Species,Emberizidae,Passeriformes,12-0937,F,7828,,SS,,"OV = 9.0X3.5, GRANULAR",23.5,5/3/2012,2012,5300 BLOCK CIRCLE DR : SHERMAN OAKS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115924,CALIFORNIA WILDLIFE CENTER,Euphagus cyanocephalus : Icteridae : Passeriformes - Species,Icteridae,Passeriformes,11-1600,M,,,SN,,LT=18X11; RT=13X9,,6/5/2011,2011,3600 BLOCK CALLE QUEBRACHO : THOUSAND OAKS : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115859,CALIFORNIA WILDLIFE CENTER,Aeronautes saxatalis saxatalis : Apodidae : Apodiformes - Subspecies,Apodidae,Apodiformes,11-1023,M,,,SN,W=132; TAIL=58,L T = 15 X 6; R T = 16 X 7,24,5/4/2011,2011,LOS ANGELES VIC : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116190,CALIFORNIA WILDLIFE CENTER,Phalaenoptilus nuttallii californicus : Caprimulgidae : Caprimulgiformes - Subspecies,Caprimulgidae,Caprimulgiformes,13-3772,F,8029,,SS,,"OV= 4.5 X 2, L FOLL=1",32,12/8/2013,2013,ROSCOE AT WOODLEY : NORTH HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119902,CALIFORNIA WILDLIFE CENTER,Sterna antillarum browni : Laridae : Charadriiformes - Subspecies,Laridae,Charadriiformes,13-2217,F,8054,,SS,,"OV = 9 X 5, LF = 1.5 MM",,7/2/2013,2013,HOLLYWOD BEACH : OXNARD : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115851,CALIFORNIA WILDLIFE CENTER,Patagioenas fasciata monilis : Columbidae : Columbiformes - Subspecies,Columbidae,Columbiformes,11-1570,F,7660,,SN,C=22.9; W=204,,325,6/5/2011,2011,25800 BLOCK BLANCA WAY : VALENCIA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119791,CALIFORNIA WILDLIFE CENTER,Patagioenas fasciata monilis : Columbidae : Columbiformes - Subspecies,Columbidae,Columbiformes,11-0108,F,7734,,SN,C=20.4; W=215; T=30.2,"OV = 7 X 5, LF = 2 MM",296,2/8/2011,2011,31500 BLOCK MULHOLLAND HWY : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116182,CALIFORNIA WILDLIFE CENTER,Falco columbarius suckleyi : Falconidae : Falconiformes - Subspecies,Falconidae,Falconiformes,13-3735,F,8013,,SS,,"OV= 4 X 2, FINE GRANULAR",133,12/4/2013,2013,3900 BLOCK BENEDICT CYN : SHERMAN OAKS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115854,CALIFORNIA WILDLIFE CENTER,Troglodytes aedon parkmani : Troglodytidae : Passeriformes - Subspecies,Troglodytidae,Passeriformes,Oct-78,M,,,SN,C=11.6; W=53,"L+R T = 1 X 1, PALE",,12/2/2010,2010,2200 BLOCK PINECREST RD : AGOURA HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116195,CALIFORNIA WILDLIFE CENTER,Sayornis nigricans semiatra : Tyrannidae : Passeriformes - Subspecies,Tyrannidae,Passeriformes,13-3013,M,7938,,SS,,LT= 6 X 3; RT= 5 X 2.5,17.1,3/7/2013,2013,4200 BLOCK N HAVENHURST DR : ENCINO : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116089,CALIFORNIA WILDLIFE CENTER,Sayornis saya ssp : Tyrannidae : Passeriformes - Subspecies,Tyrannidae,Passeriformes,12-0222,M,7818,,SS,,LT = 6X3; RT = 5X3,21.8,3/2/2012,2012,28700 BLOCK N HIGH RIDGE RD : SAUGUS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116198,CALIFORNIA WILDLIFE CENTER,Vireo huttoni huttoni : Vireonidae : Passeriformes - Subspecies,Vireonidae,Passeriformes,13-1789,M,8030,,FB,C=8.7; W=59; T=18.3; TAIL=50,L+R T= 1 X 1,11,7/8/2013,2013,OLD TOPANGA ROAD : TOPANGA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116199,CALIFORNIA WILDLIFE CENTER,Vireo gilvus swainsoni : Vireonidae : Passeriformes - Subspecies,Vireonidae,Passeriformes,13-3314,F,8046,,FB,,OV= 2.5 X 1.5,8.3,10/6/2013,2013,1400 BLOCK JONESBORO DR : LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119985,CALIFORNIA WILDLIFE CENTER,Turdus migratorius propinquus : Muscicapidae : Passeriformes - Subspecies,Muscicapidae,Passeriformes,14-0107,M,8160,,SS,,L+RT = 2.5 X 1.5,74,2/3/2014,2014,500 BLOCK MESA RD : SANTA MONICA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119803,CALIFORNIA WILDLIFE CENTER,Catharus guttatus ssp : Muscicapidae : Passeriformes - Subspecies,Muscicapidae,Passeriformes,13-0174,M,7960,,SN,C=11.1; W=89; RAIL=70,"L+RT = 1 X 1, BLACK",17.9,2/7/2013,2013,10900 BLOCK CARDAMINE CT : TUJUNGA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116200,CALIFORNIA WILDLIFE CENTER,Catharus ustulatus ssp : Muscicapidae : Passeriformes - Subspecies,Muscicapidae,Passeriformes,Dec-98,M,7956,,SS,,LT= 1.5 X 1.0; RT= 1.5 X 1.5,20.4,10/5/2012,2012,4900 BLOCK VARNA AVE : SHERMAN OAKS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116090,CALIFORNIA WILDLIFE CENTER,Ixoreus naevius ssp : Muscicapidae : Passeriformes - Subspecies,Muscicapidae,Passeriformes,12-0267,F,7815,,SS,,"OV = 8X3, SMOOTH",50,3/7/2012,2012,1800 BLOCK OLD RANCH RD : BRENTWOOD : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119988,CALIFORNIA WILDLIFE CENTER,Pipilo maculatus megalonyx : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,14-0270,F,8154,,SS,W=77; TAIL=88,"OV = 7 X 4, GRANULAR",30,3/5/2014,2014,2700 BLOCK ELDEROCK RD : WESTLAKE VILLAGE : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119660,CALIFORNIA WILDLIFE CENTER,Melospiza lincolnii ssp : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,13-0281,M,7966,,SS,,LT = 2 X 1.5,16.2,3/2/2013,2013,800 BLOCK E OCEAN BLVD : LONG BEACH : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119898,CALIFORNIA WILDLIFE CENTER,Junco hyemalis thurberi : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,13-3621,F,8066,,SS,,"OV = SMALL, SMOOTH",16.8,11/6/2013,2013,400 NATIONAL WAY : SIMI VALLEY : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119982,CALIFORNIA WILDLIFE CENTER,Stelgidopteryx serripennis ssp : Hirundinidae : Passeriformes - Subspecies,Hirundinidae,Passeriformes,14-1214,M,8161,,SS,,"LT = 8 X 5; RT = 7 X 5, PALE",15,5/7/2014,2014,22100 BLOCK CLARENDON ST : WOODLAND HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119797,CALIFORNIA WILDLIFE CENTER,Bombycilla cedrorum : Bombycillidae : Passeriformes - Species,Bombycillidae,Passeriformes,12-0834,M,7845,,SN,C=9.0; W=92; T=16.3; TAIL=55,L+RT = 2.0 X 1.5,19,5/3/2012,2012,4600 BLOCK WILSHIRE BLVD : LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116050,CALIFORNIA WILDLIFE CENTER,Athene cunicularia hypugaea : Strigidae : Strigiformes - Subspecies,Strigidae,Strigiformes,Nov-80,M,7728,,SS,,L+R T= 3X2,136,9/29/2011,2011,100 BLOCK E 7TH ST : BAKERSFIELD : KERN CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116187,CALIFORNIA WILDLIFE CENTER,Athene cunicularia hypugaea : Strigidae : Strigiformes - Subspecies,Strigidae,Strigiformes,13-3334,F,8016,,SS,,"OV= 10 X 3, GRANULAR",137,10/10/2013,2013,RUE ST AT TAMARACK AVE : SAN FERNANDO : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119983,CALIFORNIA WILDLIFE CENTER,Myiarchus cinerascens cinerascent : Tyrannidae : Passeriformes - Subspecies,Tyrannidae,Passeriformes,14-2830,M,8155,,SS,W=94.5,L+RT = 2 X 1,27,8/11/2014,2014,12300 BLOCK WILSHIRE BLVD : SANTA MONICA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119666,CALIFORNIA WILDLIFE CENTER,Pheucticus chrysopeplus ssp : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,13-3561,M,8011,,FB,,LT = 7 X 4; RT = 6 X 6,53.5,10/30/2013,2013,VENTURA BLVD AT TOPANGA CYN BLVD : WOODLAND HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116152,CALIFORNIA WILDLIFE CENTER,Aythya collaris : Anatidae : Anseriformes - Species,Anatidae,Anseriformes,,F,7730,,FB,C=41.9; W=188; TAIL=52,"OV= 18 X 7, GRANULAR",370,12/29/2011,2011,FALLBROOK AT VICTORY : WOODLAND HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119796,CALIFORNIA WILDLIFE CENTER,Bombycilla cedrorum : Bombycillidae : Passeriformes - Species,Bombycillidae,Passeriformes,12-0099,F,,,SN,C=9.8; W=97; T=20.0; TAIL=62,"OV = 3.5 X 2.5, SMOOTH",35,4/28/2012,2012,CALABASAS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119932,CALIFORNIA WILDLIFE CENTER,Bombycilla cedrorum : Bombycillidae : Passeriformes - Species,Bombycillidae,Passeriformes,13-3726,F,8057,,SS,,"OV = 5 X 2, SMOOTH",22.8,9/29/2013,2013,MULHOLLAND DR AT LONGBOW DR : SHERMAN OAKS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
116092,CALIFORNIA WILDLIFE CENTER,Seiurus noveboracensis : Parulidae : Passeriformes - Species,Parulidae,Passeriformes,24-Dec,F,7813,,SS,,"OV = 3X1, SMOOTH",10,9/28/2012,2012,3200 BLOCK RETREAT COURT : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119665,CALIFORNIA WILDLIFE CENTER,Dendroica occidentalis : Parulidae : Passeriformes - Species,Parulidae,Passeriformes,13-2794,F,8048,,FB,C=9.5; W=64; TAIL=47,"OV = 1.5 X 1.0, SMOOTH",6.1,8/20/2013,2013,500 BLD CRESTVIEW DR : LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
119807,CALIFORNIA WILDLIFE CENTER,Dendroica occidentalis : Parulidae : Passeriformes - Species,Parulidae,Passeriformes,Nov-47,U,7973,,SN,,,,12/16/2011,2011,900 BLOCK JEANNETTE AVE : THOUSAND OAKS : VENTURA CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
