ORDER_MBF,FAMILY_MBF,Genus_MBF,Species_MBF,ORDER_HM,FAMILY_HM,Genus_HM,species_HM,subspecies_HM
Tinamiformes,Tinamidae,Nothura,chacoensis,Tinamiformes,Tinamidae,Nothura,chacoensis,
Tinamiformes,Tinamidae,Nothura,minor,Tinamiformes,Tinamidae,Nothura,minor,
Tinamiformes,Tinamidae,Nothura,boraquira,Tinamiformes,Tinamidae,Nothura,boraquira,
Tinamiformes,Tinamidae,Taoniscus,nanus,Tinamiformes,Tinamidae,Taoniscus,nanus,
Tinamiformes,Tinamidae,Eudromia,formosa,Tinamiformes,Tinamidae,Eudromia,formosa,
Tinamiformes,Tinamidae,Eudromia,elegans,Tinamiformes,Tinamidae,Eudromia,elegans,
Tinamiformes,Tinamidae,Tinamotis,pentlandi,Tinamiformes,Tinamidae,Tinamotis,pentlandii,
Tinamiformes,Tinamidae,Tinamotis,ingoufi,Tinamiformes,Tinamidae,Tinamotis,ingoufi,
Sphenisciformes,Spheniscidae,Aptenodytes,patagonica,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus,
Sphenisciformes,Spheniscidae,Aptenodytes,forsteri,Sphenisciformes,Spheniscidae,Aptenodytes,forsteri,
Sphenisciformes,Spheniscidae,Pygoscelis,papua,Sphenisciformes,Spheniscidae,Pygoscelis,papua,
Sphenisciformes,Spheniscidae,Pygoscelis,adeliae,Sphenisciformes,Spheniscidae,Pygoscelis,adeliae,
Sphenisciformes,Spheniscidae,Pygoscelis,antarctica,Sphenisciformes,Spheniscidae,Pygoscelis,antarcticus,
Sphenisciformes,Spheniscidae,Eudyptes,pachyrhynchus,Sphenisciformes,Spheniscidae,Eudyptes,pachyrhynchus,
Sphenisciformes,Spheniscidae,Eudyptes,robustus,Sphenisciformes,Spheniscidae,Eudyptes,pachyrhynchus,robustus
Sphenisciformes,Spheniscidae,Eudyptes,sclateri,Sphenisciformes,Spheniscidae,Eudyptes,sclateri,
Sphenisciformes,Spheniscidae,Eudyptes,crestatus,Sphenisciformes,Spheniscidae,Eudyptes,moseleyi,
Sphenisciformes,Spheniscidae,Eudyptes,crestatus,Sphenisciformes,Spheniscidae,Eudyptes,chrysocome,
Sphenisciformes,Spheniscidae,Eudyptes,schlegelii,Sphenisciformes,Spheniscidae,Eudyptes,chrysolophus,schlegeli
Sphenisciformes,Spheniscidae,Eudyptes,chrysolophus,Sphenisciformes,Spheniscidae,Eudyptes,chrysolophus,
Sphenisciformes,Spheniscidae,Megadyptes,antipodes,Sphenisciformes,Spheniscidae,Megadyptes,antipodes,
Sphenisciformes,Spheniscidae,Eudyptula,minor,Sphenisciformes,Spheniscidae,Eudyptula,minor,
Sphenisciformes,Spheniscidae,Eudyptula,albosignata,Sphenisciformes,Spheniscidae,Eudyptula,minor,albosignata
Sphenisciformes,Spheniscidae,Spheniscus,demersus,Sphenisciformes,Spheniscidae,Spheniscus,demersus,
Sphenisciformes,Spheniscidae,Spheniscus,humboldti,Sphenisciformes,Spheniscidae,Spheniscus,humboldti,
Sphenisciformes,Spheniscidae,Spheniscus,magellanicus,Sphenisciformes,Spheniscidae,Spheniscus,magellanicus,
Sphenisciformes,Spheniscidae,Spheniscus,mendiculus,Sphenisciformes,Spheniscidae,Spheniscus,mendiculus,
Gaviiformes,Gaviidae,Gavia,stellata,Gaviiformes,Gaviidae,Gavia,stellata,
Gaviiformes,Gaviidae,Gavia,arctica,Gaviiformes,Gaviidae,Gavia,arctica,
Gaviiformes,Gaviidae,Gavia,pacifica,Gaviiformes,Gaviidae,Gavia,pacifica,
Gaviiformes,Gaviidae,Gavia,immer,Gaviiformes,Gaviidae,Gavia,immer,
Gaviiformes,Gaviidae,Gavia,adamsii,Gaviiformes,Gaviidae,Gavia,adamsii,
Podicipediformes,Podicipedidae,Tachybaptus,ruficollis,Phoenicopteriformes,Podicipedidae,Tachybaptus,ruficollis,
Podicipediformes,Podicipedidae,Tachybaptus,novaehollandiae,Phoenicopteriformes,Podicipedidae,Tachybaptus,novaehollandiae,
Podicipediformes,Podicipedidae,Tachybaptus,pelzelni,Phoenicopteriformes,Podicipedidae,Tachybaptus,pelzelnii,
Podicipediformes,Podicipedidae,Tachybaptus,rufolavatus,Phoenicopteriformes,Podicipedidae,Tachybaptus,rufolavatus,
Podicipediformes,Podicipedidae,Podilymbus,podiceps,Phoenicopteriformes,Podicipedidae,Podilymbus,podiceps,
Podicipediformes,Podicipedidae,Podilymbus,gigas,Phoenicopteriformes,Podicipedidae,Podilymbus,gigas,
Podicipediformes,Podicipedidae,Rollandia,rolland,Phoenicopteriformes,Podicipedidae,Rollandia,rolland,
Podicipediformes,Podicipedidae,Rollandia,micropterum,Phoenicopteriformes,Podicipedidae,Rollandia,microptera,
Podicipediformes,Podicipedidae,Podiceps,major,Phoenicopteriformes,Podicipedidae,Podiceps,major,
Podicipediformes,Podicipedidae,Podiceps,poliocephalus,Phoenicopteriformes,Podicipedidae,Poliocephalus,poliocephalus,
Podicipediformes,Podicipedidae,Podiceps,rufopectus,Phoenicopteriformes,Podicipedidae,Poliocephalus,rufopectus,
Podicipediformes,Podicipedidae,Podiceps,dominicus,Phoenicopteriformes,Podicipedidae,Tachybaptus,dominicus,
Podicipediformes,Podicipedidae,Podiceps,grisegena,Phoenicopteriformes,Podicipedidae,Podiceps,grisegena,
Podicipediformes,Podicipedidae,Podiceps,cristatus,Phoenicopteriformes,Podicipedidae,Podiceps,cristatus,
Podicipediformes,Podicipedidae,Podiceps,auritus,Phoenicopteriformes,Podicipedidae,Podiceps,auritus,
Podicipediformes,Podicipedidae,Podiceps,nigricollis,Phoenicopteriformes,Podicipedidae,Podiceps,nigricollis,
Podicipediformes,Podicipedidae,Podiceps,nigricollis,Phoenicopteriformes,Podicipedidae,Podiceps,andinus,
Podicipediformes,Podicipedidae,Podiceps,occipitalis,Phoenicopteriformes,Podicipedidae,Podiceps,occipitalis,
Podicipediformes,Podicipedidae,Podiceps,taczanowskii,Phoenicopteriformes,Podicipedidae,Podiceps,taczanowskii,
Podicipediformes,Podicipedidae,Podiceps,,Phoenicopteriformes,Podicipedidae,Podiceps,gallardoi,
